"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"2:31:00::"	"new_england"	"obesity"	"puritan"	"as"	"puritan_new_england"	"new_england_obesity"	"obesity_as"	"∅_puritan_new_england"	"puritan_new_england_obesity"	"new_england_obesity_as"	"obesity_as_a"	"ε"	"NNP"	"NN"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new_england"	"regard"	"obesity"	"as"	"a"	"flagrant"	"symbol"	"of"	"intemperance"	"and"	"thus"	"a"	"sin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"it"	"stress"	"as"	"stress_he"	"he_it"	"it_as"	",_stress_he"	"stress_he_it"	"he_it_as"	"it_as_an"	"ε"	"VB"	"PRP"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president_kennedy"	"in"	"sign"	"the"	"relief"	"into"	"law"	"stress"	"he"	"regard"	"it"	"as"	"an"	"exception"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"by"	"will"	"the"	"will_be"	"be_by"	"by_the"	"elimination_will_be"	"will_be_by"	"be_by_the"	"by_the_local"	"NN"	"MD"	"VB"	"VB"	"IN"	"DT"	"JJ"	"societies"	"what"	"we"	"regard_as"	"corruption"	"favoritism"	"and"	"personal"	"influence"	"are"	"so"	"accept"	"as"	"consistent_with"	"the"	"mores"	"of"	"officialdom"	"and"	"so"	"integral"	"a"	"part"	"of"	"routine"	"administrative"	"practice"	"that"	"any"	"attempt"	"to"	"force"	"their"	"elimination"	"will"	"be"	"by"	"the"	"local"	"leadership"	"as"	"not_only"	"unwarranted"	"but"	"unfriendly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"exceptions"	"boats"	"the"	","	"the_exceptions"	"exceptions_boats"	"boats_,"	",_the_exceptions"	"the_exceptions_boats"	"exceptions_boats_,"	"boats_,_airplanes"	"ε"	"DT"	"NNS"	"VB"	"NNS"	"ε"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"the"	"laws"	"of"	"the"	"various"	"states"	"in_general"	"specify"	"the"	"situs"	"of"	"property"	"i."	"e."	"residence"	"or"	"domicile"	"of"	"the"	"owner"	"or"	"location"	"of"	"property"	"the"	"exceptions"	"regard"	"boats"	"airplanes"	"mobile_homes"	"etc."	"seem"	"to"	"add"	"to"	"the"	"uncertainty"	"of"	"the"	"proper"	"origination"	"point"	"for"	"assessment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"this"	"with"	"in"	"the"	"in_this"	"this_with"	"with_the"	"draw_in_this"	"in_this_with"	"this_with_the"	"with_the_``"	"VB"	"VB"	"DT"	"NN"	"IN"	"DT"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"vulnerability"	"of"	"protestant"	"congregation"	"to"	"social"	"difference"	"has"	"often"	"been"	"attribute"	"to"	"the"	"folksy"	"spirit"	"of"	"protestant"	"religious"	"life"	"in_fact"	"a"	"is"	"often"	"draw"	"in"	"this"	"regard"	"with"	"the"	"impersonal"	"roman_catholic"	"parish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"tradition"	"as"	"natural_law"	"self-evident"	"natural_law_tradition"	"tradition_as"	"as_self-evident"	"roman_catholic_natural_law_tradition"	"natural_law_tradition_as"	"tradition_as_self-evident"	"as_self-evident_that"	"NN"	"NN"	"NN"	"VB"	"VB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"natural_law"	"tradition"	"regard"	"as"	"self-evident"	"that"	"the"	"primary"	"objective"	"purpose"	"of"	"the"	"conjugal"	"act"	"be"	"procreation"	"and"	"that"	"the"	"fostering"	"of"	"the"	"mutual"	"love"	"of"	"the"	"spouse"	"be"	"the"	"secondary"	"and"	"subjective"	"end"	
"2:39:00::"	"be"	"in"	"must"	"another"	"must_be"	"be_in"	"in_another"	"now_must_be"	"must_be_in"	"be_in_another"	"in_another_light"	"RB"	"VB"	"VB"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"also"	"sir"	"two"	"article"	"which"	"were"	"souvenir"	"now"	"must"	"be"	"regard"	"in"	"another"	"light"	"entirely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"not"	","	"with"	",_was"	"was_not"	"not_with"	"survival_,_was"	",_was_not"	"was_not_with"	"not_with_horror"	"NN"	"ε"	"VBD"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"intermarriage"	"which"	"is"	"generally"	"regard_as"	"a"	"to"	"jewish"	"survival"	"was"	"regard"	"not"	"with"	"horror"	"or"	"apprehension"	"but"	"with"	"a"	"kind"	"of"	"mild"	"clinical"	"disapproval"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"∅"	"atlanta"	"∅"	"'s"	"∅_∅"	"∅_atlanta"	"atlanta_'s"	"∅_∅_∅"	"∅_∅_atlanta"	"∅_atlanta_'s"	"atlanta_'s_new"	"ε"	"ε"	"ε"	"VB"	"NN"	"POS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"atlanta"	"new"	"million"	"dollar"	"airport"	"the"	"jury"	"recommend"	"that"	"when"	"the"	"new"	"management"	"take_charge"	"jan"	"the"	"airport"	"be"	"operate"	"in"	"a"	"manner"	"that"	"will"	"eliminate"	"political"	"influence"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"no_doubt"	"the"	"you"	"preceding"	"you_no_doubt"	"no_doubt_the"	"the_preceding"	",_you_no_doubt"	"you_no_doubt_the"	"no_doubt_the_preceding"	"the_preceding_as"	"ε"	"PRP"	"RB"	"VB"	"DT"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"no_doubt"	"regard"	"the"	"preceding"	"as"	"pap"	"you"	"tool_around"	"full"	"of"	"gage"	"in"	"your"	"hot_rod"	"gorge"	"yourselves"	"on"	"pizza"	"and"	"play"	"pinball"	"in"	"the"	"tavern"	"and"	"generally"	"behave"	"like"	"ubermensch"	"0"	"0"	"0"	"0"	
