"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"2:40:00::"	"is"	"by"	"system"	"the"	"system_is"	"is_by"	"by_the"	"the_system_is"	"system_is_by"	"is_by_the"	"by_the_state"	"DT"	"NN"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"nassau_county"	"for_example"	"the"	"heavily"	"settled"	"long_island"	"of"	"new_york_city"	"the"	"system"	"is"	"credit"	"by"	"the"	"state"	"with"	"serve"	"one"	"million"	"persons"	"a"	"figure"	"that"	"has"	"double"	"since"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:12::"	"conservation_commissioner_salvatore_a._bontempo"	"his"	"from"	"supervision"	"from_conservation_commissioner_salvatore_a._bontempo"	"conservation_commissioner_salvatore_a._bontempo_his"	"his_supervision"	"citation_from_conservation_commissioner_salvatore_a._bontempo"	"from_conservation_commissioner_salvatore_a._bontempo_his"	"conservation_commissioner_salvatore_a._bontempo_his_supervision"	"his_supervision_with"	"NN"	"IN"	"NNP"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"from"	"conservation_commissioner_salvatore_a._bontempo"	"credit"	"his"	"supervision"	"with"	"a"	"reduction"	"in"	"the"	"number"	"of"	"forest_fires"	"in"	"the"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"want"	"for"	"you"	"your"	"you_want"	"want_for"	"for_your"	"if_you_want"	"you_want_for"	"want_for_your"	"for_your_employee"	"IN"	"PRP"	"VB"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"want"	"credit"	"for"	"your"	"employee"	"services"	"program"	"let"	"your"	"worker"	"know"	"what"	"they"	"entitle"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	","	"idea"	"thought"	"with"	"thought_,"	",_idea"	"idea_with"	"dangerous_thought_,"	"thought_,_idea"	",_idea_with"	"idea_with_high"	"JJ"	"NN"	"ε"	"VB"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"those"	"who"	"would"	"dangerous"	"thought"	"credit"	"idea"	"with"	"high"	"potency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"want"	"against"	"you"	"your"	"you_want"	"want_against"	"against_your"	"amount_you_want"	"you_want_against"	"want_against_your"	"against_your_estimated"	"NN"	"PRP"	"VB"	"VB"	"IN"	"PRP$"	"JJ"	"file"	"a"	"form_1040"	"you"	"should"	"indicate"	"in"	"the"	"place"	"provide"	"that"	"there"	"be"	"an"	"overpayment"	"of"	"tax"	"and"	"the"	"amount"	"you"	"want"	"refund"	"and"	"the"	"amount"	"you"	"want"	"against"	"your"	"estimated"	"tax"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"his"	","	"to"	"among"	"to_his"	"his_,"	",_among"	"song_to_his"	"to_his_,"	"his_,_among"	",_among_them"	"NN"	"TO"	"PRP$"	"NN"	"ε"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"person"	"and"	"person"	"begin"	"their"	"collaboration"	"in"	"person"	"like"	"person"	"have"	"several"	"film"	"song"	"to"	"his"	"credit"	"among"	"them"	"hooray_for_hollywood"	"ride"	"tenderfoot"	"ride"	"have_you_got_any_castles"	"baby"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"semester_hour"	"in"	"24"	"the"	"24_semester_hour"	"semester_hour_in"	"in_the"	"at_least_24_semester_hour"	"24_semester_hour_in"	"semester_hour_in_the"	"in_the_subject"	"RB"	"JJ"	"NN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"also"	"would"	"require"	"junior_high"	"teacher"	"to"	"have"	"at_least"	"semester_hour"	"credit"	"in"	"the"	"subject"	"they"	"are"	"teach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"'s"	"that"	"person"	"he"	"person_'s"	"'s_that"	"that_he"	"to_person_'s"	"person_'s_that"	"'s_that_he"	"that_he_make"	"TO"	"NNP"	"POS"	"NN"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"to"	"person"	"credit"	"that"	"he"	"make"	"no"	"attempt"	"to"	"outdo"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"requirement"	"∅"	"stipulate"	"∅_the"	"the_requirement"	"requirement_stipulate"	"∅_∅_the"	"∅_the_requirement"	"the_requirement_stipulate"	"requirement_stipulate_that"	"ε"	"ε"	"DT"	"NN"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"credit"	"requirement"	"stipulate"	"that"	"the"	"applicant"	"must"	"have"	"the"	"ability"	"to"	"operate"	"the"	"business"	"successfully"	"and"	"have"	"enough"	"capital"	"in"	"the"	"business"	"so"	"that"	"with"	"loan"	"assistance"	"from"	"the"	"sba"	"it"	"will"	"be"	"able"	"to"	"operate"	"on"	"a"	"sound"	"financial"	"basis"	
"1:10:00::"	"do"	"to"	"that"	"person"	"that_do"	"do_to"	"to_person"	"accent_that_do"	"that_do_to"	"do_to_person"	"to_person_,"	"NN"	"WDT"	"VB"	"NN"	"TO"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"le"	"petit_dejeuner"	"person"	"say"	"in"	"an"	"that"	"do"	"credit"	"to"	"person"	"his"	"high_school"	"french_teacher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
