"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"
"3:00:00::"	"rather"	"place"	"a"	"of"	"a_rather"	"rather_place"	"place_of"	"have_a_rather"	"a_rather_place"	"rather_place_of"	"place_of_my"	"VB"	"DT"	"RB"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"have"	"rather"	"small"	"place"	"of"	"my"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"too"	"to"	"be"	"reach"	"be_too"	"too_to"	"to_reach"	"i_be_too"	"be_too_to"	"too_to_reach"	"to_reach_the"	"PRP"	"VB"	"RB"	"JJ"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"then"	"for"	"how"	"many"	"year"	"or"	"how"	"few"	"does"	"not"	"matter"	"my"	"be"	"bound"	"round"	"by"	"fence"	"when"	"i"	"be"	"too"	"small"	"to"	"reach"	"the"	"apple_tree"	"bough"	"to"	"twist"	"my"	"knee"	"over"	"it"	"and"	"pull_up"	"myself"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"quantity"	"with"	"."	"with_a"	"a_quantity"	"quantity_."	"mouth_with_a"	"with_a_quantity"	"a_quantity_."	"quantity_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"cleanse"	"mouth"	"with"	"a"	"small"	"quantity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"fire"	"got"	"start"	"got_a"	"a_fire"	"fire_start"	"he_got_a"	"got_a_fire"	"a_fire_start"	"fire_start_and"	"PRP"	"VBD"	"DT"	"JJ"	"NN"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"a"	"small"	"fire"	"start"	"and"	"put_on"	"bacon"	"and"	"coffee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"even"	"may"	"in"	"may_be"	"be_even"	"even_in"	"invest_may_be"	"may_be_even"	"be_even_in"	"even_in_a"	"VB"	"MD"	"VB"	"JJ"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"return"	"for"	"money"	"labor"	"invest"	"may"	"be"	"small"	"even"	"in"	"a"	"good"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"flock"	"for"	"of"	"for_a"	"a_flock"	"flock_of"	"and_for_a"	"for_a_flock"	"a_flock_of"	"flock_of_chicken"	"CC"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"quarter"	"to"	"acre"	"of"	"good"	"land"	"be"	"enough"	"for"	"fruit"	"and"	"vegetable"	"for"	"home"	"use"	"and"	"for"	"a"	"small"	"flock"	"of"	"chicken"	"a"	"cow"	"and"	"two"	"pig"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"office"	"in"	"at"	"in_a"	"a_office"	"office_at"	"woman_in_a"	"in_a_office"	"a_office_at"	"office_at_the"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"man"	"with"	"a"	"sketch_pad"	"in"	"hand"	"with"	"a"	"large"	"pink"	"woman"	"in"	"a"	"small"	"office"	"at"	"the"	"end"	"of"	"a"	"long"	"dim"	"corridor"	"and"	"make"	"pencil"	"line"	"on_paper"	"and"	"say"	"is"	"this"	"more"	"like"	"it"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"to"	"domestic"	"payment"	"producer"	"payment_to"	"to_domestic"	"domestic_producer"	"stabilization_payment_to"	"payment_to_domestic"	"to_domestic_producer"	"domestic_producer_of"	"NN"	"NN"	"TO"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"it"	"enact"	"by"	"the"	"senate"	"and"	"house_of_representatives"	"of"	"the"	"united_states_of_america"	"in"	"congress"	"assemble"	"that"	"the"	"is"	"hereby"	"authorize"	"and"	"direct"	"to"	"establish"	"and"	"maintain"	"a"	"program"	"of"	"stabilization"	"payment"	"to"	"small"	"domestic"	"producer"	"of"	"lead"	"and"	"zinc"	"ore"	"and"	"concentrate"	"in_order"	"to"	"stabilize"	"the"	"mining"	"of"	"lead"	"and"	"zinc"	"by"	"small"	"domestic"	"producer"	"on"	"public"	"indian"	"and"	"land"	"as"	"provide"	"in_this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"by"	"domestic"	"zinc"	"producer"	"zinc_by"	"by_domestic"	"domestic_producer"	"and_zinc_by"	"zinc_by_domestic"	"by_domestic_producer"	"domestic_producer_on"	"CC"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"IN"	"enact"	"by"	"the"	"senate"	"and"	"house_of_representatives"	"of"	"the"	"united_states_of_america"	"in"	"congress"	"assemble"	"that"	"the"	"secretary_of_the_interior"	"is"	"hereby"	"authorize"	"and"	"direct"	"to"	"establish"	"and"	"maintain"	"a"	"program"	"of"	"stabilization"	"payment"	"to"	"small"	"domestic"	"producer"	"of"	"lead"	"and"	"zinc"	"ore"	"and"	"concentrate"	"in_order"	"to"	"stabilize"	"the"	"mining"	"of"	"lead"	"and"	"zinc"	"domestic"	"producer"	"on"	"public"	"indian"	"and"	"land"	"as"	"provide"	"in_this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"to"	"domestic"	"payment"	"producer"	"payment_to"	"to_domestic"	"domestic_producer"	"stabilization_payment_to"	"payment_to_domestic"	"to_domestic_producer"	"domestic_producer_upon"	"NN"	"NN"	"TO"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"subject_to"	"the"	"limitation"	"of_this"	"act"	"the"	"shall"	"make"	"stabilization"	"payment"	"to"	"small"	"domestic"	"producer"	"upon"	"presentation"	"of"	"evidence"	"satisfactory"	"to"	"him"	"of"	"their"	"status"	"as"	"such"	"producer"	"and"	"of"	"the"	"sale"	"by"	"them"	"of"	"newly"	"mine"	"ore"	"or"	"concentrate"	"produce"	"therefrom"	"as"	"provide"	"in_this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
