"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"
"2:31:00::"	"suddenly"	"that"	"and"	"they"	"and_suddenly"	"suddenly_that"	"that_they"	"age_and_suddenly"	"and_suddenly_that"	"suddenly_that_they"	"that_they_face"	"NN"	"CC"	"RB"	"VB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"today"	"many_of"	"those"	"men"	"reach"	"retirement"	"age"	"and"	"suddenly"	"realize"	"that"	"they"	"face"	"an"	"estate_tax"	"problem"	"with"	"their"	"closely"	"hold"	"companies"	"and"	"also"	"that"	"they"	"have"	"no"	"second-echelon"	"management"	"in"	"their"	"firms"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"he"	"he"	"then"	"be"	"then_he"	"he_he"	"he_be"	";_then_he"	"then_he_he"	"he_he_be"	"he_be_hungry"	"ε"	"RB"	"PRP"	"VB"	"PRP"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"take"	"him"	"about"	"fifteen"	"to"	"calm"	"himself"	"then"	"he"	"realize"	"he"	"be"	"hungry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"and"	"i"	"exit"	"be"	"exit_and"	"and_i"	"i_be"	"the_exit_and"	"exit_and_i"	"and_i_be"	"i_be_hungry"	"DT"	"NN"	"CC"	"VB"	"PRP"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"sit"	"where"	"i"	"watch"	"the"	"exit"	"and"	"realize"	"i"	"be"	"hungry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"realtors"	","	")"	"of_course"	")_realtors"	"realtors_,"	",_of_course"	"2_)_realtors"	")_realtors_,"	"realtors_,_of_course"	",_of_course_,"	"CD"	"ε"	"NNS"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"realtors"	"of_course"	"that"	"they"	"are"	"involve"	"in"	"an"	"increasingly"	"complex"	"legal"	"and"	"political_system"	"that_is"	"open_up"	"opportunities"	"for"	"leverage"	"on"	"their"	"relation_to"	"clients"	"as_well"	"as"	"opportunities"	"for"	"evasion"	"of"	"their"	"responsibility"	"for"	"racial"	"discrimination"	"in"	"housing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"to"	"that"	"long"	"this"	"long_to"	"to_that"	"that_this"	",_long_to"	"long_to_that"	"to_that_this"	"that_this_sort_of"	"ε"	"JJ"	"TO"	"VB"	"IN"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"it"	"did"	"n't"	"take"	"showman"	"long"	"to"	"realize"	"that"	"this"	"sort_of"	"thing"	"be"	"par"	"for"	"the"	"course"	"at"	"newport"	"and"	"that"	"you"	"have_to"	"learn"	"to"	"live"	"with_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"that"	"should"	"while"	"should_be"	"be_that"	"that_while"	"it_should_be"	"should_be_that"	"be_that_while"	"that_while_college"	"PRP"	"MD"	"VB"	"VB"	"IN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"appreciate"	"the"	"nature"	"of"	"gamble"	"it"	"should"	"be"	"realize"	"that"	"while"	"college"	"teaching"	"be"	"almost"	"a"	"public"	"symbol"	"of"	"security"	"that"	"security"	"does"	"not"	"come"	"as"	"quickly"	"or"	"as"	"automatically"	"as"	"it"	"does"	"in"	"an"	"elementary_school"	"system"	"or"	"in"	"the"	"civil_service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"guerrillas"	"they"	"the"	"face"	"the_guerrillas"	"guerrillas_they"	"they_face"	"∅_the_guerrillas"	"the_guerrillas_they"	"guerrillas_they_face"	"they_face_a"	"ε"	"DT"	"NNS"	"VB"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"guerrillas"	"realize"	"they"	"face"	"a"	"new"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"i"	"that"	"∅"	"hamlet"	"∅_i"	"i_that"	"that_hamlet"	"∅_∅_i"	"∅_i_that"	"i_that_hamlet"	"that_hamlet_was"	"ε"	"ε"	"PRP"	"VB"	"IN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"realize"	"that"	"hamlet"	"was"	"face"	"with"	"an"	"entirely"	"different"	"problem"	"but"	"his"	"agony"	"could"	"have"	"be"	"no"	"greater"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"we"	"that"	"when"	"concessions"	"when_we"	"we_that"	"that_concessions"	"and_when_we"	"when_we_that"	"we_that_concessions"	"that_concessions_to"	"CC"	"WRB"	"PRP"	"VB"	"IN"	"NNS"	"TO"	"become"	"firm"	"enough"	"to"	"stand"	"for"	"those"	"ideals"	"which"	"we"	"know"	"to"	"be"	"right"	"when"	"we"	"become"	"hard"	"enough"	"to"	"refuse"	"to"	"aid"	"nations"	"which"	"do"	"not"	"permit"	"self-determination"	"when"	"we"	"become"	"strong"	"enough"	"to"	"resist"	"any_more"	"drifts"	"towards"	"socialism"	"in"	"our"	"own"	"nation"	"when"	"we"	"recognize"	"that"	"our"	"enemy"	"be"	"communism"	"not"	"war"	"and"	"when"	"we"	"that"	"concessions"	"to"	"communists"	"do"	"not"	"insure"	"peace"	"or"	"freedom"	"then"	"and"	"only"	"then"	"will"	"we"	"no_longer"	"be"	"soft"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"i"	"he"	"of_course"	"be"	"of_course_i"	"i_he"	"he_be"	"though_of_course_i"	"of_course_i_he"	"i_he_be"	"he_be_far"	"IN"	"RB"	"PRP"	"VB"	"PRP"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"try"	"to"	"treat"	"daniel"	"as"	"if"	"be"	"normal"	"though"	"of_course"	"i"	"realize"	"he"	"be"	"far"	"from_that"	"at_present"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"to"	"that"	"zen"	"the"	"zen_to"	"to_that"	"that_the"	"of_zen_to"	"zen_to_that"	"to_that_the"	"that_the_esoteric"	"IN"	"NNP"	"TO"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"important"	"for"	"understanding"	"of"	"zen"	"to"	"realize"	"that"	"the"	"esoteric"	"preoccupations"	"of"	"the"	"select"	"few"	"cannot"	"be"	"the"	"doctrine"	"of"	"the"	"common_man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"to"	"that"	"important"	"many"	"important_to"	"to_that"	"that_many"	"also_important_to"	"important_to_that"	"to_that_many"	"that_many_girls"	"RB"	"JJ"	"TO"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"important"	"to"	"realize"	"that"	"many"	"girls"	"be_born"	"without"	"a"	"hymen"	"or"	"at_most"	"only"	"a"	"tiny"	"trace"	"of"	"one"	"so_that"	"the"	"absence"	"of"	"the"	"hymen"	"be"	"by_no_means"	"proof"	"that"	"a"	"girl"	"has"	"have"	"sex"	"relations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"railway_mail_service"	"that"	"'s"	"their"	"'s_railway_mail_service"	"railway_mail_service_that"	"that_their"	"post_office_department_'s_railway_mail_service"	"'s_railway_mail_service_that"	"railway_mail_service_that_their"	"that_their_distribution"	"NN"	"POS"	"NNP"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rain"	"of"	"near"	"cloudburst"	"proportions"	"had"	"fall"	"for"	"three"	"full"	"days"	"and"	"it"	"was"	"still"	"rain"	"the"	"morning"	"of"	"friday"	"november"	"when"	"officials"	"of"	"the"	"post_office_department"	"railway_mail_service"	"realize"	"that"	"their"	"distribution"	"system"	"for"	"vermont"	"had"	"been"	"almost"	"totally"	"destroy"	"overnight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"that"	"joy"	"we"	"joy_to"	"to_that"	"that_we"	"a_joy_to"	"joy_to_that"	"to_that_we"	"that_we_,"	"DT"	"NN"	"TO"	"VB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"joy"	"to"	"realize"	"that"	"we"	"too"	"can"	"claim"	"this"	"promise"	"tender"	"by"	"the"	"lord"	"during"	"his"	"earthly"	"ministry"	"to"	"a"	"group"	"of"	"men"	"who"	"be"	"very"	"dear"	"to"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"canadians"	"how"	"and"	"fortunate"	"and_canadians"	"canadians_how"	"how_fortunate"	"americans_and_canadians"	"and_canadians_how"	"canadians_how_fortunate"	"how_fortunate_they"	"NNPS"	"CC"	"NNPS"	"VB"	"WRB"	"JJ"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"autumn"	"start"	"its"	"annual"	"few"	"americans"	"and"	"canadians"	"realize"	"how"	"fortunate"	"they"	"be"	"in"	"have"	"the"	"world"	"finest"	"fall"	"coloring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"finally"	"by"	"was"	"the"	"was_finally"	"finally_by"	"by_the"	",_was_finally"	"was_finally_by"	"finally_by_the"	"by_the_establishment"	"ε"	"VBD"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"concept"	"of"	"the"	"middle_kingdom"	"at_peace"	"strong"	"and"	"united"	"under"	"a"	"forceful"	"ruler"	"which"	"had"	"only"	"a"	"longed-for"	"ideal"	"in"	"the"	"time"	"of"	"the"	"warring"	"states"	"was"	"finally"	"realize"	"by"	"the"	"establishment"	"of"	"a"	"chinese"	"empire"	"under"	"the"	"ch"	"in"	"dynasty"	"b."	"c"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"and"	"he"	","	"have"	",_and"	"and_he"	"he_have"	"watch_,_and"	",_and_he"	"and_he_have"	"he_have_an"	"NN"	"ε"	"CC"	"VB"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a_little"	"later"	"the"	"district_attorney"	"wake_up"	"emerge"	"from"	"under"	"couch"	"look"	"at"	"his"	"watch"	"and"	"realize"	"he"	"have"	"an"	"engagement"	"that"	"very"	"hour"	"to"	"address"	"a"	"meeting"	"of"	"the"	"culture_forum"	"on"	"the"	"civic_spirit"	"of"	"the"	"southland"	"in"	"the"	"byzantine"	"room"	"of"	"the"	"hotel"	"where"	"his"	"wife"	"as"	"president"	"of"	"the"	"forum"	"was"	"to"	"preside"	"0"	"0"	"0"	"0"	
