"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"2:42:00::"	","	"to"	"cash"	"union"	"cash_,"	",_to"	"to_union"	"plus_cash_,"	"cash_,_to"	",_to_union"	"to_union_."	"CC"	"NN"	"ε"	"VB"	"TO"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gulf"	"holdings"	"could"	"have"	"been"	"convert"	"into"	"shares"	"of"	"common"	"upon"	"surrender"	"of"	"debentures"	"plus"	"cash"	"accord"	"to"	"union"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"vary"	"to"	"boating"	"the"	"boating_vary"	"vary_to"	"to_the"	"on_boating_vary"	"boating_vary_to"	"vary_to_the"	"to_the_state"	"IN"	"NN"	"VB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"laws"	"boating"	"vary"	"accord"	"to"	"the"	"state"	"in_which"	"the"	"craft"	"is"	"to"	"be"	"use"	"and"	"accord"	"to"	"its"	"horsepower"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"and"	"to"	"use"	"its"	"use_and"	"and_to"	"to_its"	"be_use_and"	"use_and_to"	"and_to_its"	"to_its_horsepower"	"VB"	"VB"	"CC"	"VB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"laws"	"on"	"boating"	"vary"	"accord"	"to"	"the"	"in_which"	"the"	"craft"	"is"	"to"	"be"	"use"	"and"	"accord"	"to"	"its"	"horsepower"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"to"	"leaderless"	"this"	"leaderless_,"	",_to"	"to_this"	"be_leaderless_,"	"leaderless_,_to"	",_to_this"	"to_this_book"	"VB"	"JJ"	"ε"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"west"	"leaderless"	"accord"	"to"	"this"	"book"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"is"	"even"	"idol"	"that_much"	"idol_is"	"is_even"	"even_that_much"	"popular_idol_is"	"idol_is_even"	"is_even_that_much"	"even_that_much_grace"	"JJ"	"NN"	"VBZ"	"VB"	"RB"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"idol"	"is"	"accord"	"even"	"that_much"	"grace"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"operate"	"to"	"to"	"its"	"to_operate"	"operate_to"	"to_its"	"continue_to_operate"	"to_operate_to"	"operate_to_its"	"to_its_present"	"VB"	"TO"	"VB"	"VB"	"TO"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"emory"	"could"	"not"	"to"	"operate"	"accord"	"to"	"its"	"present"	"standards"	"as"	"an"	"institution"	"of"	"higher"	"learning"	"of"	"true"	"university"	"grade"	"and"	"meet"	"its"	"financial_obligations"	"without"	"the"	"tax-exemption"	"privileges"	"which"	"are"	"available"	"to_it"	"only"	"so_long"	"as"	"it"	"conform_to"	"the"	"aforementioned"	"constitutional"	"and"	"statutory"	"provisions"	"the"	"statement"	"say"	
"2:42:00::"	","	"to"	"ants"	"w._e._blasingame"	"ants_,"	",_to"	"to_w._e._blasingame"	"the_ants_,"	"ants_,_to"	",_to_w._e._blasingame"	"to_w._e._blasingame_state"	"DT"	"NNS"	"ε"	"VB"	"TO"	"NNP"	"NN"	"is"	"plan"	"to"	"expand"	"its"	"eradication"	"program"	"soon"	"to"	"four"	"additional"	"counties"	"troup"	"pierce"	"bryan"	"and"	"bulloch"	"to"	"treat"	"acres"	"infest"	"by"	"the"	"ants"	"accord"	"w._e._blasingame"	"state"	"entomologist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"business"	"to"	"bad"	"god"	"bad_business"	"business_to"	"to_god"	"be_bad_business"	"bad_business_to"	"business_to_god"	"to_god_'s"	"VB"	"JJ"	"NN"	"VB"	"TO"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gain"	"outer_space"	"and"	"lose"	"inner"	"be"	"bad"	"business"	"accord"	"to"	"god"	"standards"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"to"	"'s"	"decorator"	"'s_,"	",_to"	"to_decorator"	"1960_'s_,"	"'s_,_to"	",_to_decorator"	"to_decorator_consultant"	"CD"	"POS"	"ε"	"VB"	"TO"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"n't"	"true"	"of"	"the"	"homemakers"	"of"	"the"	"accord"	"to"	"decorator"	"consultant"	"leland_alden"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"to"	"lawrence_j._sullivan"	"a"	"lawrence_j._sullivan_,"	",_to"	"to_a"	"from_lawrence_j._sullivan_,"	"lawrence_j._sullivan_,_to"	",_to_a"	"to_a_deed"	"IN"	"NNP"	"ε"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"two-family"	"house"	"at"	"brook_street"	"has"	"purchase"	"by"	"brown_university"	"from"	"lawrence_j._sullivan"	"accord"	"to"	"a"	"deed"	"file"	"monday"	"at"	"city_hall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
