"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"
"5:00:00:high:01"	"an"	"bough"	"from"	"of"	"from_an"	"an_bough"	"bough_of"	"obtain_from_an"	"from_an_bough"	"an_bough_of"	"bough_of_the"	"VB"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"only"	"extended"	"view"	"possible"	"anyone"	"less"	"than"	"the"	"fence"	"be"	"that"	"obtain"	"from"	"an"	"upper"	"bough"	"of"	"the"	"apple_tree"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:top(a):00"	"the"	"and"	"from"	"lower"	"from_the"	"the_and"	"and_lower"	"nitrogen_from_the"	"from_the_and"	"the_and_lower"	"and_lower_lobe"	"NN"	"IN"	"DT"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"lower"	"center"	"rack"	"an"	"channel"	"recorder"	"indicate"	"percentage"	"of"	"carbon_dioxide"	"and"	"nitrogen"	"from"	"the"	"upper"	"and"	"lower"	"lobe"	"of"	"one"	"lung"	"the"	"total"	"volume"	"of"	"inhalation"	"per"	"breath"	"the"	"flow"	"of"	"air"	"from"	"both"	"lobe"	"and"	"the"	"pressure"	"of"	"the"	"two"	"lobe"	"with_respect_to"	"each_other"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:high:01"	"in"	"teen"	"∅"	"jewish"	"∅_in"	"in_teen"	"teen_jewish"	"∅_∅_in"	"∅_in_teen"	"in_teen_jewish"	"teen_jewish_life"	"ε"	"ε"	"IN"	"JJ"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"upper"	"teen"	"jewish"	"life"	"the"	"non"	"college"	"group"	"tend"	"to"	"have"	"a"	"sense"	"of"	"marginality"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:top(a):00"	"the"	"location"	"on"	"."	"on_the"	"the_location"	"location_."	"home_on_the"	"on_the_location"	"the_location_."	"location_._∅"	"NN"	"IN"	"DT"	"JJ"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"early"	"the"	"next"	"morning"	"a"	"mexican"	"telephone"	"person"	"that"	"person"	"one"	"of"	"the"	"member"	"surround"	"by"	"ten"	"mexican"	"at"	"his"	"father"	"home"	"on"	"the"	"upper"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:high:01"	","	"and"	"chest"	"low"	"chest_,"	",_and"	"and_low"	",_chest_,"	"chest_,_and"	",_and_low"	"and_low_back"	"ε"	"NN"	"ε"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"arm"	"shoulder"	"upper"	"and"	"low"	"back"	"strength"	"will"	"be"	"aid"	"with"	"the"	"horse_kick"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:top(a):00"	"the"	"oxygen"	"to"	"atom"	"to_the"	"the_oxygen"	"oxygen_atom"	"close_to_the"	"to_the_oxygen"	"the_oxygen_atom"	"oxygen_atom_while"	"JJ"	"TO"	"DT"	"JJ"	"NN"	"NN"	"IN"	"bond"	"be"	"linear"	"then"	"there"	"be"	"three"	"reasonable"	"position"	"the"	"hydrogen_atom"	"the"	"hydrogen_atom"	"be"	"centered"	"and"	"hence"	"all"	"lie"	"on"	"a"	"sheet"	"midway"	"between"	"the"	"oxygen"	"sheet"	"all"	"hydrogen_atom"	"lie"	"on"	"a"	"sheet"	"but"	"the"	"sheet"	"be"	"close"	"to"	"one"	"oxygen"	"sheet"	"than"	"to"	"the"	"other"	"hydrogen_atom"	"be"	"asymmetrically"	"place"	"either"	"randomly"	"in"	"an"	"ordered"	"way"	"so"	"that"	"some"	"hydrogen_atom"	"be"	"close"	"to"	"the"	"upper"	"atom"	"while"	"be"	"close"	"to"	"the"	"lower"	"oxygen"	"atom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:high:01"	"the"	"center"	"in"	"of"	"in_the"	"the_center"	"center_of"	"∅_in_the"	"in_the_center"	"the_center_of"	"center_of_person"	"ε"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"upper"	"center"	"of"	"person"	"first"	"collage"	"fruit_dish"	"in"	"person"	"collection"	"a"	"bunch"	"of"	"grape"	"is"	"render"	"with"	"such"	"conventionally"	"vivid"	"sculptural"	"effect"	"as"	"to"	"lift"	"it"	"practically"	"off"	"the"	"picture_plane"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:top(a):00"	"the"	"part"	"mark"	"of"	"mark_the"	"the_part"	"part_of"	"that_mark_the"	"mark_the_part"	"the_part_of"	"part_of_his"	"WDT"	"VB"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"ease"	"his"	"rifle"	"safety"	"off"	"and"	"gently"	"slowly"	"sneak"	"another"	"clip"	"ammunition"	"from"	"one"	"of"	"the"	"cloth"	"bandoleer"	"that"	"mark"	"the"	"upper"	"part"	"of"	"his"	"body"	"with"	"an"	"x"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:high:01"	"the"	"back"	"of"	"and"	"of_the"	"the_back"	"back_and"	"muscle_of_the"	"of_the_back"	"the_back_and"	"back_and_chest"	"NN"	"IN"	"DT"	"JJ"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"right_away"	"person"	"introduce"	"person"	"to"	"his"	"famous"	"moon"	"bench"	"and"	"proceed"	"to"	"teach"	"him"	"his"	"first"	"push-pull_super-set"	"consist_of"	"the"	"wide"	"grip"	"straight-arm_pullover"	"pull"	"part"	"of"	"the"	"push-pull_super-set"	"which"	"dramatically"	"widen"	"the"	"rib_cage"	"and"	"strongly"	"affect"	"the"	"muscle"	"of"	"the"	"upper"	"back"	"and"	"chest"	"and"	"the"	"collar-to-collar"	"bench_press"	"which"	"specifically"	"work_on"	"the"	"chest"	"to"	"build"	"those"	"wide"	"person"	"gladiator"	"pecs"	"while"	"stimulate"	"the"	"upper"	"lat"	"and"	"frontal"	"deltoid"	
"5:00:00:high:01"	"the"	"lat"	"stimulate"	"and"	"stimulate_the"	"the_lat"	"lat_and"	"while_stimulate_the"	"stimulate_the_lat"	"the_lat_and"	"lat_and_frontal"	"IN"	"VB"	"DT"	"JJ"	"NN"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"so"	"right_away"	"person"	"introduce"	"person"	"to"	"his"	"famous"	"moon"	"bench"	"and"	"proceed"	"to"	"teach"	"him"	"his"	"first"	"push-pull_super-set"	"consist_of"	"the"	"wide"	"grip"	"straight-arm_pullover"	"the"	"pull"	"part"	"of"	"the"	"push-pull_super-set"	"which"	"dramatically"	"widen"	"the"	"rib_cage"	"and"	"strongly"	"affect"	"the"	"muscle"	"of"	"the"	"upper"	"back"	"and"	"chest"	"and"	"the"	"collar-to-collar"	"bench_press"	"which"	"specifically"	"work_on"	"the"	"chest"	"to"	"build"	"those"	"wide"	"person"	"gladiator"	"pecs"	"stimulate"	"the"	"upper"	"lat"	"and"	"frontal"	"deltoid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
