"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:41:01::"	"currently"	"by"	"is"	"the"	"is_currently"	"currently_by"	"by_the"	"recommend_is_currently"	"is_currently_by"	"currently_by_the"	"by_the_town"	"VB"	"VBZ"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fruitful"	"course"	"of"	"metropolitanization"	"you"	"recommend"	"is"	"currently"	"practice"	"by"	"the"	"town"	"of"	"east_greenwich"	"and"	"have"	"its"	"inception"	"long"	"before"	"we"	"learn"	"what"	"it"	"be"	"called"	"0"	
"2:41:00::"	"been"	"in"	"has"	"portland"	"has_been"	"been_in"	"in_portland"	",_has_been"	"has_been_in"	"been_in_portland"	"in_portland_since"	"ε"	"VBZ"	"VBN"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ierulli"	"has"	"practice"	"in"	"portland"	"since"	"november"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"as"	"by"	"leadership"	"mundt"	"leadership_as"	"as_by"	"by_mundt"	"republican_leadership_as"	"leadership_as_by"	"as_by_mundt"	"by_mundt_,"	"NNP"	"NN"	"IN"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"present"	"leadership"	"as"	"practice"	"by"	"mundt"	"goldwater"	"bridges"	"dirksen"	"et"	"al"	"is"	"repeat"	"the"	"errors"	"of"	"the"	"party"	"leadership"	"of"	"the"	"s"	"0"	"0"	
"2:41:01::"	"only"	"a"	"was"	"concept"	"was_only"	"only_a"	"a_concept"	"i_was_only"	"was_only_a"	"only_a_concept"	"a_concept_that"	"PRP"	"VBD"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"did"	"not"	"perceive"	"this"	"essential"	"distinction"	"either"	"first-born"	"hesperus"	"at_once"	"i"	"was"	"only"	"practice"	"a"	"concept"	"that"	"jack"	"teach"	"me"	"called"	"a"	"deal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"n't"	"a"	"do"	"new"	"do_n't"	"n't_a"	"a_new"	"∅_do_n't"	"do_n't_a"	"n't_a_new"	"a_new_recipe"	"ε"	"VBP"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n't"	"practice"	"a"	"new"	"recipe"	"on"	"guests"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"he"	"in"	"when"	"los_angeles"	"when_he"	"he_in"	"in_los_angeles"	"dr._swim_when_he"	"when_he_in"	"he_in_los_angeles"	"in_los_angeles_."	"NNP"	"WRB"	"PRP"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cocktails"	"and"	"a"	"buffet"	"supper"	"were"	"serve"	"to"	"persons"	"who"	"had"	"know"	"dr._swim"	"when"	"he"	"practice"	"in"	"los_angeles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"not"	"sin"	"does"	"."	"does_not"	"not_sin"	"sin_."	"he_does_not"	"does_not_sin"	"not_sin_."	"sin_._∅"	"PRP"	"VBZ"	"RB"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whoever"	"be_born"	"of"	"god"	"does"	"not"	"sin"	"that_is"	"he"	"does"	"not"	"practice"	"sin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"management"	","	"game"	"there"	"game_management"	"management_,"	",_there"	"and_game_management"	"game_management_,"	"management_,_there"	",_there_be"	"CC"	"NN"	"NN"	"NN"	"ε"	"EX"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"due_to"	"modern"	"use"	"and"	"game"	"management"	"practice"	"there"	"be"	"still"	"game"	"to"	"shoot"	"even"	"with"	"the"	"ever"	"expanding"	"encroachment"	"on"	"land"	"and"	"water"	"0"	"0"	
"2:36:00::"	"to"	"on"	"settle_down"	"person"	"settle_down_to"	"to_on"	"on_person"	"person_settle_down_to"	"settle_down_to_on"	"to_on_person"	"on_person_the"	"NNP"	"VB"	"TO"	"VB"	"IN"	"NNP"	"DT"	"on"	"the"	"accelerator"	"only"	"to"	"gradually"	"reach"	"again"	"the"	"mph"	"which"	"would"	"i"	"hope"	"overhaul"	"person"	"and"	"the"	"blonde"	"and"	"as"	"there"	"were"	"car"	"whose"	"driver"	"apparently"	"have"	"something"	"more"	"important"	"to"	"catch"	"than"	"had"	"person"	"settle_down"	"to"	"practice"	"person"	"the"	"kittenish"	"wile"	"she"	"would"	"need"	"when"	"make"	"her"	"duty"	"call"	"on"	"colonel"	"and"	"mrs"	"somebody"	"in"	"location"	"0"	"0"	"0"	"0"	
"1:04:04::"	"actual"	"no"	"in"	"message"	"in_actual"	"actual_no"	"no_message"	"that_in_actual"	"in_actual_no"	"actual_no_message"	"no_message_be"	"IN"	"IN"	"JJ"	"NN"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"a"	"word"	"of"	"caution"	"we"	"be"	"aware"	"that"	"in"	"actual"	"practice"	"no"	"message"	"be"	"purely"	"one"	"of"	"the"	"four"	"type"	"question"	"command"	"statement"	"or"	"exclamation"	"0"	"0"	"0"	
