"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"
"2:31:00::"	"shayne"	","	","	"``"	",_shayne"	"shayne_,"	",_``"	"''_,_shayne"	",_shayne_,"	"shayne_,_``"	",_``_because"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"better"	"keep_on"	"drive"	"shayne"	"decide"	"because"	"i"	"be"	"go_on"	"over"	"to"	"the"	"beach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"to"	"if"	"proceed"	"if_he"	"he_to"	"to_proceed"	"∅_if_he"	"if_he_to"	"he_to_proceed"	"to_proceed_,"	"ε"	"IN"	"PRP"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"decide"	"to"	"proceed"	"he"	"will"	"custom-make"	"for"	"susie"	"an"	"appliance"	"consist_of"	"bands"	"plastic"	"plates"	"fine"	"wires"	"and"	"tiny"	"springs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	","	"to"	"vote"	"ask"	"vote_,"	",_to"	"to_ask"	"3_vote_,"	"vote_,_to"	",_to_ask"	"to_ask_voters"	"CD"	"NN"	"ε"	"VB"	"TO"	"VB"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"week"	"the"	"board"	"by"	"to"	"vote"	"decide"	"to"	"ask"	"voters"	"whether"	"they"	"prefer"	"the"	"junior_high_school"	"system"	"or"	"the"	"system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"to"	"."	"jury"	"∅"	"jury_to"	"to_."	"._∅"	"the_jury_to"	"jury_to_."	"to_._∅"	"._∅_∅"	"DT"	"NN"	"TO"	"VB"	"ε"	"ε"	"ε"	"behalf"	"of"	"defendant"	"philip_weinstein"	"argue"	"there"	"be"	"no"	"evidence"	"link"	"weinstein"	"to"	"the"	"conspiracy"	"but"	"judge_powell"	"declare"	"this"	"be"	"a"	"matter"	"for"	"jury"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"whether"	"try"	"fiske"	"try_to"	"to_whether"	"whether_fiske"	",_try_to"	"try_to_whether"	"to_whether_fiske"	"whether_fiske_be"	"ε"	"VB"	"TO"	"VB"	"IN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mike"	"debate"	"try"	"to"	"decide"	"whether"	"fiske"	"be"	"strong"	"enough"	"to"	"ride"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"whether"	"have"	"to"	"have_to"	"to_whether"	"whether_to"	"will_have_to"	"have_to_whether"	"to_whether_to"	"whether_to_let"	"MD"	"VB"	"VB"	"VB"	"IN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the_british"	"government"	"have"	"to"	"decide"	"whether"	"to"	"let"	"u._s."	"coal"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"he"	"after"	"want"	"after_he"	"he_he"	"he_want"	"to_after_he"	"after_he_he"	"he_he_want"	"he_want_to"	"TO"	"IN"	"PRP"	"VB"	"PRP"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._marr"	"be"	"the"	"first"	"contact"	"skid_row"	"figure"	"talk"	"to"	"after"	"he"	"decide"	"he"	"want"	"to"	"pick_up"	"himself"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"or"	"on"	","	"some"	",_or"	"or_on"	"on_some"	"chain_,_or"	",_or_on"	"or_on_some"	"on_some_action"	"NN"	"ε"	"CC"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"not"	"for"	"the"	"angel"	"just"	"a"	"matter"	"of"	"a"	"logical"	"or"	"deductive"	"chain"	"or"	"decide"	"on"	"some"	"action"	"from"	"some"	"already"	"established"	"premise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"i"	"to"	"so"	"take"	"so_i"	"i_to"	"to_take"	",_so_i"	"so_i_to"	"i_to_take"	"to_take_another"	"ε"	"RB"	"PRP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"see"	"that"	"i"	"would"	"soon"	"run_out"	"buildings"	"at"	"this"	"rate"	"so"	"i"	"decide"	"to"	"take"	"another"	"measure"	"the"	"whole"	"state"	"of"	"pennsylvania"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"had"	"he"	"himself"	"would"	"himself_had"	"had_he"	"he_would"	"he_himself_had"	"himself_had_he"	"had_he_would"	"he_would_n't"	"PRP"	"PRP"	"VBD"	"VB"	"PRP"	"MD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"he"	"say"	"he"	"has"	"answer"	"more_than"	"messages"	"of"	"congratulations"	"which"	"lead"	"him"	"to"	"comment"	"that"	"he"	"himself"	"had"	"decide"	"he"	"would"	"n't"	"send"	"another"	"congratulatory"	"message"	"for"	"the"	"rest"	"of"	"his"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"general_assembly"	"to"	"the"	"tackle"	"the_general_assembly"	"general_assembly_to"	"to_tackle"	"in_which_the_general_assembly"	"the_general_assembly_to"	"general_assembly_to_tackle"	"to_tackle_executive"	"RB"	"DT"	"NN"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"follow"	"the"	"historic"	"appropriations"	"budget"	"fight"	"in_which"	"the"	"general_assembly"	"decide"	"to"	"tackle"	"executive"	"powers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"and"	"to"	","	"indulge"	",_and"	"and_to"	"to_indulge"	"seven_,_and"	",_and_to"	"and_to_indulge"	"to_indulge_his"	"CD"	"ε"	"CC"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"glance"	"at"	"his"	"watch"	"see"	"be"	"only"	"seven"	"and"	"decide"	"to"	"indulge"	"his"	"weakness"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"may"	"to"	"we"	"support"	"we_may"	"may_to"	"to_support"	"that_we_may"	"we_may_to"	"may_to_support"	"to_support_them"	"IN"	"PRP"	"MD"	"VB"	"TO"	"VB"	"PRP"	"more"	"primitive"	"areas"	"where"	"the"	"capacity"	"to"	"absorb"	"and"	"utilize"	"external"	"assistance"	"be"	"limited"	"some"	"activities"	"may"	"be"	"of"	"such"	"obvious"	"priority"	"that"	"we"	"decide"	"to"	"support"	"them"	"before"	"a"	"well"	"work_out"	"program"	"be"	"available"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"apparently"	"it"	"phs"	"would"	"phs_apparently"	"apparently_it"	"it_would"	",_phs_apparently"	"phs_apparently_it"	"apparently_it_would"	"it_would_be"	"ε"	"NNP"	"RB"	"VB"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"having"	"hedge"	"its"	"in_this_way"	"phs"	"apparently"	"decide"	"it"	"would"	"be"	"to"	"make"	"some"	"sort_of"	"determination"	"after_all"	"at_present"	"radiation"	"levels"	"and"	"even"	"at"	"somewhat"	"higher"	"levels"	"the"	"additional"	"risk"	"be"	"slight"	"and"	"very_few"	"people"	"will"	"be"	"affect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"ld"	"that"	"^"	"it"	"^_ld"	"ld_that"	"that_it"	"secretary-general_hammarskjo_^_ld"	"^_ld_that"	"ld_that_it"	"that_it_would"	"NNP"	"NN"	"NN"	"VB"	"IN"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"secretary-general_hammarskjo"	"decide"	"that"	"it"	"would"	"be"	"preferable"	"if"	"the"	"u._n."	"troops"	"send"	"into"	"the"	"congo"	"were"	"to"	"come"	"from"	"african"	"or"	"at_least"	"nonwhite"	"nations"	"certainly"	"not"	"from"	"the"	"u._s."	"russia"	"great_britain"	"or"	"france"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"mary"	"she"	"∅"	"had"	"∅_mary"	"mary_she"	"she_had"	"∅_∅_mary"	"∅_mary_she"	"mary_she_had"	"she_had_have"	"ε"	"ε"	"NNP"	"VB"	"PRP"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"decide"	"she"	"had"	"have"	"enough"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
