"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:35:00::"	"gallery"	"by"	"a"	"pointed_arches"	"a_gallery"	"gallery_by"	"by_pointed_arches"	"with_a_gallery"	"a_gallery_by"	"gallery_by_pointed_arches"	"by_pointed_arches_run"	"IN"	"DT"	"NN"	"VB"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"retrace"	"my"	"steps"	"to"	"the"	"mosque"	"of"	"sultan_ahmet"	"only"	"one"	"with"	"six"	"minarets"	"i"	"the"	"courtyard"	"with"	"a"	"gallery"	"support"	"by"	"pointed_arches"	"run"	"around"	"it"	"and"	"a"	"fountain"	"in_the_middle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"that"	"their"	"structure"	"roots"	"structure_that"	"that_their"	"their_roots"	"bony_structure_that"	"structure_that_their"	"that_their_roots"	"their_roots_."	"JJ"	"NN"	"WDT"	"VB"	"PRP$"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bad"	"alignment"	"may"	"result"	"in"	"early"	"loss"	"of"	"through"	"a"	"breakdown"	"of"	"the"	"bony"	"structure"	"that"	"support"	"their"	"roots"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"locally"	"vote"	"controlled"	"vote_to"	"to_locally"	"locally_controlled"	")_vote_to"	"vote_to_locally"	"to_locally_controlled"	"locally_controlled_educational"	"ε"	"NN"	"TO"	"VB"	"RB"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"senate"	"overwhelming"	"vote"	"to"	"locally"	"controlled"	"educational"	"tv"	"efforts"	"should"	"be"	"emulate"	"in"	"the"	"lower"	"house"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"and"	"to"	"assist"	"to_be"	"be_and"	"and_assist"	",_to_be"	"to_be_and"	"be_and_assist"	"and_assist_by"	"ε"	"TO"	"VB"	"VB"	"CC"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"in"	"an"	"important"	"assertion"	"of"	"national"	"leadership"	"in_this"	"field"	"he"	"has"	"issue"	"an"	"executive"	"order"	"establish"	"the"	"president"	"committee"	"on"	"juvenile_delinquency"	"and"	"to"	"be"	"support"	"and"	"assist"	"by"	"a"	"citizens"	"advisory_council"	"of"	"recognized"	"authorities"	"on"	"juvenile"	"problems"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"his"	"∅"	"large"	"∅_to"	"to_his"	"his_large"	"∅_∅_to"	"∅_to_his"	"to_his_large"	"his_large_family"	"ε"	"ε"	"TO"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"support"	"his"	"large"	"family"	"hamilton"	"go_back"	"to"	"the"	"law"	"after"	"each"	"spell"	"of"	"public_service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"them"	"decide"	"before"	"decide_to"	"to_them"	"them_before"	"may_decide_to"	"decide_to_them"	"to_them_before"	"them_before_a"	"MD"	"VB"	"TO"	"VB"	"PRP"	"IN"	"DT"	"in"	"the"	"more"	"primitive"	"areas"	"where"	"the"	"capacity"	"to"	"absorb"	"and"	"utilize"	"external"	"assistance"	"be"	"limited"	"some"	"activities"	"may"	"be"	"of"	"such"	"obvious"	"priority"	"that"	"may"	"decide"	"support"	"them"	"before"	"a"	"well"	"work_out"	"program"	"be"	"available"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"it"	"up"	"on"	"up_and"	"and_it"	"it_on"	"bulk_up_and"	"up_and_it"	"and_it_on"	"it_on_one"	"NN"	"RB"	"CC"	"VB"	"PRP"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ryan"	"heft"	"bulk"	"up"	"and"	"support"	"it"	"on"	"one"	"elbow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	","	"by"	"institution"	"generous"	"institution_,"	",_by"	"by_generous"	"private_institution_,"	"institution_,_by"	",_by_generous"	"by_generous_individuals"	"JJ"	"NN"	"ε"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"a"	"institution"	"support"	"by"	"generous"	"individuals"	"emory_university"	"will"	"recognize"	"no"	"obligation"	"and"	"will"	"adopt"	"no"	"policy"	"that"	"would"	"conflict"	"with"	"its"	"purpose"	"to"	"promote"	"excellence"	"in"	"scholarship"	"and"	"christian"	"education"	
"2:41:01::"	"not"	"the"	"did"	"party"	"did_not"	"not_the"	"the_party"	"who_did_not"	"did_not_the"	"not_the_party"	"the_party_ticket"	"WP"	"VBD"	"RB"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reports"	"be"	"that"	"it"	"be"	"more_than"	"probability"	"the"	"four"	"congressmen"	"from"	"mississippi"	"who"	"did"	"not"	"support"	"the"	"party"	"ticket"	"will"	"be"	"strip"	"of"	"the"	"usual"	"patronage"	"which"	"flow"	"to"	"congressmen"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"not"	"him"	"would"	"in"	"would_not"	"not_him"	"him_in"	"legislature_would_not"	"would_not_him"	"not_him_in"	"him_in_his"	"NNP"	"MD"	"RB"	"VB"	"PRP"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"it"	"fail"	"to"	"pass"	"he"	"can"	"throw"	"his"	"hands"	"and"	"say"	"the"	"legislature"	"would"	"not"	"support"	"him"	"in"	"his"	"efforts"	"to"	"prevent"	"integration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"dr._bonnor"	"the"	"∅"	"idea"	"∅_dr._bonnor"	"dr._bonnor_the"	"the_idea"	"∅_∅_dr._bonnor"	"∅_dr._bonnor_the"	"dr._bonnor_the_idea"	"the_idea_that"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"support"	"the"	"idea"	"that"	"the"	"universe"	"both"	"expand"	"and"	"contract"	"that"	"in"	"several"	"billion"	"years"	"the"	"expansion"	"will"	"slow_up"	"and"	"reverse"	"itself"	"and"	"that"	"the"	"contraction"	"will"	"set_in"	"0"	
"2:41:01::"	"was"	"today"	","	"by"	",_was"	"was_today"	"today_by"	"essex_county_,_was"	",_was_today"	"was_today_by"	"today_by_edward_w._roos"	"NNP"	"ε"	"VBD"	"VB"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"candidacy"	"of"	"mayor_james_j._sheeran"	"of"	"west_orange"	"for"	"the"	"nomination"	"for"	"sheriff"	"of"	"essex_county"	"was"	"support"	"today"	"by"	"edward_w._roos"	"west_orange"	"public"	"safety"	"commissioner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"hughes"	"gov._meyner"	"∅"	"'s"	"∅_hughes"	"hughes_gov._meyner"	"gov._meyner_'s"	"∅_∅_hughes"	"∅_hughes_gov._meyner"	"hughes_gov._meyner_'s"	"gov._meyner_'s_``"	"ε"	"ε"	"NNP"	"VB"	"NNP"	"POS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"support"	"gov._meyner"	"green_acres"	"plan"	"for"	"save"	"large"	"tracts"	"of"	"open"	"land"	"from"	"the"	"onrush"	"of"	"urban"	"development"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"by"	"also"	"commissioner"	"also_was"	"was_by"	"by_commissioner"	"schedule_also_was"	"also_was_by"	"was_by_commissioner"	"by_commissioner_of"	"NN"	"RB"	"VBD"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"new"	"schedule"	"also"	"was"	"support"	"by"	"commissioner"	"of"	"licenses"	"and"	"inspections_barnet_lieberman"	"and"	"health_commissioner_eugene_a._gillis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
