"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"2:33:00::"	"and"	"the"	"for"	"works"	"for_and"	"and_the"	"the_works"	"affinity_for_and"	"for_and_the"	"and_the_works"	"the_works_of"	"NN"	"RB"	"CC"	"VB"	"DT"	"NNS"	"IN"	"0"	"now"	"that"	"bruno_walter"	"be"	"virtually"	"in"	"retirement"	"and"	"my"	"dear"	"friend"	"dimitri_mitropoulos"	"be"	"no_longer"	"with"	"us"	"i"	"be"	"probably"	"the"	"only"	"one"	"with"	"the"	"exception"	"of"	"leonard_bernstein"	"who"	"have"	"this"	"special"	"affinity"	"and"	"champion"	"the"	"works"	"of"	"bruckner"	"and"	"mahler"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"of"	"he"	"kind"	"be"	"kind_of"	"of_he"	"he_be"	"same_kind_of"	"kind_of_he"	"of_he_be"	"he_be_when"	"JJ"	"NN"	"RB"	"NN"	"PRP"	"VB"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"cow"	"camp"	"person"	"was"	"regard_as"	"hero"	"as"	"the"	"same"	"kind"	"of"	"champion"	"he"	"be"	"when"	"he"	"enter"	"and"	"invariably"	"win"	"the"	"local"	"rodeo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"world"	"."	"'s"	"∅"	"'s_world"	"world_."	"._∅"	"baseball_'s_world"	"'s_world_."	"world_._∅"	"._∅_∅"	"NN"	"POS"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tonight"	"at"	"o'clock"	"the"	"group"	"who"	"give"	"the"	"group"	"as"	"much"	"trouble"	"as"	"anyone"	"did"	"in"	"break_even"	"with"	"them"	"will"	"get"	"their"	"first"	"shot"	"baseball"	"world"	"champion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"the"	"have"	","	"eight"	",_the"	"the_have"	"have_eight"	"weekend_,_the"	",_the_have"	"the_have_eight"	"have_eight_man"	"NN"	"ε"	"DT"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"until"	"the"	"group"	"bat"	"quiet_down"	"a_bit"	"cincinnati"	"over"	"the"	"weekend"	"the"	"champion"	"have"	"eight"	"man"	"hit"	"over"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"diving"	"person"	"olympic"	","	"olympic_diving"	"diving_person"	"person_,"	"former_olympic_diving"	"olympic_diving_person"	"diving_person_,"	"person_,_await"	"JJ"	"JJ"	"NN"	"NN"	"NNP"	"ε"	"VB"	"a"	"midnight"	"train"	"out"	"of"	"cleveland"	"saturday"	"without"	"an"	"official"	"word"	"to"	"anybody"	"and"	"has"	"stay"	"away"	"from"	"newsman"	"on"	"his"	"train"	"trip"	"across_the_nation"	"to"	"location"	"location"	"where"	"his"	"wife"	"former"	"olympic"	"diving"	"person"	"await"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"football"	"group"	"the"	","	"the_football"	"football_group"	"group_,"	"for_the_football"	"the_football_group"	"football_group_,"	"group_,_was"	"IN"	"DT"	"NN"	"NN"	"NNP"	"ε"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"line_coach"	"the"	"football"	"champion"	"group"	"was"	"elevate"	"today"	"to"	"head"	"coach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"group"	"new_york"	"the"	"group"	"the_group"	"group_new_york"	"new_york_group"	"at_the_expense_of_the_group"	"the_group_new_york"	"group_new_york_group"	"new_york_group_,"	"IN"	"DT"	"NNP"	"NN"	"NN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"group"	"are"	"to"	"break"	"their"	"losing_streak"	"within"	"the"	"two"	"day"	"it"	"will"	"have"	"to"	"be"	"at_the_expense_of"	"the"	"group"	"champion"	"new_york"	"group"	"who"	"come"	"in"	"here"	"tomorrow"	"for"	"a"	"night_game"	"and"	"a"	"single"	"test"	"sunday"	"afternoon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"group"	"in"	"the"	"tomorrow"	"the_group"	"group_in"	"in_tomorrow"	"oppose_the_group"	"the_group_in"	"group_in_tomorrow"	"in_tomorrow_'s"	"VB"	"DT"	"NNP"	"NN"	"IN"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"the"	"group"	"veteran"	"knuckleball"	"specialist"	"slate"	"to"	"oppose"	"the"	"group"	"champion"	"in"	"tomorrow"	"pm"	"contest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"great"	"."	"the"	"∅"	"the_great"	"great_."	"._∅"	"of_the_great"	"the_great_."	"great_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"the"	"kind"	"of"	"chest"	"that"	"invariably"	"win"	"contest"	"that"	"edged"	"carved"	"out_of"	"solid"	"rock"	"look"	"of"	"the"	"great"	"champion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"the"	"that"	"of"	"set"	"of_the"	"the_that"	"that_set"	"mark_of_the"	"of_the_that"	"the_that_set"	"that_set_him"	"NN"	"IN"	"DT"	"NN"	"IN"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"the"	"one"	"exercise"	"that"	"drastically"	"influence"	"the"	"definition"	"the"	"thigh"	"at"	"the"	"hipline"	"that"	"mark"	"of"	"the"	"champion"	"that"	"set"	"him"	"apart"	"from"	"all"	"bodybuilder"	"a"	"criterion"	"of"	"muscle"	"drama"	"that_is"	"unforgettable"	"to"	"judge"	"and"	"audience"	"alike"	"the"	"facet"	"of"	"muscular"	"development"	"that"	"win"	"prize"	
"1:18:01::"	"league"	"."	"defend"	"∅"	"defend_league"	"league_."	"._∅"	",_defend_league"	"defend_league_."	"league_._∅"	"._∅_∅"	"ε"	"VB"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"former"	"group"	"field_general"	"come_off"	"the"	"bench"	"for"	"his"	"debut"	"with"	"the"	"group"	"sunday"	"and"	"direct"	"his"	"new"	"team"	"to"	"upset"	"victory"	"over"	"the"	"group"	"defend"	"champion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
