"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"
"1:10:00::"	"make"	"for"	"who"	"any"	"who_make"	"make_for"	"for_any"	"person_who_make"	"who_make_for"	"make_for_any"	"for_any_such"	"NN"	"WP"	"VB"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"any"	"who"	"make"	"application"	"for"	"any"	"such"	"payment"	"shall"	"be"	"hold"	"to"	"have"	"consent"	"to"	"all"	"the"	"provision"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"the"	"of"	"suggest"	"certain"	"suggest_the"	"the_of"	"of_certain"	"we_suggest_the"	"suggest_the_of"	"the_of_certain"	"of_certain_data_processing"	"PRP"	"VB"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"the"	"application"	"of"	"certain"	"data_processing"	"technique"	"as"	"a"	"solution"	"to"	"the"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"the"	"of"	"and"	"a"	"and_the"	"the_of"	"of_a"	"form_and_the"	"and_the_of"	"the_of_a"	"of_a_single"	"NN"	"CC"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"two"	"very"	"useful"	"way"	"for"	"modify"	"a"	"form"	"dictionary"	"be"	"the"	"addition"	"the"	"dictionary"	"of"	"complete"	"paradigm"	"than"	"single"	"form"	"and"	"the"	"application"	"of"	"a"	"single"	"change"	"to"	"more_than"	"one"	"dictionary"	"form"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"patent"	","	","	"patent"	",_patent"	"patent_,"	",_patent"	"invention_,_patent"	",_patent_,"	"patent_,_patent"	",_patent_,"	"NN"	"ε"	"NN"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"acquire"	"secret"	"process"	"technical"	"invention"	"patent"	"application"	"patent"	"license"	"land"	"and"	"interest"	"in"	"land"	"include"	"water_right"	"plant"	"and"	"facility"	"and"	"property"	"or"	"right"	"by"	"purchase"	"license"	"lease"	"or"	"donation"	"0"	"0"	
"1:10:00::"	"a"	"to"	"attach"	"your"	"attach_a"	"a_to"	"to_your"	"you_attach_a"	"attach_a_to"	"a_to_your"	"to_your_return"	"PRP"	"VB"	"DT"	"NN"	"TO"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"refund"	"of"	"less_than"	"will"	"not"	"be"	"unless"	"you"	"attach"	"a"	"application"	"to"	"your"	"return"	"request"	"such"	"a"	"refund"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"the"	"of"	"in"	"electronics"	"in_the"	"the_of"	"of_electronics"	"advance_in_the"	"in_the_of"	"the_of_electronics"	"of_electronics_in"	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"this"	"article"	"we"	"concentrate_on"	"the"	"advance"	"in"	"the"	"application"	"of"	"electronics"	"in"	"biomedical"	"research"	"laboratory"	"because"	"this"	"be"	"where"	"tomorrow"	"commonplace"	"equipment"	"originate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"gratifying"	"of"	"most"	"an"	"most_gratifying"	"gratifying_of"	"of_an"	"the_most_gratifying"	"most_gratifying_of"	"gratifying_of_an"	"of_an_important"	"RB"	"RB"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"most"	"gratifying"	"application"	"of"	"an"	"important"	"technique"	"of"	"submarine"	"detection"	"be"	"in"	"the"	"exploration"	"of"	"the"	"human_body"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"household"	"is"	"in"	"represent"	"in_household"	"household_is"	"is_represent"	"cleaning_in_household"	"in_household_is"	"household_is_represent"	"is_represent_by"	"NN"	"IN"	"NN"	"NN"	"VBZ"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hard"	"surface"	"in"	"household"	"application"	"is"	"represent"	"by"	"two"	"class"	"of"	"alkaline"	"product"	"the"	"formulation"	"make"	"expressly"	"for"	"machine"	"dishwasher"	"and"	"the"	"general-purpose"	"cleaner"	"use"	"for"	"wall"	"and"	"woodwork"	
"1:10:00::"	"and"	"to"	","	"leave"	",_and"	"and_to"	"to_leave"	"week_,_and"	",_and_to"	"and_to_leave"	"to_leave_have"	"NN"	"ε"	"CC"	"NN"	"TO"	"VB"	"VB"	"write"	"in"	"the_manchester_guardian"	"state"	"that"	"departure"	"from"	"location"	"are"	"now"	"run"	"at"	"the"	"rate"	"not"	"of"	"but"	"of"	"a"	"week"	"and"	"application"	"leave"	"have"	"rise"	"to"	"a"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"the"	"of"	","	"chromatographic"	",_the"	"the_of"	"of_chromatographic"	"year_,_the"	",_the_of"	"the_of_chromatographic"	"of_chromatographic_and"	"NN"	"ε"	"DT"	"NN"	"IN"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"last"	"year"	"the"	"application"	"of"	"chromatographic"	"and"	"modern"	"technique"	"to"	"the"	"problem"	"of"	"isolate"	"tsh"	"has"	"lead"	"to"	"further"	"purification"	"person"	"and"	"person"	"person"	"person"	"and"	"person"	"0"	
