"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"2:30:00::"	"that"	"such"	"program"	"specifics"	"program_that"	"that_such"	"such_specifics"	"effective_program_that"	"program_that_such"	"that_such_specifics"	"such_specifics_as"	"JJ"	"NN"	"WDT"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"media"	"advertising"	"continue"	"during"	"its"	"effective"	"program"	"that"	"stress"	"such"	"specifics"	"as"	"financing"	"plant"	"availabilities"	"and"	"location"	"advantages"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"he"	"law"	"regard"	"law_,"	",_he"	"he_regard"	"into_law_,"	"law_,_he"	",_he_regard"	"he_regard_it"	"IN"	"NN"	"ε"	"VB"	"PRP"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president_kennedy"	"in"	"sign"	"the"	"measure"	"into"	"law"	"stress"	"he"	"regard"	"it"	"as"	"an"	"exception"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"revenuers"	","	","	"the"	",_revenuers"	"revenuers_,"	",_the"	"instance_,_revenuers"	",_revenuers_,"	"revenuers_,_the"	",_the_deduction"	"NN"	"ε"	"NNS"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"such"	"revenuers"	"stress"	"the"	"deduction"	"must"	"be"	"reduce"	"by"	"the"	"value"	"of"	"the"	"benefit"	"receive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"the"	"department"	"need"	"department_,"	",_the"	"the_need"	"missions_department_,"	"department_,_the"	",_the_need"	"the_need_for"	"NNS"	"NN"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rev._r._l._brandt"	"national"	"secretary"	"of"	"home"	"missions"	"department"	"stress"	"the"	"need"	"for"	"the"	"first"	"two"	"years"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"also"	"the"	"he"	"works"	"he_also"	"also_the"	"the_works"	"that_he_also"	"he_also_the"	"also_the_works"	"the_works_of"	"IN"	"PRP"	"RB"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"add"	"he"	"also"	"stress"	"the"	"works"	"of"	"these"	"favorite"	"masters"	"on_tour"	"especially"	"mahler"	"first"	"and"	"fourth"	"symphonies"	"and"	"das_lied_von_der_erde"	"and"	"bruckner"	"sixth"	"which"	"is"	"rarely"	"play"	"and"	"seventh"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"often"	"the"	"talk"	"idea"	"talk_often"	"often_the"	"the_idea"	"locker-room_talk_often"	"talk_often_the"	"often_the_idea"	"the_idea_that"	"NN"	"NN"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"locker-room"	"often"	"stress"	"the"	"idea"	"that"	"a"	"man"	"is"	"do"	"the"	"girl"	"a"	"favor"	"if"	"he"	"be"	"forceful"	"and"	"ruthless"	"during"	"the"	"first"	"penetration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"you"	"the"	"in_which"	"fact"	"in_which_you"	"you_the"	"the_fact"	"editorial_in_which_you"	"in_which_you_the"	"you_the_fact"	"the_fact_that"	"NN"	"RB"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sir"	"permit"	"me"	"to"	"your"	"editorial"	"in_which"	"you"	"stress"	"the"	"fact"	"that"	"a"	"program"	"of"	"county"	"colleges"	"will"	"substantially"	"increase"	"local"	"tax"	"burdens"	"and"	"that"	"taxpayers"	"have"	"a"	"right"	"to"	"a"	"clear"	"idea"	"of_what"	"such"	"a"	"program"	"would"	"commit"	"them"	"to"	"0"	"0"	"0"	"0"	
"2:32:00::"	"be"	"in"	"will"	"special"	"will_be"	"be_in"	"in_special"	"home_will_be"	"will_be_in"	"be_in_special"	"in_special_services"	"NN"	"MD"	"VB"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"need"	"for"	"and"	"the"	"way"	"achieve"	"a"	"christian"	"home"	"will"	"be"	"stress"	"in"	"special"	"services"	"mark"	"national_christian_family_week"	"in"	"miami"	"area"	"churches"	"next"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"activity"	"in"	"athletic"	"most"	"athletic_activity"	"activity_in"	"in_most"	"that_athletic_activity"	"athletic_activity_in"	"activity_in_most"	"in_most_school"	"IN"	"JJ"	"NN"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"outdoor_education_project"	"take"	"cognizance"	"of"	"fact"	"so"	"often"	"overlooked"	"athletic"	"activity"	"stress"	"in"	"most"	"school"	"program"	"have"	"little"	"or"	"no"	"relationship"	"to"	"the"	"physical"	"and"	"mental"	"need"	"and"	"interest"	"of"	"later"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:02::"	"of"	"except"	"kind"	"an"	"kind_of"	"of_except"	"except_an"	"any_kind_of"	"kind_of_except"	"of_except_an"	"except_an_open"	"JJ"	"NN"	"RB"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"marriage"	"can"	"survive"	"any"	"kind"	"of"	"stress"	"except"	"an"	"open"	"and"	"direct"	"challenge"	"to"	"the"	"husband"	"maleness"	"declare"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
