"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"
"2:38:00::"	"i"	"to"	"∅"	"the"	"∅_i"	"i_to"	"to_the"	"∅_∅_i"	"∅_i_to"	"i_to_the"	"to_the_agency"	"ε"	"ε"	"PRP"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"go_back"	"to"	"the"	"agency"	"car"	"and"	"get_out"	"an"	"electric"	"bug"	"one"	"of"	"the"	"newest"	"devices"	"for"	"electronic"	"shadowing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"man"	"to"	"a"	"the"	"a_man"	"man_to"	"to_the"	"often_a_man"	"a_man_to"	"man_to_the"	"to_the_scenes"	"RB"	"DT"	"NN"	"VB"	"VB"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no_matter_how"	"a"	"man"	"go_back"	"to"	"the"	"scenes"	"of"	"his"	"youth"	"and"	"strength"	"they"	"can"	"never"	"be"	"recapture"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"hamilton"	"to"	"family"	"the"	"family_hamilton"	"hamilton_to"	"to_the"	"large_family_hamilton"	"family_hamilton_to"	"hamilton_to_the"	"to_the_law"	"JJ"	"NN"	"NNP"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"support"	"large"	"family"	"hamilton"	"go_back"	"to"	"the"	"law"	"after"	"each"	"spell"	"of"	"public_service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"into"	"shelf"	"the"	"shelf_,"	",_into"	"into_the"	"the_shelf_,"	"shelf_,_into"	",_into_the"	"into_the_front_room"	"DT"	"NN"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"morgan"	"fill"	"the"	"dipper"	"from"	"water"	"bucket"	"on"	"the"	"shelf"	"go_back"	"into"	"the"	"front_room"	"lift"	"the"	"girl"	"head"	"and"	"hold"	"the"	"edge"	"of"	"the"	"dipper"	"to"	"her"	"mouth"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"might"	"to"	"furniture"	"the"	"furniture_might"	"might_to"	"to_the"	"contemporary_furniture_might"	"furniture_might_to"	"might_to_the"	"to_the_boxy"	"JJ"	"NN"	"MD"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"there"	"has"	"be"	"some"	"indication"	"that"	"contemporary"	"furniture"	"might"	"go_back"	"to"	"the"	"boxy"	"look"	"of"	"the"	"and"	"two"	"manufacturers"	"choose"	"to"	"take"	"the"	"approach"	"of"	"the"	"sophisticated"	"but"	"warm"	"look"	"in"	"contemporary"	
"2:38:00::"	"about"	"to"	"serious"	"school"	"serious_about"	"about_to"	"to_school"	"be_serious_about"	"serious_about_to"	"about_to_school"	"to_school_,"	"VB"	"JJ"	"IN"	"VB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"i"	"think"	"be"	"serious"	"about"	"go_back"	"to"	"school"	"that"	"you"	"learn"	"something"	"from"	"your"	"experiences"	"here"	"and"	"at"	"hanover"	"well"	"i"	"might"	"consider"	"such"	"an"	"offer"	"0"	"0"	"0"	"0"	
"2:38:00::"	"both"	","	"will"	"laban"	"will_both"	"both_,"	",_laban"	"we_will_both"	"will_both_,"	"both_,_laban"	",_laban_''"	"PRP"	"MD"	"DT"	"VB"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"both"	"go_back"	"laban"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"'d"	"to"	"she"	"his"	"she_'d"	"'d_to"	"to_his"	",_she_'d"	"she_'d_to"	"'d_to_his"	"to_his_home"	"ε"	"PRP"	"MD"	"VB"	"VB"	"PRP$"	"NN"	"for_a_while"	"person"	"say"	"then"	"think"	"person"	"would"	"have"	"calm_down"	"by"	"that"	"time"	"she"	"go_back"	"to"	"home"	"on"	"location"	"park"	"in_front"	"and"	"walk"	"toward"	"the"	"pool"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"n't"	"to"	"would"	"new_york"	"would_n't"	"n't_to"	"to_new_york"	"she_would_n't"	"would_n't_to"	"n't_to_new_york"	"to_new_york_as"	"PRP"	"MD"	"RB"	"VB"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"n't"	"go_back"	"to"	"new_york"	"as"	"person"	"suggest"	"she"	"would"	"n't"	"run"	"like"	"a"	"scared"	"cat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"``"	"to"	"∅"	"sleep"	"∅_``"	"``_to"	"to_sleep"	"∅_∅_``"	"∅_``_to"	"``_to_sleep"	"to_sleep_most"	"ε"	"ε"	"ε"	"VB"	"VB"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"sleep"	"most"	"likely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"not"	"to"	"did"	"school"	"did_not"	"not_to"	"to_school"	"person_did_not"	"did_not_to"	"not_to_school"	"to_school_."	"NNP"	"VBD"	"RB"	"VB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"not"	"go_back"	"to"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"person"	"and"	"∅"	"remind"	"∅_person"	"person_and"	"and_remind"	"∅_∅_person"	"∅_person_and"	"person_and_remind"	"and_remind_the"	"ε"	"ε"	"NNP"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"go_back"	"and"	"remind"	"the"	"kitchen"	"woman"	"of"	"the"	"supper"	"preparation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
