"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:34:00::"	"he"	"breakfast"	"∅"	"in"	"∅_he"	"he_breakfast"	"breakfast_in"	"∅_∅_he"	"∅_he_breakfast"	"he_breakfast_in"	"breakfast_in_a"	"ε"	"ε"	"PRP"	"VB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"eat"	"breakfast"	"in"	"a"	"sullen"	"mood"	"but"	"afterwards"	"when"	"he"	"walk"	"out"	"onto"	"virginia_street"	"he"	"feel"	"braced"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"did"	"each"	"they"	"at"	"they_did"	"did_each"	"each_at"	"if_they_did"	"they_did_each"	"did_each_at"	"each_at_the"	"IN"	"PRP"	"VBD"	"VB"	"DT"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"wonder"	"they"	"did"	"eat"	"each"	"at"	"the"	"end"	"owen"	"muse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"was"	"."	"i"	"∅"	"i_was"	"was_."	"._∅"	"while_i_was"	"i_was_."	"was_._∅"	"._∅_∅"	"IN"	"PRP"	"VBD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"want"	"to"	"while"	"i"	"was"	"eat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"the"	"public"	"as"	"."	"as_the"	"the_public"	"public_."	"vigilant_as_the"	"as_the_public"	"the_public_."	"public_._∅"	"JJ"	"IN"	"DT"	"VB"	"JJ"	"ε"	"ε"	"public"	"the"	"theatergoing"	"public"	"the"	"skindiving"	"public"	"the"	"horse-playing"	"public"	"all"	"these"	"and_others"	"fill"	"substantial"	"roles"	"in"	"u._s."	"life"	"but"	"none"	"be"	"so"	"varied"	"vast"	"and"	"vigilant"	"as"	"the"	"public"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"americans"	"too_much"	"∅"	"."	"∅_americans"	"americans_too_much"	"too_much_."	"∅_∅_americans"	"∅_americans_too_much"	"americans_too_much_."	"too_much_._∅"	"ε"	"ε"	"NNPS"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"eat"	"too_much"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"americans"	"too_much"	"∅"	"fat"	"∅_americans"	"americans_too_much"	"too_much_fat"	"∅_∅_americans"	"∅_americans_too_much"	"americans_too_much_fat"	"too_much_fat_."	"ε"	"ε"	"NNPS"	"VB"	"RB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"eat"	"too_much"	"fat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"americans"	"."	"much"	"∅"	"much_americans"	"americans_."	"._∅"	"how_much_americans"	"much_americans_."	"americans_._∅"	"._∅_∅"	"WRB"	"JJ"	"NNPS"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"his"	"personal"	"distaste"	"for"	"obesity"	"disgusting"	"dr._keys"	"have"	"only"	"incidental"	"interest"	"in"	"how"	"much"	"americans"	"eat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"had"	"-"	"he"	"actual"	"he_had"	"had_-"	"-_actual"	"time_he_had"	"he_had_-"	"had_-_actual"	"-_actual_eggs"	"NN"	"PRP"	"VBD"	"VB"	"ε"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"remember"	"the"	"time"	"he"	"had"	"eat"	"actual"	"eggs"	"from"	"an"	"actual"	"pan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"finish"	","	"had"	"melissa"	"had_finish"	"finish_,"	",_melissa"	"they_had_finish"	"had_finish_,"	"finish_,_melissa"	",_melissa_take"	"PRP"	"VBD"	"VB"	"VB"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"had"	"finish"	"eat"	"melissa"	"take"	"sprite"	"the"	"kitten"	"under"	"her"	"arm"	"so_that"	"auntie_grace"	"can"	"teach"	"it"	"about"	"the"	"whistle"	"and"	"climb"	"into"	"the"	"station_wagon"	"beside"	"her"	"mother"	
"2:34:00::"	"people"	"so_much"	"two"	"."	"two_people"	"people_so_much"	"so_much_."	"see_two_people"	"two_people_so_much"	"people_so_much_."	"so_much_._∅"	"VB"	"CD"	"NNS"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"tell"	"himself"	"he"	"never"	"see"	"two"	"people"	"eat"	"so_much"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
