"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"
"4:02:01::"	"sound"	"like"	"``"	"last"	"``_sound"	"sound_like"	"like_last"	"∅_``_sound"	"``_sound_like"	"sound_like_last"	"like_last_time"	"ε"	"ε"	"VB"	"RB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"exactly"	"like"	"last"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"find"	"the"	"she"	"right"	"she_find"	"find_the"	"the_right"	",_she_find"	"she_find_the"	"find_the_right"	"the_right_statement"	"ε"	"PRP"	"VB"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"miraculously"	"find"	"exactly"	"the"	"right"	"statement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"know"	"what"	"n't"	"had"	"n't_know"	"know_what"	"what_had"	"did_n't_know"	"n't_know_what"	"know_what_had"	"what_had_happen"	"VBD"	"RB"	"VB"	"RB"	"WP"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"after"	"day"	"person"	"still"	"n't"	"know"	"exactly"	"what"	"had"	"happen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"for"	"one"	"∅"	"week"	"∅_for"	"for_one"	"one_week"	"∅_∅_for"	"∅_for_one"	"for_one_week"	"one_week_,"	"ε"	"ε"	"IN"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"exactly"	"one"	"week"	"she"	"be"	"able"	"to"	"continue"	"in"	"this"	"manner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"for"	"the"	","	"same"	",_for"	"for_the"	"the_same"	"morning_,_for"	",_for_the"	"for_the_same"	"the_same_thing"	"NN"	"ε"	"IN"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"he"	"have"	"his"	"chance"	"very"	"next"	"for"	"exactly"	"the"	"same"	"thing"	"happen"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"not"	"more"	"be"	"comfortable"	"be_not"	"not_more"	"more_comfortable"	"she_be_not"	"be_not_more"	"not_more_comfortable"	"more_comfortable_."	"PRP"	"VB"	"RB"	"RB"	"RB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"feel"	"she"	"be"	"not"	"exactly"	"more"	"comfortable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"be"	"the"	"this"	"risk"	"this_be"	"be_the"	"the_risk"	"yet_this_be"	"this_be_the"	"be_the_risk"	"the_risk_we"	"RB"	"DT"	"VB"	"RB"	"DT"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"this"	"be"	"exactly"	"the"	"risk"	"we"	"run"	"when"	"we"	"assume"	"as"	"we"	"too"	"often"	"do"	"that"	"we"	"can"	"continue"	"to"	"preach"	"the"	"gospel"	"in"	"a"	"form"	"that"	"make"	"it"	"seem"	"incredible"	"and"	"irrelevant"	"to"	"cultured"	"man"	
"4:02:01::"	"of"	"x"	"probability"	"success"	"probability_of"	"of_x"	"x_success"	"the_probability_of"	"probability_of_x"	"of_x_success"	"x_success_in"	"DT"	"NN"	"IN"	"RB"	"NN"	"NN"	"IN"	"question"	"in"	"this"	"chapter"	"be"	"what"	"be"	"the"	"probability"	"x"	"success"	"in"	"n"	"trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"of"	"x"	"probability"	"success"	"probability_of"	"of_x"	"x_success"	"the_probability_of"	"probability_of_x"	"of_x_success"	"x_success_for"	"DT"	"NN"	"IN"	"RB"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"we"	"find"	"a"	"formula"	"the"	"probability"	"of"	"exactly"	"x"	"success"	"for"	"given"	"value"	"of"	"p"	"and"	"n"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"tell"	"what"	"could"	"it"	"could_tell"	"tell_what"	"what_it"	"they_could_tell"	"could_tell_what"	"tell_what_it"	"what_it_be"	"PRP"	"MD"	"VB"	"RB"	"WP"	"PRP"	"VB"	"0"	"this"	"time"	"it"	"be"	"so"	"grand"	"they"	"could"	"exactly"	"what"	"it"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
