"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"2:32:00::"	"public_administration"	"an"	"of"	"extremely"	"of_public_administration"	"public_administration_an"	"an_extremely"	"institute_of_public_administration"	"of_public_administration_an"	"public_administration_an_extremely"	"an_extremely_comprehensive"	"NNP"	"IN"	"NNP"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"two"	"years"	"ago"	"institute"	"of"	"public_administration"	"issue"	"an"	"extremely"	"comprehensive"	"report"	"entitled"	"state-local"	"relations"	"in"	"metropolitan"	"rhode_island"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"he"	"grand_jury"	"that"	"subpenas"	"that_he"	"he_grand_jury"	"grand_jury_subpenas"	"hearings_that_he"	"that_he_grand_jury"	"he_grand_jury_subpenas"	"grand_jury_subpenas_to"	"NNS"	"IN"	"PRP"	"VB"	"NN"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wexler"	"admit"	"in"	"court"	"hearings"	"that"	"he"	"issue"	"grand_jury"	"subpenas"	"to"	"about"	"persons"	"involve"	"in"	"the"	"election"	"investigation"	"question"	"the"	"individuals"	"in"	"the"	"criminal_courts"	"building"	"but"	"did"	"not"	"take"	"them"	"before"	"the"	"grand_jury"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"invitation"	"by"	"the"	"members"	"the_invitation"	"invitation_by"	"by_members"	"be_the_invitation"	"the_invitation_by"	"invitation_by_members"	"by_members_of"	"VB"	"DT"	"NN"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"meet"	"the"	"artist"	"the"	"invitation"	"issue"	"by"	"members"	"of"	"the"	"greater_philadelphia"	"section"	"of"	"the"	"national_council"	"of"	"jewish"	"women"	"as"	"they"	"arrange"	"for"	"an"	"annual"	"exhibit"	"and"	"sale"	"of"	"paintings"	"and"	"sculpture"	"at"	"the"	"philmont"	"country_club"	"on"	"april"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"jointly"	"invitations"	"have"	"for"	"have_jointly"	"jointly_invitations"	"invitations_for"	",_have_jointly"	"have_jointly_invitations"	"jointly_invitations_for"	"invitations_for_shrove_tuesday"	"ε"	"VBP"	"RB"	"VB"	"NNS"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"their"	"majesties"	"the"	"queen"	"of"	"carnival"	"and"	"queen"	"of"	"comus"	"have"	"jointly"	"issue"	"invitations"	"for"	"shrove_tuesday"	"evening"	"at"	"midnight"	"at"	"which"	"time"	"they"	"will"	"entertain"	"in"	"the"	"grand"	"ballroom"	"of"	"a"	"downtown"	"hotel"	"follow"	"the"	"balls"	"of"	"rex"	"and"	"comus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"has"	"an"	"he"	"executive"	"he_has"	"has_an"	"an_executive"	",_he_has"	"he_has_an"	"has_an_executive"	"an_executive_order"	"ε"	"PRP"	"VBZ"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"an"	"important"	"assertion"	"of"	"leadership"	"in_this"	"field"	"he"	"has"	"issue"	"an"	"executive"	"order"	"establish"	"the"	"president"	"committee"	"on"	"juvenile_delinquency"	"and"	"crime"	"to"	"be"	"support"	"and"	"assist"	"by"	"a"	"citizens"	"advisory_council"	"of"	"recognized"	"authorities"	"on"	"juvenile"	"problems"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"has"	"a"	","	"proclamation"	",_has"	"has_a"	"a_proclamation"	"congress_,_has"	",_has_a"	"has_a_proclamation"	"a_proclamation_each_year"	"NNP"	"ε"	"VBZ"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president_of_the_united_states"	"pursuant_to"	"a"	"of"	"congress"	"has"	"issue"	"a"	"proclamation"	"each_year"	"since"	"declare"	"may"	"nd"	"to"	"be"	"national_maritime_day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"was"	"in"	"it"	"the"	"it_was"	"was_in"	"in_the"	"since_it_was"	"it_was_in"	"was_in_the"	"in_the_spring"	"IN"	"PRP"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"was"	"issue"	"in"	"the"	"spring"	"of"	"the"	"king_james_version"	"has"	"been"	"most"	"generally"	"consider"	"the_most"	"poetic"	"and"	"beautiful"	"of"	"all"	"translations"	"of"	"the"	"bible"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"compilation"	"last"	"page"	"week"	"page_compilation"	"compilation_last"	"last_week"	"-_page_compilation"	"page_compilation_last"	"compilation_last_week"	"last_week_by"	"ε"	"NN"	"NN"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"progress"	"or"	"lack"	"of_it"	"toward"	"civil_rights"	"in"	"the"	"states"	"is"	"in"	"an"	"impressive"	"page"	"compilation"	"issue"	"last"	"week"	"by"	"the"	"united_states"	"commission"	"on"	"civil_rights"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"a"	"year"	"call"	"year_,"	",_a"	"a_call"	"straight_year_,"	"year_,_a"	",_a_call"	"a_call_for"	"JJ"	"NN"	"ε"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fire_fighters"	"local"	"which"	"is"	"sponsor"	"the"	"toy"	"program"	"the"	"th"	"straight"	"year"	"issue"	"a"	"call"	"for"	"san_franciscans"	"to"	"turn_in"	"discarded"	"toys"	"which"	"will"	"be"	"repair"	"by"	"off-duty"	"firemen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"are"	"tax"	"more"	"free"	"more_are"	"are_tax"	"tax_free"	"or_more_are"	"more_are_tax"	"are_tax_free"	"tax_free_bonds"	"CC"	"JJR"	"VBP"	"VB"	"NN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_order_to"	"attract"	"new"	"industries"	"or"	"more"	"are"	"issue"	"tax"	"free"	"bonds"	"to"	"build"	"government"	"owned"	"plants"	"which"	"are"	"lease"	"to"	"private"	"enterprise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
