"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:38:03::"	"shadow"	"to"	"to"	"the"	"to_shadow"	"shadow_to"	"to_the"	"want_to_shadow"	"to_shadow_to"	"shadow_to_the"	"to_the_left"	"VB"	"VB"	"VB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"hurry"	"over"	"to"	"the"	"agency"	"heap"	"jump"	"in"	"start"	"the"	"motor"	"and"	"be"	"just_in_time"	"see"	"the"	"car"	"i"	"want"	"to"	"shadow"	"turn"	"to"	"the"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"to"	"driving"	"the"	"driving_he"	"he_to"	"to_the"	"traffic_driving_he"	"driving_he_to"	"he_to_the"	"to_the_left"	"NN"	"NN"	"PRP"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"fifteen"	"minutes"	"traffic"	"driving"	"he"	"turn"	"to"	"the"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"left"	"∅"	"too_soon"	"∅_i"	"i_left"	"left_too_soon"	"∅_∅_i"	"∅_i_left"	"i_left_too_soon"	"left_too_soon_and"	"ε"	"ε"	"PRP"	"VB"	"RB"	"RB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"turn"	"left"	"too_soon"	"and"	"get"	"a"	"signal"	"show"	"that"	"i"	"be"	"still"	"behind"	"him"	"but"	"he"	"be"	"to"	"the"	"right"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"right"	"beach"	"and"	"beach_,"	",_right"	"right_and"	"the_beach_,"	"beach_,_right"	",_right_and"	"right_and_after"	"DT"	"NN"	"ε"	"VB"	"NN"	"CC"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"man"	"come_out"	"an"	"hour"	"drive"	"to"	"the"	"beach"	"turn"	"right"	"and"	"after"	"half"	"a"	"mile"	"go"	"to"	"the"	"swim"	"and"	"tan_motel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"people"	"an"	"american"	"important"	"american_people"	"people_an"	"an_important"	"the_american_people"	"american_people_an"	"people_an_important"	"an_important_corner"	"DT"	"NNP"	"NNS"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a_little"	"more_than"	"twenty"	"ago"	"the"	"american"	"people"	"turn"	"an"	"important"	"corner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"has"	"his"	"he"	"back"	"he_has"	"has_his"	"his_back"	"in_which_he_has"	"he_has_his"	"has_his_back"	"his_back_on"	"RB"	"PRP"	"VBZ"	"VB"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"indicate"	"the"	"in_which"	"he"	"has"	"turn"	"his"	"back"	"on"	"his"	"philosophy"	"mr._reama"	"say"	"a"	"socialist"	"be"	"a"	"person"	"who"	"believe_in"	"divide"	"everything"	"he"	"does"	"not"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"to"	"∅"	"see"	"∅_he"	"he_to"	"to_see"	"∅_∅_he"	"∅_he_to"	"he_to_see"	"to_see_the"	"ε"	"ε"	"PRP"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"turn"	"to"	"see"	"the"	"briefly-illumed"	"faces"	"of"	"two"	"men"	"in"	"the"	"parked"	"car"	"just_as"	"rourke"	"say"	"it"	"be"	"the"	"next"	"house"	"mike"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"shayne"	"the"	"∅"	"handle"	"∅_shayne"	"shayne_the"	"the_handle"	"∅_∅_shayne"	"∅_shayne_the"	"shayne_the_handle"	"the_handle_and"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"turn"	"the"	"handle"	"and"	"jerk"	"the"	"door"	"open"	"before"	"either"	"of"	"the"	"men"	"be"	"quite"	"aware_of"	"his"	"presence"	"in"	"the"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	","	"∅"	"then"	"∅_he"	"he_,"	",_then"	"∅_∅_he"	"∅_he_,"	"he_,_then"	",_then_,"	"ε"	"ε"	"PRP"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"turn"	"then"	"to"	"look"	"toward"	"the"	"lighted"	"boulevard"	"and"	"see"	"rourke"	"tall"	"emaciated"	"figure"	"come_out"	"of"	"the"	"lounge"	"and"	"hurriedly"	"start"	"to"	"angle"	"across"	"the"	"street"	"toward"	"the"	"opposite"	"side"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"right"	"until"	","	"until_,"	",_right"	"right_,"	"minutes_until_,"	"until_,_right"	",_right_,"	"right_,_it"	"NNS"	"IN"	"ε"	"VB"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"stay"	"on"	"the"	"for"	"a_few"	"minutes"	"until"	"turn"	"right"	"it"	"enter"	"a"	"huge"	"square"	"bayezit"	"with"	"the"	"bayezit_mosque"	"on_the_right"	"and"	"the"	"gate"	"to"	"the"	"university"	"just"	"beyond"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
