"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"1:06:00::"	"the"	"were"	"across"	"slam"	"across_the"	"the_were"	"were_slam"	"merchant_across_the"	"across_the_were"	"the_were_slam"	"were_slam_their"	"NN"	"IN"	"DT"	"NN"	"VBD"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"chinese"	"and"	"merchant"	"across"	"the"	"street"	"were"	"slam"	"their"	"steel"	"shutter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"the"	"."	"in"	"∅"	"in_the"	"the_."	"._∅"	"car_in_the"	"in_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"see"	"hole"	"in"	"plane"	"at"	"airport"	"and"	"in"	"car"	"in"	"the"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"that"	"∅"	"be"	"∅_the"	"the_that"	"that_be"	"∅_∅_the"	"∅_the_that"	"the_that_be"	"that_be_full"	"ε"	"ε"	"DT"	"NN"	"RB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"street"	"that"	"be"	"full"	"now"	"of"	"traffic"	"and"	"parked"	"car"	"then"	"and"	"for"	"many"	"year"	"drowse"	"on"	"an"	"august"	"afternoon"	"in"	"the"	"shade"	"of"	"the"	"curbside"	"tree"	"and"	"silence"	"be"	"a"	"weight"	"almost"	"palpable"	"in"	"the"	"air"	
"1:06:00::"	"the"	"of"	"∅"	"any"	"∅_the"	"the_of"	"of_any"	"∅_∅_the"	"∅_the_of"	"the_of_any"	"of_any_county"	"ε"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"street"	"of"	"any"	"county"	"town"	"be"	"like"	"this"	"on"	"any"	"sunshiny"	"afternoon"	"in"	"summer"	"they"	"be"	"like"	"this"	"fifty"	"odd"	"year"	"ago"	"and"	"yesterday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"location"	"and"	"a"	"demand"	"a_location"	"location_and"	"and_demand"	"on_a_location"	"a_location_and"	"location_and_demand"	"and_demand_$"	"IN"	"DT"	"NNP"	"NN"	"CC"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"further"	"example"	"of"	"the"	"incompatible"	"difference"	"in"	"personality"	"be"	"two"	"policeman"	"hold_up"	"a"	"person"	"beer"	"convoy"	"on"	"a"	"location"	"street"	"and"	"demand"	"to"	"let"	"it"	"through"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	","	"into"	"flop"	"into_the"	"the_,"	",_flop"	"stagger_into_the"	"into_the_,"	"the_,_flop"	",_flop_sprawl"	"VB"	"IN"	"DT"	"NN"	"ε"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"into"	"the"	"street"	"flop"	"sprawl"	"in"	"the"	"stinging"	"dust"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"provide"	"across"	"almost"	"across_the"	"the_provide"	"provide_almost"	"location_across_the"	"across_the_provide"	"the_provide_almost"	"provide_almost_twice"	"NNP"	"IN"	"DT"	"NN"	"VB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"across"	"the"	"street"	"provide"	"almost"	"twice"	"as_many"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"the"	"from"	"across"	"his"	"across_the"	"the_from"	"from_his"	"parking_space_across_the"	"across_the_from"	"the_from_his"	"from_his_apartment"	"NN"	"IN"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"taxi"	"take"	"him"	"back"	"to"	"the"	"bar"	"and"	"grill"	"where"	"he"	"had"	"leave"	"car"	"and"	"a_few"	"minute"	"later"	"he"	"find"	"a"	"parking_space"	"across"	"the"	"street"	"from"	"his"	"apartment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	","	"in"	"walk"	"in_the"	"the_,"	",_walk"	"∅_in_the"	"in_the_,"	"the_,_walk"	",_walk_as"	"ε"	"IN"	"DT"	"NN"	"ε"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"street"	"walk"	"as"	"quickly"	"as"	"he"	"could"	"person"	"be"	"a"	"lone"	"figure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"as"	"along"	"they"	"along_the"	"the_as"	"as_they"	"glance_along_the"	"along_the_as"	"the_as_they"	"as_they_stretch"	"VB"	"IN"	"DT"	"NN"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"holdin_'_forth"	"in"	"some"	"bar"	"if"	"he"	"here"	"at_all"	"declare"	"glance"	"along"	"the"	"street"	"as"	"they"	"stretch"	"their"	"leg"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
