"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"2:41:00::"	"now"	"the"	"cannot"	"student"	"cannot_now"	"now_the"	"the_student"	"dental_schools_cannot_now"	"cannot_now_the"	"now_the_student"	"the_student_load"	"NN"	"MD"	"RB"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president"	"say"	"the"	"nation"	"medical"	"dental_schools"	"cannot"	"now"	"handle"	"the"	"student"	"load"	"need"	"to"	"meet"	"the"	"rise"	"need"	"for"	"health_care"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"is"	"."	"vote"	"∅"	"vote_is"	"is_."	"._∅"	"the_vote_is"	"vote_is_."	"is_._∅"	"._∅_∅"	"DT"	"NN"	"VBZ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"difference_of_opinion"	"arise"	"between"	"mr._martinelli"	"and"	"john_p._bourcier"	"town"	"solicitor"	"the"	"exact"	"manner"	"in_which"	"the"	"vote"	"is"	"handle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"things"	"system"	"."	"system_to"	"to_things"	"things_."	"electronic_data_processing_system_to"	"system_to_things"	"to_things_."	"things_._∅"	"NN"	"NN"	"TO"	"VB"	"NNS"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"bank"	"install"	"magnetic_tape"	"electronic_data_processing"	"system"	"to"	"handle"	"things"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"outboard"	"equipped"	"boats"	"equipped_to"	"to_outboard"	"outboard_boats"	"be_equipped_to"	"equipped_to_outboard"	"to_outboard_boats"	"outboard_boats_."	"VB"	"JJ"	"TO"	"VB"	"JJ"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"recent"	"survey"	"disclose"	"there"	"be"	"about"	"commercially"	"and"	"municipally"	"operated"	"marinas"	"boatyards"	"in"	"the"	"united_states"	"the"	"majority"	"of_which"	"be"	"equipped"	"to"	"handle"	"outboard"	"boats"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"of"	"competitive"	"ways"	"imports"	"ways_of"	"of_competitive"	"competitive_imports"	"new_ways_of"	"ways_of_competitive"	"of_competitive_imports"	"competitive_imports_."	"JJ"	"NNS"	"IN"	"VB"	"JJ"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"foreign"	"competition"	"has"	"become"	"so"	"severe"	"in"	"textiles"	"that"	"washington"	"is"	"explore"	"new"	"ways"	"of"	"handle"	"competitive"	"imports"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"will"	"all"	"who"	"these"	"who_will"	"will_all"	"all_these"	"leader_who_will"	"who_will_all"	"will_all_these"	"all_these_things"	"NN"	"WP"	"MD"	"VB"	"PDT"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"where"	"be"	"leader"	"who"	"will"	"handle"	"all"	"these"	"things"	"for"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"an"	"budget"	"unusually"	"budget_to"	"to_an"	"an_unusually"	"its_budget_to"	"budget_to_an"	"to_an_unusually"	"an_unusually_high"	"PRP$"	"NN"	"TO"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"a"	"second"	"month"	"in"	"a"	"row"	"multnomah_county"	"may"	"short"	"of"	"general"	"assistance"	"money"	"in"	"its"	"budget"	"to"	"handle"	"an"	"unusually"	"high"	"summer"	"month"	"need"	"the"	"state"	"public"	"welfare"	"commission"	"be"	"tell"	"friday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"field"	","	"what"	"and"	"what_field"	"field_,"	",_and"	"fulfill_what_field"	"what_field_,"	"field_,_and"	",_and_he"	"VB"	"WP"	"NNP"	"VB"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"he"	"emphasize"	"that"	"the"	"agency"	"must"	"train"	"within"	"its"	"own"	"employ"	"to"	"fulfill"	"what"	"field"	"handle"	"and"	"he"	"say"	"he"	"personally"	"regret"	"very_much"	"that"	"the"	"agency"	"has"	"not"	"do"	"this"	"in_the_past"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	","	"``"	",_to"	"to_the"	"the_``"	"1941_,_to"	",_to_the"	"to_the_``"	"the_``_victory_garden"	"CD"	"ε"	"TO"	"VB"	"DT"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"cannery"	"say"	"mrs._lewellyn_lundeen"	"an"	"active"	"booster"	"of"	"the"	"cannery"	"since"	"its"	"opening"	"the"	"war"	"and"	"rationing"	"years"	"of"	"to"	"handle"	"the"	"victory_garden"	"produce"	"be"	"a"	"service"	"to"	"the"	"taxpayer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"is"	"similarly"	"vehicles"	"to"	"vehicles_is"	"is_similarly"	"similarly_to"	"state_vehicles_is"	"vehicles_is_similarly"	"is_similarly_to"	"similarly_to_all"	"NN"	"NNS"	"VBZ"	"VB"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"purchase"	"of"	"vehicles"	"is"	"handle"	"similarly"	"to"	"all"	"state"	"purchases"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
