"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"2:41:00::"	"protest"	"their"	"loudly"	"exports"	"loudly_protest"	"protest_their"	"their_exports"	"interests_loudly_protest"	"loudly_protest_their"	"protest_their_exports"	"their_exports_to"	"NNS"	"RB"	"VB"	"VB"	"PRP$"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hong_kong"	"loudly"	"protest"	"limit"	"their"	"exports"	"to"	"britain"	"while"	"spanish"	"and"	"portuguese"	"textiles"	"pour"	"into"	"british"	"market"	"unrestrictedly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"by"	"american"	"∅"	"strength"	"∅_by"	"by_american"	"american_strength"	"∅_∅_by"	"∅_by_american"	"by_american_strength"	"american_strength_too_much"	"ε"	"ε"	"IN"	"VB"	"NNP"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"limit"	"american"	"strength"	"too_much"	"to"	"nuclear"	"strength"	"this"	"country"	"limit"	"its"	"ability"	"to"	"fight"	"any"	"kind_of"	"war"	"besides"	"a"	"nuclear"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"country"	"its"	"this"	"ability"	"this_country"	"country_its"	"its_ability"	",_this_country"	"this_country_its"	"country_its_ability"	"its_ability_to"	"ε"	"DT"	"NN"	"VB"	"PRP$"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"limit"	"american"	"strength"	"too_much"	"nuclear"	"strength"	"this"	"country"	"limit"	"its"	"ability"	"to"	"fight"	"any"	"kind_of"	"war"	"besides"	"a"	"nuclear"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"or"	"its"	"withhold"	"aid"	"withhold_or"	"or_its"	"its_aid"	"can_withhold_or"	"withhold_or_its"	"or_its_aid"	"its_aid_to"	"MD"	"VB"	"CC"	"VB"	"PRP$"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"many"	"instances"	"can"	"withhold"	"or"	"limit"	"its"	"aid"	"to"	"countries"	"not_yet"	"willing"	"to"	"make"	"such"	"efforts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"not"	"his"	"has"	"leadership"	"has_not"	"not_his"	"his_leadership"	"speaker_rayburn_has_not"	"has_not_his"	"not_his_leadership"	"his_leadership_as"	"NNP"	"VBZ"	"RB"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"speaker_rayburn"	"not"	"limit"	"his"	"leadership"	"as"	"a"	"statesman"	"to"	"his"	"direction"	"of"	"the"	"house"	"in"	"the"	"speaker"	"chair"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"was"	"to"	"number"	"2"	"number_was"	"was_to"	"to_2"	"their_number_was"	"number_was_to"	"was_to_2"	"to_2_per_cent"	"PRP$"	"NN"	"VBD"	"VB"	"TO"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"the"	"editorial"	"was"	"base"	"on"	"a"	"news"	"association"	"dispatch"	"which"	"say"	"that"	"the"	"telegraphers"	"had"	"secure"	"an"	"agreement"	"whereby"	"they"	"were"	"guarantee"	"hours"	"pay"	"per"	"week"	"whether"	"they"	"work"	"not"	"and"	"that"	"a"	"reduction"	"their"	"number"	"was"	"limit"	"to"	"per_cent"	"per_year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"to"	"shall"	"white"	"shall_be"	"be_to"	"to_white"	"people_shall_be"	"shall_be_to"	"be_to_white"	"to_white_people"	"NNS"	"MD"	"VB"	"VB"	"TO"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"georgia_constitution"	"give"	"the"	"legislature"	"the"	"power"	"to"	"exempt"	"colleges"	"from"	"property"	"taxation"	"if"	"criteria"	"all"	"endowments"	"to"	"institutions"	"establish"	"for"	"white"	"people"	"shall"	"be"	"limit"	"to"	"white"	"people"	"and"	"all"	"endowments"	"to"	"institutions"	"establish"	"for"	"colored"	"people"	"shall"	"be"	"limit"	"to"	"colored"	"people"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"to"	"shall"	"colored"	"shall_be"	"be_to"	"to_colored"	"people_shall_be"	"shall_be_to"	"be_to_colored"	"to_colored_people"	"NNS"	"MD"	"VB"	"VB"	"TO"	"JJ"	"NNS"	"give"	"the"	"legislature"	"the"	"power"	"to"	"exempt"	"colleges"	"from"	"property"	"taxation"	"if"	"among"	"criteria"	"all"	"endowments"	"to"	"institutions"	"establish"	"for"	"white"	"people"	"shall"	"be"	"limit"	"to"	"white"	"people"	"and"	"all"	"endowments"	"to"	"institutions"	"establish"	"for"	"colored"	"people"	"shall"	"be"	"to"	"colored"	"people"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"he"	"his"	"that"	"comment"	"that_he"	"he_his"	"his_comment"	"clear_that_he"	"that_he_his"	"he_his_comment"	"his_comment_only"	"JJ"	"IN"	"PRP"	"VB"	"PRP$"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_this"	"letter"	"mr._kennedy"	"make"	"clear"	"that"	"he"	"limit"	"his"	"comment"	"only"	"to"	"one"	"consideration"	"what"	"effect"	"the"	"legislative"	"proposals"	"might"	"have"	"on"	"future"	"anti-trust"	"judgments"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"the"	"construe"	"life"	"construe_to"	"to_the"	"the_life"	"be_construe_to"	"construe_to_the"	"to_the_life"	"the_life_of"	"VB"	"VB"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"shall"	"complete"	"its"	"affairs"	"in"	"connection"	"with"	"settlement"	"of"	"group"	"claim"	"arise"	"under"	"the"	"yugoslav_claims_agreement_of_1948"	"not"	"late"	"than"	"december_31"	"provided"	"that"	"in_this"	"provision"	"shall"	"be"	"construe"	"to"	"limit"	"the"	"life"	"of"	"the"	"commission"	"or"	"its"	"authority"	"to"	"act_on"	"future"	"agreement"	"which"	"may"	"be"	"effect"	"under"	"the"	"provision"	"of_this"	"legislation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
