"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:42:01::"	"shayne"	"when"	","	"he"	",_shayne"	"shayne_when"	"when_he"	"outside_,_shayne"	",_shayne_when"	"shayne_when_he"	"when_he_see"	"RB"	"ε"	"NNP"	"VB"	"WRB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"outside"	"hesitate"	"when"	"he"	"see"	"that"	"rourke"	"had"	"park"	"his"	"coupe"	"directly"	"in_front"	"of"	"the"	"bar"	"headed"	"south"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"still"	","	"dean"	"but"	"dean_still"	"still_,"	",_but"	"∅_dean_still"	"dean_still_,"	"still_,_but"	",_but_mike"	"ε"	"NNP"	"RB"	"VB"	"ε"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"still"	"hesitate"	"but"	"mike"	"lift"	"him"	"almost"	"bodily"	"into"	"the"	"saddle"	"and"	"thrust"	"the"	"reins"	"in"	"his"	"hand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"barton"	"."	"∅"	"∅"	"∅_barton"	"barton_."	"._∅"	"∅_∅_barton"	"∅_barton_."	"barton_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hesitate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"dill"	"."	"again"	"∅"	"again_dill"	"dill_."	"._∅"	"∅_again_dill"	"again_dill_."	"dill_._∅"	"._∅_∅"	"ε"	"RB"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dill"	"hesitate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"morgan"	","	"∅"	"think"	"∅_morgan"	"morgan_,"	",_think"	"∅_∅_morgan"	"∅_morgan_,"	"morgan_,_think"	",_think_that"	"ε"	"ε"	"NNP"	"VB"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hesitate"	"think"	"that"	"if"	"this"	"be"	"a"	"trick"	"it"	"be"	"a"	"good"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"roberts"	","	"and"	"then"	"and_roberts"	"roberts_,"	",_then"	"again_and_roberts"	"and_roberts_,"	"roberts_,_then"	",_then_come"	"RB"	"CC"	"NNP"	"VB"	"ε"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mickey"	"back_off"	"and"	"roberts"	"hesitate"	"then"	"come"	"along"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"person"	"."	"∅"	"∅"	"∅_person"	"person_."	"._∅"	"∅_∅_person"	"∅_person_."	"person_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hesitate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"not"	"to"	"would"	"speak"	"would_not"	"not_to"	"to_speak"	"mass_murder_would_not"	"would_not_to"	"not_to_speak"	"to_speak_an"	"NN"	"VB"	"RB"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"though"	"it"	"be"	"logical"	"that"	"man"	"who"	"could"	"plot"	"mass_murder"	"would"	"not"	"hesitate"	"to"	"speak"	"an"	"untruth"	"still"	"it"	"be"	"difficult"	"to"	"understand"	"why"	"person"	"speak_for"	"only"	"for"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"authorities"	"to"	"∅"	"quote"	"∅_authorities"	"authorities_to"	"to_quote"	"∅_∅_authorities"	"∅_authorities_to"	"authorities_to_quote"	"to_quote_exact"	"ε"	"ε"	"NN"	"VB"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hesitate"	"to"	"quote"	"exact"	"figure"	"however"	"believe"	"that"	"any"	"sum"	"they"	"come_up"	"with"	"be"	"only"	"a"	"surface"	"manifestation"	"turn_up"	"by"	"their"	"inevitably"	"limit"	"police"	"of"	"the"	"real"	"loot"	"of"	"the"	"medical"	"racketeer"	
"2:42:00::"	"he"	";"	"∅"	"the"	"∅_he"	"he_;"	";_the"	"∅_∅_he"	"∅_he_;"	"he_;_the"	";_the_question"	"ε"	"ε"	"PRP"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hesitate"	"the"	"question"	"be"	"too"	"wide"	"for"	"the"	"sparse"	"english_language"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"he"	"."	"∅"	"∅"	"∅_he"	"he_."	"._∅"	"∅_∅_he"	"∅_he_."	"he_._∅"	"._∅_∅"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hesitate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	","	","	"apartment"	"and"	"apartment_,"	",_,"	",_and"	"the_apartment_,"	"apartment_,_,"	",_,_and"	",_and_then"	"DT"	"NN"	"ε"	"VB"	"ε"	"RB"	"RB"	"n't"	"but"	"it"	"be"	"not"	"really"	"a"	"question"	"and"	"so"	"he"	"leave"	"the"	"room"	"walk"	"down"	"the"	"hall"	"to"	"the"	"front"	"of"	"apartment"	"hesitate"	"then"	"knock"	"lightly"	"on"	"the"	"closed"	"door"	"of"	"the"	"study"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
