"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:41:01::"	"churches"	"from"	"local"	"the"	"local_churches"	"churches_from"	"from_the"	"many_local_churches"	"local_churches_from"	"churches_from_the"	"from_the_active"	"JJ"	"JJ"	"NNS"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"problem"	"is"	"illustrate"	"by"	"fact"	"that"	"many"	"local"	"churches"	"drop"	"from"	"the"	"active"	"membership"	"rolls"	"each_year"	"as_many"	"as"	"they"	"receive"	"into"	"the"	"fellowship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"slowly"	"."	"was"	"∅"	"was_slowly"	"slowly_."	"._∅"	"disease_was_slowly"	"was_slowly_."	"slowly_._∅"	"._∅_∅"	"NN"	"VBD"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"world_war"	"doctors"	"in"	"the_netherlands"	"and"	"scandinavia"	"note"	"a"	"curious"	"fact"	"despite"	"the"	"stresses"	"of"	"nazi"	"occupation"	"the"	"death_rate"	"coronary_artery"	"disease"	"was"	"slowly"	"drop"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"retail_stores"	"to"	"of"	"slightly"	"of_retail_stores"	"retail_stores_to"	"to_slightly"	"sales_of_retail_stores"	"of_retail_stores_to"	"retail_stores_to_slightly"	"to_slightly_under"	"NNS"	"IN"	"NN"	"VB"	"TO"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commerce_department"	"say"	"adjusted"	"sales"	"of"	"retail_stores"	"drop"	"to"	"slightly"	"under"	"billion"	"in"	"april"	"down"	"from"	"the"	"march"	"level"	"of"	"more_than"	"billion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"she"	"her"	"∅"	"head"	"∅_she"	"she_her"	"her_head"	"∅_∅_she"	"∅_she_her"	"she_her_head"	"her_head_on"	"ε"	"ε"	"PRP"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"drop"	"her"	"head"	"on"	"her"	"arms"	"on"	"the"	"counter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"underneath"	"strand"	"from"	"."	"from_underneath"	"underneath_strand"	"strand_."	"strand_from_underneath"	"from_underneath_strand"	"underneath_strand_."	"strand_._∅"	"NN"	"IN"	"IN"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"change"	"from"	"one"	"color"	"to"	"another"	"whether"	"work_on"	"right"	"wrong"	"side"	"pick_up"	"the"	"new"	"strand"	"from"	"underneath"	"drop"	"strand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"paper"	"by"	"tinsel"	"bombers"	"tinsel_paper"	"paper_by"	"by_bombers"	"the_tinsel_paper"	"tinsel_paper_by"	"paper_by_bombers"	"by_bombers_to"	"DT"	"NN"	"NN"	"VB"	"VB"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"window"	"the"	"paper"	"drop"	"by"	"bombers"	"to"	"jam"	"radar"	"sets"	"to"	"fill"	"the"	"scope"	"with"	"hundreds"	"of"	"blips"	"that"	"would"	"seem"	"to"	"be"	"approaching"	"bombers"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"we"	"the"	"when"	"first"	"when_we"	"we_the"	"the_first"	"ago_when_we"	"when_we_the"	"we_the_first"	"the_first_bombs"	"RB"	"WRB"	"PRP"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"our"	"everlasting"	"shame"	"we"	"lead"	"the"	"world"	"nuclear"	"arms_race"	"sixteen"	"years"	"ago"	"when"	"we"	"drop"	"the"	"first"	"bombs"	"on"	"hiroshima"	"and"	"nagasaki"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"bombs"	"on"	"the"	"japan"	"the_bombs"	"bombs_on"	"on_japan"	"that_the_bombs"	"the_bombs_on"	"bombs_on_japan"	"on_japan_be"	"IN"	"DT"	"NNS"	"VB"	"IN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"to"	"remind"	"communists"	"that"	"the"	"bombs"	"drop"	"on"	"japan"	"be"	"to"	"end"	"a"	"war"	"not"	"start"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"had"	"into"	"boy"	"a"	"boy_had"	"had_into"	"into_a"	"the_boy_had"	"boy_had_into"	"had_into_a"	"into_a_chair"	"DT"	"NN"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"put_down"	"her"	"down"	"on"	"the"	"couch"	"and"	"the"	"kitchen"	"see"	"that"	"the"	"boy"	"had"	"drop"	"into"	"a"	"chair"	"beside"	"the"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"are"	"from"	"that"	"musical"	"that_are"	"are_from"	"from_musical"	"songs_that_are"	"that_are_from"	"are_from_musical"	"from_musical_shows"	"NNS"	"WDT"	"VBP"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"times"	"when"	"one"	"that"	"the"	"songs"	"that"	"are"	"drop"	"from"	"musical"	"shows"	"before"	"they"	"reach"	"broadway"	"may"	"really"	"be"	"better"	"than"	"many_of"	"those"	"that"	"are_left"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	
