"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"
"2:30:00::"	"and"	"after_that"	"1815"	"year"	"1815_and"	"and_after_that"	"after_that_year"	"before_1815_and"	"1815_and_after_that"	"and_after_that_year"	"after_that_year_until"	"IN"	"CD"	"CC"	"VB"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"movement"	"to"	"end"	"slavery"	"begin"	"before"	"and"	"mount"	"after_that"	"year"	"until"	"as"	"a"	"result"	"of"	"the"	"civil_war"	"emancipation"	"was"	"achieve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"sentiment"	","	"anti-slavery"	"chiefly"	"anti-slavery_sentiment"	"sentiment_,"	",_chiefly"	"1815_anti-slavery_sentiment"	"anti-slavery_sentiment_,"	"sentiment_,_chiefly"	",_chiefly_among"	"CD"	"JJ"	"NN"	"VB"	"ε"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"sentiment"	"mount"	"chiefly"	"among"	"protestants"	"and"	"those"	"of"	"protestant"	"background"	"of"	"the"	"older"	"stock"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"after"	"the"	"remark"	"bandstand"	"remark_after"	"after_the"	"the_bandstand"	"president_kennedy_remark_after"	"remark_after_the"	"after_the_bandstand"	"the_bandstand_and"	"NNP"	"VB"	"IN"	"VB"	"DT"	"NN"	"CC"	"they"	"play"	"hail"	"to"	"the"	"chief"	"better"	"than"	"the"	"marine_corps"	"band"	"and"	"we"	"be"	"grateful"	"to"	"them"	"president_kennedy"	"remark"	"after"	"the"	"bandstand"	"and"	"shake_hands"	"with"	"conductor"	"james_christian_pfohl"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"his"	"down"	"urge"	"the"	"urge_his"	"his_down"	"down_the"	"he_urge_his"	"urge_his_down"	"his_down_the"	"down_the_meandering"	"PRP"	"VB"	"PRP$"	"NN"	"RB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"swing"	"up"	"then"	"and"	"bend"	"forward"	"the"	"horn"	"he"	"urge"	"his"	"mount"	"down"	"the"	"meandering"	"draw"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"his"	"to"	"hurl"	"the"	"hurl_his"	"his_to"	"to_the"	"had_hurl_his"	"hurl_his_to"	"his_to_the"	"to_the_left"	"VBD"	"VB"	"PRP$"	"NN"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"first"	"person"	"had"	"hurl"	"his"	"mount"	"to"	"the"	"left"	"toward"	"the"	"side"	"of"	"the"	"winding"	"draw"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"their"	"and"	"offsaddle"	"turn"	"offsaddle_their"	"their_and"	"and_turn"	"crew_offsaddle_their"	"offsaddle_their_and"	"their_and_turn"	"and_turn_them"	"NN"	"VB"	"PRP$"	"NN"	"CC"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rest"	"of"	"crew"	"offsaddle"	"their"	"mount"	"and"	"turn"	"them"	"into"	"the"	"remuda"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	","	"their"	"street"	"horse"	"street_,"	",_their"	"their_horse"	"the_street_,"	"street_,_their"	",_their_horse"	"their_horse_,"	"DT"	"NN"	"ε"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"return"	"the"	"street"	"mount"	"their"	"horse"	"ride"	"through"	"the"	"rain"	"to"	"the"	"big"	"house"	"on"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	","	","	"away"	"and"	"away_,"	",_,"	",_and"	"it_away_,"	"away_,_,"	",_,_and"	",_and_spur"	"PRP"	"RB"	"ε"	"VB"	"ε"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"unhitch"	"his"	"horse"	"it"	"away"	"mount"	"and"	"spur"	"it"	"on"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"still"	"a"	"champ"	"15"	"champ_still"	"still_a"	"a_15"	"group_champ_still"	"champ_still_a"	"still_a_15"	"a_15_-"	"NNP"	"NN"	"RB"	"VB"	"DT"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"person"	"and"	"person"	"both"	"out_of_action"	"injury"	"the"	"group"	"champ"	"still"	"mount"	"a"	"hit"	"attack"	"against"	"a"	"parade"	"of"	"eight"	"group"	"pitcher"	"the"	"most"	"ever"	"use"	"by"	"one"	"team"	"in"	"a"	"series"	"game"	
"2:30:00::"	"cold_war"	"in"	"the"	"frenzy"	"the_cold_war"	"cold_war_in"	"in_frenzy"	"should_the_cold_war"	"the_cold_war_in"	"cold_war_in_frenzy"	"in_frenzy_."	"MD"	"DT"	"NN"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"may"	"be"	"opera_bouffe"	"now"	"but"	"it"	"become"	"more"	"serious"	"should"	"the"	"cold_war"	"mount"	"in"	"frenzy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
