"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"3:00:00::"	"provide"	"natural"	"concrete"	"shelter"	"concrete_provide"	"provide_natural"	"natural_shelter"	"or_concrete_provide"	"concrete_provide_natural"	"provide_natural_shelter"	"natural_shelter_than"	"CC"	"NN"	"VB"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"large"	"apartment_building"	"of"	"or"	"concrete"	"provide"	"better"	"natural"	"shelter"	"than"	"the"	"usual"	"family"	"dwelling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"be"	"field"	"need"	"technique"	"need_be"	"be_field"	"field_technique"	"second_need_be"	"need_be_field"	"be_field_technique"	"field_technique_."	"JJ"	"NN"	"VB"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"need"	"be"	"better"	"field"	"technique"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"for"	"theory"	"be"	"."	"be_for"	"for_theory"	"theory_."	"need_be_for"	"be_for_theory"	"for_theory_."	"theory_._∅"	"NN"	"VB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"third"	"be"	"for"	"better"	"theory"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"for"	"employment"	"prospect"	"opportunity"	"prospect_for"	"for_employment"	"employment_opportunity"	"apparent_prospect_for"	"prospect_for_employment"	"for_employment_opportunity"	"employment_opportunity_afterwards"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"training_program"	"in"	"a"	"depressed"	"area"	"may"	"have"	"enrollee"	"unless"	"there"	"be"	"some"	"apparent"	"prospect"	"for"	"better"	"employment"	"opportunity"	"afterwards"	"and"	"the"	"prospect"	"may"	"be"	"poor"	"if"	"the"	"training"	"is"	"aim"	"solely"	"at"	"job"	"in"	"the"	"local"	"community"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"spirit"	"than"	"its"	"person"	"its_spirit"	"spirit_than"	"than_person"	"know_its_spirit"	"its_spirit_than"	"spirit_than_person"	"than_person_."	"VB"	"PRP$"	"NN"	"JJ"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"all"	"the"	"thousand"	"of"	"man"	"who"	"have"	"serve"	"the"	"perhaps"	"no"	"one"	"know"	"its"	"spirit"	"better"	"than"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"do"	"to"	"would"	"rent"	"would_do"	"do_to"	"to_rent"	"you_would_do"	"would_do_to"	"do_to_rent"	"to_rent_a"	"PRP"	"MD"	"VB"	"JJ"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"be"	"not"	"well"	"acquainted_with"	"the"	"area"	"in"	"which"	"you"	"wish_to"	"locate"	"or"	"if"	"you"	"not"	"sure"	"that"	"you"	"and"	"your"	"family"	"will"	"like"	"and"	"a"	"success"	"of"	"farming"	"usually"	"you"	"would"	"do"	"better"	"to"	"rent"	"a"	"place"	"for"	"a"	"year"	"or"	"two"	"before"	"you"	"buy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"a"	"world"	"of"	"by"	"of_a"	"a_world"	"world_by"	"creation_of_a"	"of_a_world"	"a_world_by"	"world_by_keep"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"VB"	"beside"	"the"	"protestant"	"philosophy"	"of"	"progress"	"as"	"express"	"in"	"radical"	"or"	"conservative"	"millenarianism"	"should"	"be"	"place"	"the"	"doctrine"	"of"	"the"	"democratic"	"faith"	"which"	"affirm"	"it"	"to"	"be"	"the"	"duty"	"of"	"the"	"destiny"	"of"	"the"	"united_states"	"to"	"assist"	"in"	"creation"	"of"	"a"	"world"	"by"	"keep"	"lighted"	"the"	"beacon"	"of"	"democracy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	","	"an"	"say"	"ounce"	"say_,"	",_an"	"an_ounce"	"proverb_say_,"	"say_,_an"	",_an_ounce"	"an_ounce_of"	"NN"	"VB"	"ε"	"JJ"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look"	"my"	"friend"	"he"	"say"	"in"	"my"	"life"	"i"	"learn"	"how"	"it"	"the"	"proverb"	"say"	"better"	"an"	"ounce"	"of"	"prevention"	"to"	"a"	"pound"	"of"	"cure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"a"	"life"	"∅"	"."	"∅_a"	"a_life"	"life_."	"∅_∅_a"	"∅_a_life"	"a_life_."	"life_._∅"	"ε"	"ε"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"better"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"know"	"than"	"person"	"to"	"person_know"	"know_than"	"than_to"	",_person_know"	"person_know_than"	"know_than_to"	"than_to_leave"	"ε"	"NNP"	"VB"	"RB"	"RB"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sir"	"person"	"better"	"than"	"to"	"leave"	"the"	"station"	"without"	"a"	"relief"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
