"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"1:18:00::"	"to"	"as_well_as"	"deadly"	"to"	"deadly_to"	"to_as_well_as"	"as_well_as_to"	"so_deadly_to"	"deadly_to_as_well_as"	"to_as_well_as_to"	"as_well_as_to_anyone"	"RB"	"JJ"	"TO"	"NN"	"RB"	"TO"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"if"	"the"	"trial"	"did"	"not"	"the"	"special"	"nazi"	"mania"	"so"	"deadly"	"to"	"jew"	"as_well_as"	"to"	"anyone"	"upon"	"whom"	"it"	"happen"	"to"	"light"	"neither"	"did"	"it"	"warn"	"very"	"effectively"	"against"	"the"	"ordinary"	"anti-semitism"	"of"	"which"	"the"	"nazi"	"make"	"such"	"effective"	"use"	"in"	"germany"	"and"	"wherever"	"else"	"they"	"could"	"find"	"it"	
"1:18:00::"	"native"	"hater"	"by"	"-"	"by_native"	"native_hater"	"hater_-"	"aid_by_native"	"by_native_hater"	"native_hater_-"	"hater_-_i.e."	"VB"	"IN"	"JJ"	"NN"	"NN"	"ε"	"RB"	"the"	"mission"	"of"	"the"	"trial"	"be"	"to"	"convict"	"anti-semitism"	"how"	"could"	"it"	"have"	"fail"	"to"	"post"	"the"	"world"	"the"	"contrasting"	"fate"	"of"	"the"	"country"	"in"	"which"	"the"	"final_solution"	"was"	"aid"	"native"	"hater"	"i.e."	"germany"	"poland"	"hungary"	"czechoslovakia"	"and"	"those"	"in"	"which"	"it"	"meet"	"the"	"obstacle"	"of"	"human"	"solidarity"	"denmark"	"holland"	"italy"	"bulgaria"	"france"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"from"	"of"	"the"	"of_the"	"the_from"	"from_the"	"recovery_of_the"	"of_the_from"	"the_from_the"	"from_the_shock"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"first"	"collective"	"confrontation"	"of"	"the"	"nazi"	"outrage"	"trial"	"of"	"person"	"represent"	"a"	"recovery"	"of"	"the"	"jew"	"from"	"the"	"shock"	"of"	"the"	"death"	"camp"	"a"	"recovery"	"that"	"take"	"fifteen"	"year"	"and"	"which"	"be"	"still"	"by_no_means"	"complete"	"though"	"let"	"no"	"one"	"believe"	"that"	"it"	"could"	"be"	"hasten"	"by"	"silence"	"0"	"0"	"0"	"0"	
"1:18:00::"	"and"	"be"	"protestant"	"in_agreement"	"protestant_and"	"and_be"	"be_in_agreement"	",_protestant_and"	"protestant_and_be"	"and_be_in_agreement"	"be_in_agreement_over"	"ε"	"NN"	"CC"	"NN"	"VB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"catholic"	"and"	"jew"	"be"	"in_agreement"	"over"	"the"	"objective"	"of"	"family_planning"	"but"	"disagree"	"over"	"the"	"method"	"to"	"be"	"use"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"a"	","	"see"	"unless"	"see_a"	"a_,"	",_unless"	"never_see_a"	"see_a_,"	"a_,_unless"	",_unless_in"	"RB"	"VB"	"DT"	"NN"	"ε"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shakespeare"	"give"	"us"	"a"	"vivid"	"picture"	"of"	"but"	"probably"	"he"	"never"	"see"	"a"	"jew"	"unless"	"in"	"some"	"of"	"his"	"travel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"young"	"who"	"bright"	"had"	"bright_young"	"young_who"	"who_had"	"of_bright_young"	"bright_young_who"	"young_who_had"	"who_had_come"	"IN"	"JJ"	"JJ"	"NN"	"WP"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"following"	"year"	"her"	"father"	"undertake"	"to"	"give"	"a"	"course"	"in"	"hebrew"	"theology"	"to"	"group"	"student"	"and"	"this"	"bring"	"to"	"the"	"person"	"a"	"group"	"of"	"bright"	"young"	"jew"	"who"	"had"	"come"	"to"	"baltimore"	"to"	"study"	"and"	"who"	"enjoy"	"being"	"feed"	"and"	"mother"	"by"	"mamma"	"and"	"entertain"	"by"	"person"	"and"	"person"	"who"	"play"	"and"	"sing"	"for"	"them"	"in"	"the"	"upstairs"	"sitting_room"	"on"	"sunday"	"evening"	"0"	"0"	"0"	
"1:18:00::"	"most"	"do"	"``"	"n't"	"``_most"	"most_do"	"do_n't"	":_``_most"	"``_most_do"	"most_do_n't"	"do_n't_believe_in"	"ε"	"ε"	"JJ"	"NN"	"VBP"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"teenager"	"most"	"jew"	"do"	"n't"	"believe_in"	"god"	"but"	"they"	"believe_in"	"people"	"in"	"help"	"people"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"middle-class"	"now"	"many"	"regard_as"	"many_middle-class"	"middle-class_now"	"now_regard_as"	"that_many_middle-class"	"many_middle-class_now"	"middle-class_now_regard_as"	"now_regard_as_religious"	"IN"	"JJ"	"JJ"	"NN"	"RB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"fourteen"	"year"	"old"	"girl"	"from"	"the"	"middle_west"	"observe"	"wryly"	"that"	"in"	"her"	"community"	"religion"	"inconveniently"	"interfere"	"religious"	"activity"	"at_least"	"with"	"the"	"peripheral"	"that"	"many"	"middle-class"	"jew"	"now"	"regard_as"	"religious"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"urban"	"are"	"many"	"enable"	"many_urban"	"urban_are"	"are_enable"	"great_many_urban"	"many_urban_are"	"urban_are_enable"	"are_enable_to"	"JJ"	"JJ"	"JJ"	"NN"	"VBP"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"reason"	"for"	"the"	"high"	"percentage"	"of"	"teenager"	"in"	"college"	"be"	"that"	"a"	"great"	"many"	"urban"	"jew"	"are"	"enable"	"to"	"attend"	"local"	"college"	"at"	"modest"	"cost"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"a"	"from"	"be"	"bavaria"	"be_a"	"a_from"	"from_bavaria"	"i_be_a"	"be_a_from"	"a_from_bavaria"	"from_bavaria_."	"PRP"	"VB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"think"	"be"	"a"	"jew"	"from"	"bavaria"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
