"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"3:00:00::"	"and"	"development"	"research"	"work"	"research_and"	"and_development"	"development_work"	"engineering_research_and"	"research_and_development"	"and_development_work"	"development_work_to"	"NN"	"NN"	"CC"	"JJ"	"NN"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"conduct"	"research"	"and"	"technical"	"development"	"work"	"to"	"determine"	"by"	"laboratory"	"and"	"pilot"	"plant"	"testing"	"the"	"result"	"of"	"the"	"research"	"and"	"study"	"aforesaid"	"in_order"	"to"	"develop"	"process"	"and"	"plant"	"design"	"to"	"the"	"point"	"where"	"they"	"can"	"be"	"demonstrate"	"on"	"a"	"large"	"and"	"practical"	"scale"	
"3:00:00::"	","	"data"	"process"	","	"process_,"	",_data"	"data_,"	"secret_process_,"	"process_,_data"	",_data_,"	"data_,_invention"	"JJ"	"NN"	"ε"	"JJ"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"acquire"	"process"	"technical"	"data"	"invention"	"patent"	"application"	"patent"	"license"	"land"	"and"	"interest"	"in"	"land"	"include"	"water_right"	"plant"	"and"	"facility"	"and"	"property"	"or"	"right"	"by"	"purchase"	"license"	"lease"	"or"	"donation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"and"	"development"	"research"	"have"	"research_and"	"and_development"	"development_have"	"diligent_research_and"	"research_and_development"	"and_development_have"	"development_have_replace"	"JJ"	"NN"	"CC"	"JJ"	"NN"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"american"	"firearm"	"and"	"manufacturer"	"through"	"diligent"	"research"	"and"	"technical"	"development"	"have"	"replace"	"the"	"muzzle_loader"	"and"	"slow"	"fire"	"single"	"shot"	"arm"	"with"	"modern"	"fast"	"fire"	"autoloader"	"extremely"	"accurate"	"bolt"	"lever"	"and"	"slide_action"	"firearm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:03::"	"or"	"high_school"	"vocational"	"."	"vocational_or"	"or_high_school"	"high_school_."	"more_vocational_or"	"vocational_or_high_school"	"or_high_school_."	"high_school_._∅"	"JJ"	"JJ"	"CC"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most_of"	"our"	"largest"	"city"	"one"	"or"	"more"	"vocational"	"or"	"technical"	"high_school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:03::"	"or"	"high_school"	"vocational"	"in"	"vocational_or"	"or_high_school"	"high_school_in"	"the_vocational_or"	"vocational_or_high_school"	"or_high_school_in"	"high_school_in_the"	"DT"	"JJ"	"CC"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"or"	"technical"	"high_school"	"in"	"the"	"large"	"city"	"must"	"be"	"reckon"	"as"	"permanent"	"institution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"fact"	"for"	","	"for_the"	"the_fact"	"fact_,"	"but_for_the"	"for_the_fact"	"the_fact_,"	"fact_,_we"	"CC"	"IN"	"DT"	"JJ"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"technical"	"fact"	"we"	"have"	"the"	"artist"	"own"	"testimony"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"and"	"aspect"	"aesthetic"	"of"	"aesthetic_and"	"and_aspect"	"aspect_of"	"the_aesthetic_and"	"aesthetic_and_aspect"	"and_aspect_of"	"aspect_of_this"	"DT"	"JJ"	"CC"	"JJ"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beyond"	"aesthetic"	"and"	"technical"	"aspect"	"of"	"this"	"expansion"	"we"	"must"	"consider"	"the"	"change"	"in"	"pottery"	"style"	"on"	"broad"	"line"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:03::"	"fairly"	"and"	"a"	"detailed"	"a_fairly"	"fairly_and"	"and_detailed"	"carry_a_fairly"	"a_fairly_and"	"fairly_and_detailed"	"and_detailed_explanation"	"VB"	"DT"	"RB"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_of"	"the"	"carry"	"a"	"fairly"	"technical"	"and"	"detailed"	"explanation"	"of"	"this"	"new"	"recording"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"improvement"	"claim"	"have"	"claim_of"	"of_improvement"	"improvement_have"	"the_claim_of"	"claim_of_improvement"	"of_improvement_have"	"improvement_have_multiply"	"DT"	"NN"	"IN"	"JJ"	"NN"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"concept"	"of"	"high_fidelity"	"become"	"important"	"dozen"	"year"	"ago"	"the"	"claim"	"of"	"technical"	"improvement"	"have"	"multiply"	"tenfold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"of"	"information"	"source"	"relate"	"source_of"	"of_information"	"information_relate"	"on_source_of"	"source_of_information"	"of_information_relate"	"information_relate_to"	"IN"	"NN"	"IN"	"JJ"	"NN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"sba"	"provide"	"guidance"	"advice"	"on"	"source"	"of"	"technical"	"information"	"relate"	"to"	"small"	"business"	"management"	"and"	"research"	"and"	"development"	"of"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
