"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"2:30:00::"	"were"	"to"	"subjects"	"the"	"subjects_were"	"were_to"	"to_the"	"pathology_subjects_were"	"subjects_were_to"	"were_to_the"	"to_the_loan"	"NN"	"NNS"	"VB"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nine"	"veterinary"	"lantern_slide"	"teaching"	"sets"	"were"	"develop"	"and"	"distribute"	"lantern_slide"	"teaching"	"sets"	"on"	"pathology"	"subjects"	"were"	"add"	"to"	"the"	"loan"	"library"	"of"	"the"	"medical_illustration_service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"were"	"during"	"of_which"	"fiscal_years"	"of_which_were"	"were_during"	"during_fiscal_years"	"two_of_which_were"	"of_which_were_during"	"were_during_fiscal_years"	"during_fiscal_years_1959"	"CD"	"RB"	"VB"	"VB"	"IN"	"NN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"consist_of"	"individual"	"registries"	"of_which"	"were"	"add"	"during"	"fiscal_years"	"the"	"registry"	"of"	"forensic_pathology"	"and"	"the"	"testicular_tumor_registry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	"."	","	"∅"	",_he"	"he_."	"._∅"	"prices_,_he"	",_he_."	"he_._∅"	"._∅_∅"	"NNS"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"say"	"he"	"favor"	"wage"	"increases"	"for"	"workers"	"but"	"manufacturers"	"are"	"catch"	"in"	"a"	"profit"	"squeeze"	"and"	"raises"	"should"	"only"	"come"	"when"	"the"	"is"	"condition"	"to"	"higher"	"prices"	"he"	"add"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"but"	"that"	"say"	"if"	"say_but"	"but_that"	"that_if"	"he_say_but"	"say_but_that"	"but_that_if"	"that_if_they"	"PRP"	"VB"	"CC"	"VB"	"IN"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"must"	"persuade"	"them"	"to"	"enjoy"	"a"	"way_of_life"	"which"	"if_not"	"identical"	"congenial"	"with"	"ours"	"he"	"say"	"but"	"add"	"that"	"if"	"they"	"do"	"not"	"develop"	"the"	"kind_of"	"society"	"they"	"themselves"	"want"	"it"	"will"	"lack"	"ritiuality"	"and"	"loyalty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"and"	","	","	"``"	",_and"	"and_,"	",_``"	"in_,_and"	",_and_,"	"and_,_``"	",_``_so_long"	"RB"	"ε"	"CC"	"VB"	"ε"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"cite"	"east_germany"	"where"	"after"	"years"	"of"	"soviet"	"rule"	"it"	"has"	"become"	"to"	"build"	"a"	"wall"	"to"	"keep"	"the"	"people"	"in"	"and"	"add"	"so_long"	"as"	"people"	"rebel"	"we"	"must_not"	"give_up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"point"	"to"	"third"	"the"	"third_point"	"point_to"	"to_the"	"new_third_point"	"third_point_to"	"point_to_the"	"to_the_list"	"JJ"	"JJ"	"NN"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"changes"	"involve"	"minor"	"editing"	"and"	"clarification"	"however"	"the"	"first"	"stand"	"for"	"entire"	"revision"	"with"	"a"	"new"	"third"	"point"	"add"	"to"	"the"	"list"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"that"	"say"	"the"	"say_,"	",_that"	"that_the"	"rev._mr._brandt_say_,"	"say_,_that"	",_that_the"	"that_the_denomination"	"NNP"	"VB"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"years"	"we"	"have"	"open"	"churches"	"the"	"say"	"add"	"that"	"the"	"denomination"	"have"	"a"	"national"	"goal"	"of"	"one"	"church"	"for"	"every"	"persons"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"three"	":"	"new"	":_to"	"to_three"	"three_new"	"compromise_:_to"	":_to_three"	"to_three_new"	"three_new_members"	"NN"	"ε"	"TO"	"VB"	"CD"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a"	"tense"	"closed-door"	"session"	"with"	"judge_smith"	"rayburn"	"to"	"work_out"	"a"	"compromise"	"to"	"add"	"three"	"new"	"members"	"to"	"the"	"rules_committee"	"two"	"democrats"	"include"	"one"	"southerner"	"and"	"one"	"republican"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	","	"∅"	"``"	"∅_he"	"he_,"	",_``"	"∅_∅_he"	"∅_he_,"	"he_,_``"	",_``_if"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"add"	"if"	"this"	"does"	"n't"	"work_out"	"the"	"three"	"of"	"you"	"barricade"	"yourself"	"in"	"the"	"house"	"and"	"talk_terms"	"with"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"just"	"this"	"was"	"to"	"was_just"	"just_this"	"this_to"	"mr._podger_was_just"	"was_just_this"	"just_this_to"	"this_to_his"	"NNP"	"VBD"	"RB"	"VB"	"DT"	"TO"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._podger"	"just"	"add"	"this"	"to"	"his"	"pictures"	"of"	"the"	"day"	"when"	"the"	"screen_door"	"open"	"and"	"pam"	"burst_out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
