"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"
"2:42:00::"	"campaign"	"3"	"mail"	"intra"	"mail_campaign"	"campaign_3"	"3_intra"	"direct_mail_campaign"	"mail_campaign_3"	"campaign_3_intra"	"3_intra_state"	"JJ"	"NN"	"NN"	"VB"	"CD"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mail"	"campaign"	"consist_of"	"intra"	"state"	"mailings"	"of"	"letters"	"each"	"and"	"out-of-state"	"direct"	"to"	"electronics"	"plastics"	"pharmaceutical"	"and"	"business"	"machine"	"manufacturers"	"and"	"to"	"publishers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"has"	"identify"	"staff"	"and"	"staff_has"	"has_identify"	"identify_and"	"division_staff_has"	"staff_has_identify"	"has_identify_and"	"identify_and_map"	"NN"	"NN"	"VBZ"	"VB"	"VB"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"urban"	"land"	"use"	"study"	"by"	"the"	"planning"	"division"	"staff"	"has"	"consist_of"	"identify"	"and"	"map"	"all"	"urban"	"land"	"uses"	"which"	"be"	"of"	"significance"	"to"	"statewide"	"planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"this"	"25"	"∅"	"individual"	"∅_this"	"this_25"	"25_individual"	"∅_∅_this"	"∅_this_25"	"this_25_individual"	"25_individual_registries"	"ε"	"ε"	"DT"	"VB"	"CD"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consist_of"	"individual"	"registries"	"two"	"of_which"	"were"	"add"	"during"	"fiscal_years"	"the"	"registry"	"of"	"forensic_pathology"	"and"	"the"	"testicular_tumor_registry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"tuesday"	"$"	"offering"	"60"	"offering_tuesday"	"tuesday_$"	"$_60"	"new_offering_tuesday"	"offering_tuesday_$"	"tuesday_$_60"	"$_60_million"	"JJ"	"NN"	"NNP"	"VB"	"ε"	"CD"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"offering"	"tuesday"	"consist_of"	"million"	"worth"	"of"	"debentures"	"due"	"june"	"at"	"and"	"million"	"of"	"convertible"	"subordinate"	"debentures"	"due"	"june"	"at"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"appliance"	"bands"	"an"	","	"an_appliance"	"appliance_bands"	"bands_,"	"susie_an_appliance"	"an_appliance_bands"	"appliance_bands_,"	"bands_,_plastic"	"NNP"	"DT"	"NN"	"VB"	"NNS"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"he"	"decide"	"to"	"proceed"	"he"	"custom-make"	"for"	"susie"	"an"	"appliance"	"consist_of"	"bands"	"plastic"	"plates"	"fine"	"wires"	"and"	"tiny"	"springs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"group"	"steve_budieshein"	"newport"	"on"	"newport_group"	"group_steve_budieshein"	"steve_budieshein_on"	"a_newport_group"	"newport_group_steve_budieshein"	"group_steve_budieshein_on"	"steve_budieshein_on_bass"	"DT"	"NNP"	"NN"	"VB"	"NNP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"evening"	"program"	"was"	"open"	"by"	"jazz"	"three"	"a"	"newport"	"group"	"consist_of"	"steve_budieshein"	"on"	"bass"	"jack_warner"	"drums"	"and"	"don_cook"	"piano"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"of_which"	"such"	"part"	"seldom"	"part_of_which"	"of_which_such"	"such_seldom"	"large_part_of_which"	"part_of_which_such"	"of_which_such_seldom"	"such_seldom_hear"	"JJ"	"NN"	"RB"	"VB"	"JJ"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"julie_wilson"	"a"	"vigorous"	"vocalist"	"without"	"many"	"wild"	"twists"	"a"	"set"	"a"	"large"	"part"	"of_which"	"consist_of"	"such"	"seldom"	"hear"	"old"	"oldies"	"as"	"hard-hearted_hannah"	"the"	"vamp"	"of"	"savannah"	"and"	"the"	"delightful"	"sunday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"sextet"	"vibes"	"a"	","	"a_sextet"	"sextet_vibes"	"vibes_,"	",_a_sextet"	"a_sextet_vibes"	"sextet_vibes_,"	"vibes_,_guitar"	"ε"	"DT"	"NN"	"VB"	"NNS"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"george_shearing"	"take_over"	"with"	"his"	"disciplined"	"group"	"a"	"sextet"	"consist_of"	"vibes"	"guitar"	"bass"	"drums"	"shearing"	"piano"	"and"	"a"	"bongo"	"drummer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"it"	"``"	","	"the"	",_it"	"it_``"	"``_the"	"parts_,_it"	",_it_``"	"it_``_the"	"``_the_evolution"	"NNS"	"ε"	"PRP"	"VB"	"ε"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"divide"	"almost"	"equally"	"two"	"parts"	"it"	"consist_of"	"the"	"evolution"	"of"	"the_blues"	"narrate"	"by"	"jon_hendricks"	"who"	"had"	"present"	"it"	"last"	"year"	"at"	"the"	"monterey"	"calif."	"jazz_festival"	"and"	"an"	"hour-long"	"session"	"of"	"maynard_ferguson"	"and"	"his"	"orchestra"	"a"	"blasting"	"big_band"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"lines"	"exclusively"	"singular"	"of"	"singular_lines"	"lines_exclusively"	"exclusively_of"	"of_singular_lines"	"singular_lines_exclusively"	"lines_exclusively_of"	"exclusively_of_the"	"IN"	"JJ"	"NNS"	"VB"	"RB"	"IN"	"DT"	"observations"	"make"	"it"	"clear"	"that"	"there"	"exist"	"line"	"involutions"	"of"	"all"	"orders"	"greater"	"than"	"with"	"no"	"complex"	"of"	"invariant"	"lines"	"and"	"with"	"a"	"complex"	"of"	"singular"	"lines"	"exclusively"	"of"	"the"	"lines"	"which"	"meet"	"a"	"twisted"	"curve"	"g"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
