"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"
"1:10:01::"	"'"	"."	"person"	"∅"	"person_'"	"'_."	"._∅"	"in_person_'"	"person_'_."	"'_._∅"	"._∅_∅"	"IN"	"NNP"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"second"	"explanation"	"is"	"suggest"	"the"	"material"	"describe"	"in"	"person"	"paper"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"one"	"deal"	"∅"	"with"	"∅_one"	"one_deal"	"deal_with"	"∅_∅_one"	"∅_one_deal"	"one_deal_with"	"deal_with_a"	"ε"	"ε"	"JJ"	"NN"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"paper"	"deal"	"with"	"a"	"phonologic"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"the"	"and"	"in"	"that"	"in_the"	"the_and"	"and_that"	"you_in_the"	"in_the_and"	"the_and_that"	"and_that_you"	"PRP"	"IN"	"DT"	"NN"	"CC"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"i"	"remember"	"read"	"you"	"in"	"the"	"paper"	"and"	"that"	"you"	"live"	"here"	"and"	"when"	"it"	"happen"	"all"	"i"	"could"	"think_of"	"was"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"of"	"and"	"scrap"	"give"	"scrap_of"	"of_and"	"and_give"	"a_scrap_of"	"scrap_of_and"	"of_and_give"	"and_give_him"	"DT"	"NN"	"IN"	"NN"	"CC"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"do"	"some"	"on"	"a"	"scrap"	"of"	"paper"	"and"	"give"	"him"	"the"	"various"	"kind"	"of"	"board"	"and"	"two-by-four"	"which"	"properly"	"handle"	"would"	"he"	"had"	"assure"	"him"	"turn_into"	"a"	"workbench"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"brief"	"which"	"a"	"be"	"a_brief"	"brief_which"	"which_be"	"cover_a_brief"	"a_brief_which"	"brief_which_be"	"which_be_one"	"VB"	"DT"	"JJ"	"NN"	"WDT"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"the"	"medical"	"title"	"of"	"lobar_ventilation_in_man"	"by"	"person"	"and"	"person"	"a"	"brief"	"paper"	"which"	"be"	"one"	"part"	"of"	"a"	"much"	"larger"	"effort"	"to"	"apply"	"electronics"	"to"	"the"	"study"	"of"	"the"	"respiratory"	"process"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"a"	"which"	"give"	"briefly"	"give_a"	"a_which"	"which_briefly"	"have_give_a"	"give_a_which"	"a_which_briefly"	"which_briefly_outline"	"VBP"	"VB"	"DT"	"NN"	"WDT"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"group"	"of"	"researcher"	"the"	"group"	"have"	"give"	"a"	"paper"	"which"	"briefly"	"outline"	"some"	"of"	"these"	"technique"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"this"	"consider"	"of"	"an"	"of_this"	"this_consider"	"consider_an"	"model_of_this"	"of_this_consider"	"this_consider_an"	"consider_an_industry"	"NN"	"RB"	"RB"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"this"	"paper"	"consider"	"an"	"industry"	"which"	"is"	"not"	"characterize"	"by"	"vigorous"	"price_competition"	"but"	"which"	"be"	"so"	"basic"	"that"	"its"	"wage"	"price"	"policy"	"be"	"hold"	"in_check"	"by"	"continuous"	"critical"	"public"	"scrutiny"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"pasted"	"establish"	"the"	"undepicted"	"the_pasted"	"pasted_establish"	"establish_undepicted"	",_the_pasted"	"the_pasted_establish"	"pasted_establish_undepicted"	"establish_undepicted_flatness"	"ε"	"DT"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"of"	"the"	"size"	"of"	"area"	"it"	"cover"	"the"	"pasted"	"paper"	"establish"	"undepicted"	"flatness"	"bodily"	"as"	"more"	"than"	"an"	"indication"	"or"	"sign"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"your"	"hat"	"have"	"and"	"have_your"	"your_hat"	"hat_and"	"still_have_your"	"have_your_hat"	"your_hat_and"	"hat_and_you"	"RB"	"VB"	"PRP$"	"NN"	"NN"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"have"	"your"	"paper"	"hat"	"and"	"you"	"wear"	"it"	"but"	"then"	"it"	"be"	"an"	"extraordinary"	"paper"	"hat"	"and"	"in_addition"	"to"	"anything"	"else"	"you"	"may"	"be"	"you"	"be"	"also"	"the"	"sculptor"	"who"	"create"	"that"	"most"	"peculiar"	"dame"	"out"	"in"	"the"	"backyard"	
"1:27:00::"	"extraordinary"	"hat"	"an"	"and"	"an_extraordinary"	"extraordinary_hat"	"hat_and"	"be_an_extraordinary"	"an_extraordinary_hat"	"extraordinary_hat_and"	"hat_and_,"	"VB"	"DT"	"JJ"	"NN"	"NN"	"CC"	"ε"	"have"	"your"	"paper"	"hat"	"and"	"you"	"wear"	"it"	"but"	"then"	"it"	"an"	"extraordinary"	"hat"	"and"	"in_addition"	"to"	"anything"	"else"	"you"	"may"	"be"	"you"	"be"	"also"	"the"	"sculptor"	"who"	"create"	"that"	"most"	"peculiar"	"dame"	"out"	"in"	"the"	"backyard"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
