"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:31:01::"	"and"	"them"	"commitment"	"in"	"commitment_and"	"and_them"	"them_in"	"christian_commitment_and"	"commitment_and_them"	"and_them_in"	"them_in_the"	"NNP"	"NN"	"CC"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"it"	"be"	"not"	"enough"	"to"	"persons"	"to"	"christian"	"commitment"	"and"	"train"	"them"	"in"	"the"	"meaning"	"of"	"christian"	"discipleship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"must"	"people"	"agency"	"within"	"agency_must"	"must_people"	"people_within"	"the_agency_must"	"agency_must_people"	"must_people_within"	"people_within_its"	"DT"	"NN"	"MD"	"VB"	"NNS"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"he"	"emphasize"	"the"	"agency"	"must"	"train"	"people"	"within"	"its"	"own"	"employ"	"to"	"fulfill"	"what"	"field"	"handle"	"and"	"he"	"say"	"he"	"personally"	"regret"	"very_much"	"that"	"the"	"agency"	"has"	"not"	"do"	"this"	"in_the_past"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"has"	"in"	"04"	"2"	"04_has"	"has_in"	"in_2"	":_04_has"	"04_has_in"	"has_in_2"	"in_2_:"	"ε"	"CD"	"VBZ"	"VB"	"IN"	"CD"	"ε"	"a"	"clever"	"green"	"trotter"	"in"	"dr._orin_i."	"by"	"yankee_hanover"	"his"	"latest"	"mile"	"in"	"victory_sun"	"p"	"has"	"train"	"in"	"early"	"sun"	"p"	"dark_sun"	"p"	"and"	"sun_tan_maid"	"have"	"be"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"in"	"highly"	"interest"	"skilled"	"interest_in"	"in_highly"	"highly_skilled"	"national_interest_in"	"interest_in_highly"	"in_highly_skilled"	"highly_skilled_labor"	"JJ"	"NN"	"IN"	"VB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"program"	"of"	"financial"	"assistance"	"would"	"place"	"emphasis"	"on"	"the"	"national"	"interest"	"in"	"train"	"highly"	"skilled"	"labor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"on"	"and"	"company"	"and_was"	"was_on"	"on_company"	"group_and_was"	"and_was_on"	"was_on_company"	"on_company_ship"	"NNP"	"CC"	"VBD"	"VB"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"believe"	"that"	"person"	"be"	"related"	"seafaring"	"man"	"of"	"the"	"group"	"and"	"was"	"train"	"on"	"company"	"ship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"in"	"for"	"first_step"	"all"	"first_step_in"	"in_for"	"for_all"	"the_first_step_in"	"first_step_in_for"	"in_for_all"	"for_all_sport"	"DT"	"NN"	"IN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"russian"	"use"	"as"	"the"	"first_step"	"in"	"train"	"for"	"all"	"sport"	"because"	"it"	"provide"	"training"	"in"	"every"	"basic"	"quality"	"except"	"one"	"endurance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"midnight"	"out"	"a"	"of"	"a_midnight"	"midnight_out"	"out_of"	"take_a_midnight"	"a_midnight_out"	"midnight_out_of"	"out_of_cleveland"	"VB"	"DT"	"NN"	"NN"	"IN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"a"	"midnight"	"train"	"out"	"of"	"cleveland"	"saturday"	"without"	"an"	"official"	"word"	"to"	"anybody"	"and"	"has"	"stay"	"away"	"from"	"newsman"	"on"	"his"	"train"	"trip"	"across_the_nation"	"to"	"location"	"location"	"where"	"his"	"wife"	"former"	"olympic"	"diving"	"champion"	"person"	"await"	
"1:06:00::"	"his"	"trip"	"on"	"across_the_nation"	"on_his"	"his_trip"	"trip_across_the_nation"	"newsman_on_his"	"on_his_trip"	"his_trip_across_the_nation"	"trip_across_the_nation_to"	"NN"	"IN"	"PRP$"	"NN"	"NN"	"RB"	"TO"	"0"	"0"	"he"	"take"	"a"	"midnight"	"train"	"out"	"of"	"cleveland"	"saturday"	"without"	"an"	"official"	"word"	"to"	"anybody"	"and"	"has"	"stay"	"from"	"newsman"	"on"	"his"	"train"	"trip"	"across_the_nation"	"to"	"location"	"location"	"where"	"his"	"wife"	"former"	"olympic"	"diving"	"champion"	"person"	"await"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"by"	"from"	"come"	"location"	"come_by"	"by_from"	"from_location"	"person_come_by"	"come_by_from"	"by_from_location"	"from_location_and"	"NNP"	"VB"	"VB"	"NN"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"by"	"train"	"from"	"location"	"and"	"look"	"the"	"city"	"over"	"the"	"rather"	"pleasant"	"white"	"city"	"be"	"on"	"the"	"hill"	"where"	"the"	"chief"	"store"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"d"	"slide"	"the"	"shut"	"the_d"	"d_slide"	"slide_shut"	"of_the_d"	"the_d_slide"	"d_slide_shut"	"slide_shut_,"	"IN"	"DT"	"NN"	"NN"	"VB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"door"	"the"	"d"	"train"	"slide"	"shut"	"and"	"as"	"i"	"drop"	"into"	"a"	"seat"	"and"	"exhale"	"look"	"up"	"across"	"the"	"aisle"	"the"	"whole"	"aviary"	"in"	"my"	"head"	"burst"	"into"	"song"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
