"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"
"5:00:00:cardinal:00"	"exceed"	"percent"	"not"	"of"	"not_exceed"	"exceed_percent"	"percent_of"	"shall_not_exceed"	"not_exceed_percent"	"exceed_percent_of"	"percent_of_the"	"MD"	"RB"	"VB"	"JJ"	"NN"	"IN"	"DT"	"with"	"any"	"claim"	"decide"	"by"	"the"	"commission"	"pursuant"	"to"	"this"	"title"	"in"	"which"	"an"	"award"	"is"	"make"	"the"	"commission"	"may"	"upon"	"the"	"written"	"request"	"of"	"the"	"claimant"	"or"	"any"	"attorney"	"heretofore"	"or"	"hereafter"	"employ"	"by"	"such"	"claimant"	"determine"	"and"	"apportion"	"the"	"just"	"and"	"reasonable"	"attorney"	"fee"	"for"	"services"	"render"	"with_respect_to"	"such"	"claim"	"but"	"the"	"total"	"amount"	"of"	"the"	"fee"	"so"	"determine"	"in"	"case"	"shall"	"not"	"exceed"	"of"	"the"	"total"	"amount"	"pay"	"pursuant"	"to"	"the"	"award"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"next"	"yr"	"the"	"?"	"the_next"	"next_yr"	"yr_?"	"in_the_next"	"the_next_yr"	"next_yr_?"	"yr_?_∅"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"given"	"this"	"kind"	"of"	"business"	"climate"	"what"	"competitive"	"problem"	"will"	"your"	"company"	"face"	"in"	"the"	"next"	"yr"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"feed"	"to"	","	"25"	",_feed"	"feed_to"	"to_25"	"efficiency_,_feed"	",_feed_to"	"feed_to_25"	"to_25_gram"	"NN"	"ε"	"VB"	"JJ"	"TO"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"increase"	"rate"	"of"	"gain"	"improve"	"feed"	"efficiency"	"feed"	"to"	"gram"	"per"	"ton"	"of"	"complete"	"feed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"feed"	"to"	","	"20"	",_feed"	"feed_to"	"to_20"	"efficiency_,_feed"	",_feed_to"	"feed_to_20"	"to_20_gram"	"NN"	"ε"	"VB"	"JJ"	"TO"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"increase"	"rate"	"of"	"gain"	"improve"	"feed"	"efficiency"	"feed"	"to"	"gram"	"per"	"ton"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"∅"	"gram"	"∅"	"premix"	"∅_∅"	"∅_gram"	"gram_premix"	"∅_∅_∅"	"∅_∅_gram"	"∅_gram_premix"	"gram_premix_per"	"ε"	"ε"	"ε"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"premix"	"per"	"head"	"per"	"day"	"for"	"promote"	"growth"	"feed"	"conversion"	"and"	"get"	"lamb"	"on"	"full"	"feed"	"earlier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"∅"	"milligram"	"∅"	"of"	"∅_∅"	"∅_milligram"	"milligram_of"	"∅_∅_∅"	"∅_∅_milligram"	"∅_milligram_of"	"milligram_of_diethylstilbestrol"	"ε"	"ε"	"ε"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"diethylstilbestrol"	"per"	"head"	"daily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"with"	"gram"	"cattle"	"per"	"cattle_with"	"with_gram"	"gram_per"	"treat_cattle_with"	"cattle_with_gram"	"with_gram_per"	"gram_per_100"	"VB"	"NN"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"treat"	"with"	"gram"	"per"	"pound"	"body_weight"	"with"	"a"	"maximum"	"of"	"gram"	"per"	"animal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"between"	"and"	"scale"	"90"	"scale_between"	"between_and"	"and_90"	"temperature_scale_between"	"scale_between_and"	"between_and_90"	"and_90_*"	"NN"	"NN"	"IN"	"JJ"	"CC"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"march"	"representative"	"of"	"the"	"national"	"laboratory"	"of"	"australia"	"canada"	"the_netherlands"	"united_kingdom"	"location"	"united_states"	"and"	"location"	"meet"	"at"	"the"	"group"	"devise"	"means"	"for"	"reach"	"international"	"agreement"	"on"	"a"	"temperature"	"scale"	"between"	"and"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"september"	","	"of"	"1895"	"of_september"	"september_,"	",_1895"	"morning_of_september"	"of_september_,"	"september_,_1895"	",_1895_,"	"NN"	"IN"	"NN"	"JJ"	"ε"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"of"	"september"	"person"	"and"	"person"	"rise"	"at"	"dawn"	"and"	"begin"	"their"	"day"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"for"	"day"	"stay"	","	"stay_for"	"for_day"	"day_,"	"he_stay_for"	"stay_for_day"	"for_day_,"	"day_,_he"	"PRP"	"VB"	"IN"	"JJ"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"location"	"ttingen"	"where"	"he"	"for"	"day"	"he"	"write"	"the"	"first"	"question"	"ask"	"everywhere"	"be"	"about"	"galvanism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
