"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:42:01::"	"feat"	"upon"	"his"	"the_sublime"	"his_feat"	"feat_upon"	"upon_the_sublime"	",_his_feat"	"his_feat_upon"	"feat_upon_the_sublime"	"upon_the_sublime_."	"ε"	"PRP$"	"NN"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"mickey_charles_mantle"	"the"	"new_york"	"yankees"	"man"	"of"	"muscle"	"drive"	"a"	"home_run"	"into"	"the"	"bleachers"	"his"	"feat"	"touch"	"upon"	"the_sublime"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"needle"	"his"	"the"	"arm"	"the_needle"	"needle_his"	"his_arm"	"notice_the_needle"	"the_needle_his"	"needle_his_arm"	"his_arm_."	"VB"	"DT"	"NN"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mercer"	"never"	"the"	"needle"	"touch"	"his"	"arm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"barton"	"carl_dill"	"then"	"'s"	"then_barton"	"barton_carl_dill"	"carl_dill_'s"	"∅_then_barton"	"then_barton_carl_dill"	"barton_carl_dill_'s"	"carl_dill_'s_arm"	"ε"	"RB"	"NNP"	"VB"	"NNP"	"POS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"barton"	"touch"	"carl_dill"	"arm"	"and"	"move"	"off"	"up"	"the"	"river"	"bank"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"lock"	"guard"	","	"guard_to"	"to_lock"	"lock_,"	"or_guard_to"	"guard_to_lock"	"to_lock_,"	"lock_,_key"	"CC"	"NN"	"TO"	"VB"	"NN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"warden"	"guard"	"to"	"touch"	"lock"	"key"	"or"	"doorknob"	"except"	"when"	"accompany"	"by"	"a"	"prisoners"	"committee"	"with"	"powers"	"of"	"veto"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"have"	"her"	"must"	"deeply"	"must_have"	"have_her"	"her_deeply"	"voice_must_have"	"must_have_her"	"have_her_deeply"	"her_deeply_because"	"NN"	"MD"	"VB"	"VB"	"PRP$"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"something"	"in"	"voice"	"must"	"have"	"touch"	"her"	"deeply"	"because"	"her"	"anger"	"pass"	"quickly"	"and"	"she"	"turn_away"	"to"	"keep"	"me"	"from"	"see"	"her"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:04::"	","	"the"	"it"	"little"	"it_,"	",_the"	"the_little"	"into_it_,"	"it_,_the"	",_the_little"	"the_little_pyre"	"IN"	"PRP"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reach"	"for"	"an"	"old"	"clay"	"pot"	"relic"	"of"	"pioneer"	"days"	"he"	"tear"	"the"	"envelope"	"in"	"drop"	"them"	"into"	"it"	"touch"	"the"	"little"	"pyre"	"to"	"flame"	"watch"	"it"	"curl"	"the"	"red"	"sealing_wax"	"melt"	"and"	"bubble"	"in"	"the"	"feathery"	"ash"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"have"	"."	"might"	"∅"	"might_have"	"have_."	"._∅"	"he_might_have"	"might_have_."	"have_._∅"	"._∅_∅"	"PRP"	"MD"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"he"	"close"	"the"	"suitcase"	"he"	"find"	"a"	"rag"	"and"	"move"	"the"	"room"	"wipe"	"carefully"	"everything"	"he"	"might"	"have"	"touch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"person"	"authentic"	"where"	"southern"	"where_person"	"person_authentic"	"authentic_southern"	"point_where_person"	"where_person_authentic"	"person_authentic_southern"	"authentic_southern_material"	"NN"	"WRB"	"NNP"	"VB"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"early"	"humorist"	"already"	"mention"	"person"	"can"	"use"	"to"	"illustrate"	"another"	"point"	"where"	"person"	"touch"	"authentic"	"southern"	"material"	"and"	"also"	"earlier"	"literary"	"treatment"	"of"	"those"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"a"	"try"	"part"	"try_to"	"to_a"	"a_part"	",_try_to"	"try_to_a"	"to_a_part"	"a_part_of"	"ε"	"VB"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"your"	"people"	"still"	"alive"	"he"	"try"	"to"	"touch"	"a"	"part"	"of"	"her"	"life"	"person"	"had"	"n't"	"discuss"	"so"	"he"	"could"	"have"	"something"	"of"	"her"	"for"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"person"	"reach_out"	"'s"	"reach_out_and"	"and_person"	"person_'s"	"she_reach_out_and"	"reach_out_and_person"	"and_person_'s"	"person_'s_hand"	"PRP"	"VB"	"CC"	"VB"	"NNP"	"POS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"girl"	"eye"	"were"	"softly"	"as"	"she"	"reach_out"	"and"	"touch"	"person"	"hand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"hand"	"the"	"own"	"object"	"own_hand"	"hand_the"	"the_object"	"his_own_hand"	"own_hand_the"	"hand_the_object"	"the_object_on"	"PRP$"	"JJ"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"stand"	"in"	"the"	"shelter"	"of"	"the"	"tent"	"a"	"rejected"	"hospital"	"tent"	"on"	"which"	"the"	"rain"	"drip"	"no_longer"	"drum"	"person"	"watch"	"own"	"hand"	"touch"	"the"	"object"	"on"	"the"	"improvised"	"counter"	"of"	"board"	"lay"	"across"	"two"	"beef"	"barrel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
