"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"1:27:01::"	"dirt"	"and"	"the"	"dried"	"the_dirt"	"dirt_and"	"and_dried"	"loosen_the_dirt"	"the_dirt_and"	"dirt_and_dried"	"and_dried_matter"	"VB"	"DT"	"NN"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"washing"	"process"	"whereby"	"soil"	"are"	"remove"	"consist"	"of"	"apply"	"mechanical"	"action"	"to"	"loosen"	"the"	"dirt"	"particle"	"and"	"dried"	"matter"	"in"	"the"	"presence"	"of"	"water"	"which"	"help"	"to"	"float"	"off"	"the"	"debris"	"and"	"act_as"	"to"	"some"	"extent"	"as"	"a"	"dissolving_agent"	"and"	"solvating_agent"	"agent"	
"1:27:01::"	"the"	"of"	"on"	"free"	"on_the"	"the_of"	"of_free"	"action_on_the"	"on_the_of"	"the_of_free"	"of_free_soil"	"NN"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"the"	"crude"	"picture"	"of"	"the"	"detergency"	"process"	"thus_far"	"develop"	"can"	"be"	"represent"	"as"	"f"	"influence"	"of"	"mechanical"	"action"	"the"	"particle"	"of"	"free"	"soil"	"may"	"be"	"compare"	"to"	"that"	"of"	"kinetic_energy"	"on"	"a"	"molecular"	"scale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:01::"	"isotropic"	"about"	"nearly"	"0.3"	"nearly_isotropic"	"isotropic_about"	"about_0.3"	"of_nearly_isotropic"	"nearly_isotropic_about"	"isotropic_about_0.3"	"about_0.3_lm"	"VB"	"RB"	"JJ"	"NN"	"IN"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"electron_microscopic"	"examination"	"of"	"the"	"sample"	"show"	"to"	"be"	"composed"	"of"	"nearly"	"isotropic"	"particle"	"about"	"lm"	"in"	"diameter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:01::"	"infectious"	"have"	"of"	"been"	"of_infectious"	"infectious_have"	"have_been"	"physical_property_of_infectious"	"of_infectious_have"	"infectious_have_been"	"have_been_study"	"NN"	"IN"	"JJ"	"NN"	"VBP"	"VBN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"biological"	"physical_property"	"of"	"infectious"	"particle"	"have"	"been"	"study"	"intensively"	"during"	"the"	"past"	"fifteen"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:01::"	"of"	"size"	"importance"	"in"	"importance_of"	"of_size"	"size_in"	"the_importance_of"	"importance_of_size"	"of_size_in"	"size_in_such"	"DT"	"NN"	"IN"	"NN"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"particle"	"size"	"in"	"such"	"aerosol"	"has"	"be"	"thoroughly"	"demonstrate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:01::"	"small"	","	"of"	"in_addition_to"	"of_small"	"small_,"	",_in_addition_to"	"property_of_small"	"of_small_,"	"small_,_in_addition_to"	",_in_addition_to_those"	"NN"	"IN"	"JJ"	"NN"	"ε"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"certain"	"of"	"small"	"particle"	"in_addition_to"	"those"	"already"	"mention"	"in_connection_with"	"penetration"	"of"	"the"	"respiratory_tract"	"be"	"noteworthy"	"in"	"defense"	"consideration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:01::"	"small"	"can"	"of"	"be"	"of_small"	"small_can"	"can_be"	"cloud_of_small"	"of_small_can"	"small_can_be"	"can_be_illustrate"	"NN"	"IN"	"JJ"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"something"	"of"	"the"	"of"	"cloud"	"of"	"small"	"particle"	"can"	"be"	"illustrate"	"by"	"the"	"following"	"field_trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"of"	"by"	"motion"	"the"	"motion_of"	"of_by"	"by_the"	"orbital_motion_of"	"motion_of_by"	"of_by_the"	"by_the_relativistic"	"JJ"	"NN"	"IN"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"person"	"effect"	"person"	"person"	"and"	"person"	"which"	"be"	"a"	"retardation"	"of"	"the"	"orbital"	"motion"	"particle"	"by"	"the"	"relativistic"	"aberration"	"of"	"the"	"repulsive_force"	"of"	"the"	"impinging"	"solar_radiation"	"cause"	"the"	"dust"	"to"	"spiral"	"into"	"the"	"sun"	"in"	"time"	"much"	"short"	"than"	"the"	"age"	"of"	"the"	"earth"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"the"	"move"	"as"	"toward"	"as_the"	"the_move"	"move_toward"	"orbit_as_the"	"as_the_move"	"the_move_toward"	"move_toward_the"	"NN"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"effect"	"cause"	"the"	"semi"	"major_axis"	"of"	"orbit"	"to"	"diminish"	"more"	"rapidly"	"than"	"the"	"semiminor_axis"	"with"	"a"	"consequent"	"tendency"	"toward"	"circular"	"orbit"	"as"	"move"	"toward"	"the"	"sun"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"for"	"of"	"f"	"mass"	"f_for"	"for_of"	"of_mass"	"*_f_for"	"f_for_of"	"for_of_mass"	"of_mass_great"	"ε"	"NN"	"IN"	"NN"	"IN"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"impact"	"rate"	"on"	"alpha"	"for"	"be"	"f"	"for"	"particle"	"of"	"mass"	"great"	"than"	"f"	"person"	"this"	"mass"	"threshold"	"was"	"derive"	"from"	"the"	"detector"	"calibration"	"and"	"an"	"assumed"	"impact"	"velocity"	"of"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
