"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"1:14:00::"	"technical"	","	","	"invention"	",_technical"	"technical_,"	",_invention"	"process_,_technical"	",_technical_,"	"technical_,_invention"	",_invention_,"	"NN"	"ε"	"JJ"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"acquire"	"secret"	"technical"	"data"	"invention"	"patent"	"application"	"patent"	"license"	"land"	"and"	"interest"	"in"	"land"	"include"	"water_right"	"plant"	"and"	"facility"	"and"	"property"	"or"	"right"	"by"	"purchase"	"license"	"lease"	"or"	"donation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"bibliographical"	"with_respect_to"	"issue"	";"	"issue_bibliographical"	"bibliographical_with_respect_to"	"with_respect_to_;"	"and_issue_bibliographical"	"issue_bibliographical_with_respect_to"	"bibliographical_with_respect_to_;"	"with_respect_to_;_∅"	"CC"	"VB"	"JJ"	"NN"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assemble"	"and"	"maintain"	"pertinent"	"and"	"current"	"scientific"	"literature"	"domestic"	"and"	"foreign"	"and"	"issue"	"bibliographical"	"data"	"with_respect_to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"verify"	"be"	"scientifically"	"quite"	"scientifically_verify"	"verify_be"	"be_quite"	",_scientifically_verify"	"scientifically_verify_be"	"verify_be_quite"	"be_quite_readily"	"ε"	"RB"	"VB"	"NN"	"VB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"field"	"of"	"natural_science"	"scientifically"	"verify"	"data"	"be"	"quite"	"readily"	"available"	"and"	"any"	"discussion"	"can"	"be"	"shorten"	"with"	"good"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"pressure"	"to"	"internal"	"external"	"internal_pressure"	"pressure_to"	"to_external"	"radio_internal_pressure"	"internal_pressure_to"	"pressure_to_external"	"to_external_receiver"	"VB"	"JJ"	"NN"	"NN"	"TO"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"year"	"ago"	"headline"	"were"	"make"	"by"	"a"	"small"	"radio_transmitter"	"capsule"	"which"	"be"	"swallow"	"by"	"the"	"patient"	"and"	"which"	"would"	"then"	"radio"	"internal"	"pressure"	"data"	"to"	"external"	"receiver"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"center"	","	"was"	",_a"	"a_center"	"center_was"	"group_,_a"	",_a_center"	"a_center_was"	"center_was_establish"	"NNP"	"ε"	"DT"	"NN"	"NN"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"under"	"the"	"sponsorship"	"of"	"the"	"and"	"the"	"group"	"a"	"data"	"center"	"was"	"establish"	"to"	"gather"	"and"	"index"	"all"	"published"	"information"	"on"	"atomic"	"transition"	"probability"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"language"	"on"	"i-e"	"which"	"i-e_language"	"language_on"	"on_which"	"the_i-e_language"	"i-e_language_on"	"language_on_which"	"on_which_person"	"DT"	"NNP"	"NN"	"NN"	"RB"	"RB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"publish"	"basic"	"vocabulary"	"in"	"some"	"mon-khmer"	"language"	"al"	"no."	"pp."	"which"	"compare"	"mon-khmer"	"language"	"with"	"the"	"i-e"	"language"	"data"	"which"	"person"	"base"	"the"	"revised"	"retention"	"rate"	"f"	"in_place_of"	"original"	"f"	"and"	"his"	"revised"	"word"	"basic"	"glottochronological"	"list"	"in"	"towards_greater_accuracy"	"ijal_21_:_121_-_137"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"when"	"of"	"compulsivity"	"of_the"	"the_when"	"when_compulsivity"	"analysis_of_the"	"of_the_when"	"the_when_compulsivity"	"when_compulsivity_is"	"NN"	"IN"	"DT"	"NN"	"WRB"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"table"	"and"	"present"	"the"	"result"	"of"	"statistical"	"analysis"	"of"	"the"	"data"	"when"	"compulsivity"	"is"	"use"	"as"	"the"	"descriptive"	"variable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"sorption"	"which"	"equilibrium"	"be"	"equilibrium_sorption"	"sorption_which"	"which_be"	"the_equilibrium_sorption"	"equilibrium_sorption_which"	"sorption_which_be"	"which_be_available"	"DT"	"NN"	"NN"	"NN"	"WDT"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"equilibrium"	"sorption"	"data"	"which"	"be"	"available"	"it"	"seem"	"logical"	"to"	"expect"	"that"	"polyphosphate"	"ion"	"would"	"be"	"strongly"	"sorb"	"on"	"the"	"surface"	"of"	"the"	"dirt"	"especially"	"clay"	"soil"	"so"	"as"	"to"	"give"	"it"	"a"	"greatly"	"increased"	"negative_charge"	
"1:14:00::"	"the"	"in"	"by"	"table"	"by_the"	"the_in"	"in_table"	"provide_by_the"	"by_the_in"	"the_in_table"	"in_table_1"	"VB"	"IN"	"DT"	"NN"	"IN"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"state"	"earlier"	"that"	"one"	"purpose"	"of"	"this"	"study"	"be"	"to"	"extend"	"the"	"analysis"	"of"	"variability"	"of"	"onset"	"and"	"completion"	"in"	"each"	"of"	"growth"	"center"	"somewhat"	"beyond"	"provide"	"by"	"the"	"data"	"in"	"table"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"for"	"that"	"all"	"that_the"	"the_for"	"for_all"	"so_that_the"	"that_the_for"	"the_for_all"	"for_all_34"	"RB"	"RB"	"DT"	"NN"	"IN"	"DT"	"CD"	"attempt"	"to"	"simplify"	"the"	"extensive"	"task"	"of"	"analyze"	"onset"	"age"	"and"	"completion"	"age"	"of"	"each"	"child"	"more_than"	"value"	"for"	"the"	"entire"	"group"	"by"	"construct"	"figure"	"for"	"each"	"of"	"the"	"center"	"so"	"that"	"the"	"for"	"all"	"boy"	"and"	"of"	"the"	"girl"	"will"	"appear"	"together"	"for"	"each"	"growth"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
