"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"3:01:00::"	"of"	"education"	"program"	"begin"	"program_of"	"of_education"	"education_begin"	"federal_program_of"	"program_of_education"	"of_education_begin"	"education_begin_in"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"present"	"program"	"of"	"vocational"	"education"	"begin"	"in"	"with"	"the"	"passage"	"of"	"the"	"smith-hughes_act"	"which"	"provide"	"a"	"continuing"	"annual"	"appropriation"	"of"	"million"	"to"	"support"	"on"	"a"	"match"	"basis"	"state"	"administer"	"program"	"of"	"vocational"	"education"	"in"	"agriculture"	"trade"	"industrial"	"skill"	"and"	"home_economics"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"education"	"program"	"in"	"program_of"	"of_education"	"education_in"	"administer_program_of"	"program_of_education"	"of_education_in"	"education_in_agriculture"	"VB"	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"federal"	"program"	"of"	"vocational"	"education"	"begin"	"in"	"with"	"the"	"passage"	"of"	"the"	"smith-hughes_act"	"which"	"provide"	"a"	"continuing"	"annual"	"appropriation"	"of"	"million"	"to"	"support"	"on"	"a"	"match"	"basis"	"state"	"administer"	"program"	"of"	"education"	"in"	"agriculture"	"trade"	"industrial"	"skill"	"and"	"home_economics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"education"	"program"	"merely"	"program_of"	"of_education"	"education_merely"	"federal_program_of"	"program_of_education"	"of_education_merely"	"education_merely_provide"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"program"	"of"	"vocational"	"education"	"merely"	"provide"	"financial_aid"	"to"	"encourage"	"the"	"establishment"	"of"	"vocational"	"education"	"program"	"in"	"public"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"education"	"establishment"	"program"	"establishment_of"	"of_education"	"education_program"	"the_establishment_of"	"establishment_of_education"	"of_education_program"	"education_program_in"	"DT"	"NN"	"IN"	"JJ"	"NN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"federal"	"program"	"of"	"vocational"	"education"	"provide"	"financial_aid"	"to"	"encourage"	"the"	"establishment"	"of"	"vocational"	"education"	"program"	"in"	"public"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"private"	"education"	"for"	"training"	"for_private"	"private_education"	"education_training"	"expenditure_for_private"	"for_private_education"	"private_education_training"	"education_training_."	"NN"	"IN"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"comparable"	"measure"	"be"	"available"	"enrollment"	"and"	"expenditure"	"for"	"private"	"vocational"	"education"	"training"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"from"	"education"	"benefit"	"."	"benefit_from"	"from_education"	"education_."	"student_benefit_from"	"benefit_from_education"	"from_education_."	"education_._∅"	"NN"	"VB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"little"	"doubt"	"the"	"student"	"benefit"	"from"	"vocational"	"education"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"public_school"	"training_program"	"a"	"in"	"a_public_school"	"public_school_training_program"	"training_program_in"	"of_a_public_school"	"a_public_school_training_program"	"public_school_training_program_in"	"training_program_in_trade"	"IN"	"DT"	"NN"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"existence"	"a"	"public_school"	"vocational"	"training_program"	"in"	"trade"	"and"	"industry"	"provide"	"a"	"base"	"from"	"which"	"such"	"need"	"can"	"be"	"fill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"existing"	"education"	"their"	"program"	"their_existing"	"existing_education"	"education_program"	"of_their_existing"	"their_existing_education"	"existing_education_program"	"education_program_or"	"IN"	"PRP$"	"JJ"	"JJ"	"NN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"few"	"state"	"make"	"use"	"of"	"their"	"existing"	"vocational"	"education"	"program"	"or"	"funds"	"for"	"the"	"purpose"	"of"	"attract"	"new"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"training_program"	"weakness"	"in"	"weakness_of"	"of_training_program"	"training_program_in"	"major_weakness_of"	"weakness_of_training_program"	"of_training_program_in"	"training_program_in_labor"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"weakness"	"of"	"vocational"	"training_program"	"in"	"labor"	"surplus"	"area"	"be"	"their"	"focus"	"on"	"serve"	"solely"	"local"	"job"	"demand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"education"	"planning"	"program"	"planning_of"	"of_education"	"education_program"	"∅_planning_of"	"planning_of_education"	"of_education_program"	"education_program_and"	"ε"	"NN"	"IN"	"JJ"	"NN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"vocational"	"education"	"program"	"and"	"course"	"is"	"orient"	"to"	"local"	"employer"	"need"	"for"	"trained_worker"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
