"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"	"A154"	"A155"	"A156"	"A157"	"A158"	"A159"	"A160"	"A161"	"A162"	"A163"	"A164"	"A165"	"A166"	"A167"	"A168"
"1:06:00::"	"metal"	"or"	"corrugated"	"precast"	"corrugated_metal"	"metal_or"	"or_precast"	"shaped_corrugated_metal"	"corrugated_metal_or"	"metal_or_precast"	"or_precast_concrete"	"JJ"	"JJ"	"JJ"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pre"	"corrugated"	"metal"	"section"	"or"	"precast"	"concrete"	"can"	"be"	"use"	"for"	"shelter"	"either"	"above"	"or"	"below"	"ground"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	","	"1001"	"code"	","	"code_,"	",_1001"	"1001_,"	"united_states_code_,"	"code_,_1001"	",_1001_,"	"1001_,_any"	"NN"	"NN"	"ε"	"NN"	"CD"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"to"	"the"	"penalty"	"provide"	"title"	"united_states"	"code"	"section"	"any"	"person"	"guilty"	"of"	"any"	"act"	"as"	"provide"	"therein"	"with_respect_to"	"any"	"matter"	"under"	"this"	"title"	"shall"	"forfeit"	"all"	"right"	"under"	"this"	"title"	"and"	"if"	"payment"	"shall"	"have"	"been"	"make"	"or"	"grant"	"the"	"commission"	"shall"	"take"	"such"	"action"	"as"	"may"	"be"	"necessary"	"to"	"recover"	"the"	"same"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"by"	"8"	"prescribe"	"of_this"	"prescribe_by"	"by_8"	"8_of_this"	"as_prescribe_by"	"prescribe_by_8"	"by_8_of_this"	"8_of_this_title"	"IN"	"VB"	"IN"	"NN"	"JJ"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"subject"	"to"	"the"	"limitation"	"hereinafter"	"provide"	"the"	"secretary_of_the_treasury"	"is"	"and"	"direct"	"to"	"pay"	"as"	"prescribe"	"by"	"section"	"of_this"	"title"	"an"	"amount"	"not"	"exceed"	"the"	"principal"	"of"	"each"	"award"	"plus"	"accrue"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	"certified"	"pursuant"	"to"	"section"	"of_this"	"title"	"in"	"accordance"	"with"	"the"	"award"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"to"	"5"	"pursuant"	"of_this"	"pursuant_to"	"to_5"	"5_of_this"	"certified_pursuant_to"	"pursuant_to_5"	"to_5_of_this"	"5_of_this_title"	"JJ"	"JJ"	"JJ"	"NN"	"JJ"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"subject"	"to"	"the"	"limitation"	"hereinafter"	"provide"	"the"	"secretary_of_the_treasury"	"is"	"authorize"	"and"	"direct"	"to"	"pay"	"as"	"prescribe"	"by"	"section"	"of_this"	"title"	"an"	"amount"	"not"	"the"	"principal"	"of"	"each"	"award"	"plus"	"accrue"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	"certified"	"pursuant"	"to"	"section"	"of_this"	"title"	"in"	"accordance"	"with"	"the"	"award"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of"	"8"	")"	","	")_of"	"of_8"	"8_,"	"c_)_of"	")_of_8"	"of_8_,"	"8_,_as"	"NN"	"ε"	"IN"	"NN"	"JJ"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"shall"	"be"	"deducted"	"from"	"the"	"amount"	"of"	"payment"	"make"	"pursuant"	"to"	"subsection"	"c"	"of"	"section"	"as"	"reimbursement"	"for"	"the"	"expense"	"incur"	"by"	"the"	"united_states"	"an"	"amount"	"equal"	"to"	"per_centum"	"of"	"such"	"payment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of"	"4"	")"	"of_this"	")_of"	"of_4"	"4_of_this"	"a_)_of"	")_of_4"	"of_4_of_this"	"4_of_this_title"	"DT"	"ε"	"IN"	"NN"	"JJ"	"RB"	"NN"	"hereby"	"create"	"in"	"the"	"treasury"	"of"	"the"	"united_states"	"a"	"special"	"fund"	"to"	"be"	"known"	"as"	"the"	"yugoslav_claims_fund"	"and"	"such"	"special"	"fund"	"as"	"may"	"in"	"the"	"discretion"	"of"	"the"	"secretary_of_the_treasury"	"be"	"required"	"each"	"to"	"be"	"a"	"claim"	"fund"	"to"	"be"	"known"	"by"	"the"	"name"	"of"	"the"	"foreign"	"government"	"which"	"has"	"enter"	"into"	"a"	"settlement"	"agreement"	"with"	"the"	"government"	"of"	"the"	"united_states"	"as"	"describe"	"in"	"subsection"	"a"	"of"	"section"	"of_this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of_this"	"any"	")"	"amount"	")_of_this"	"of_this_any"	"any_amount"	"a_)_of_this"	")_of_this_any"	"of_this_any_amount"	"any_amount_hereafter"	"DT"	"ε"	"RB"	"NN"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"special"	"fund"	"create"	"for"	"that"	"pursuant"	"to"	"subsection"	"a"	"of_this"	"section"	"any"	"amount"	"hereafter"	"pay"	"in"	"united_states_dollar"	"by"	"a"	"foreign"	"government"	"which"	"has"	"enter"	"into"	"a"	"claim"	"settlement"	"agreement"	"with"	"the"	"government"	"of"	"the"	"united_states"	"as"	"describe"	"in"	"subsection"	"a"	"of"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of"	"4"	")"	"of_this"	")_of"	"of_4"	"4_of_this"	"a_)_of"	")_of_4"	"of_4_of_this"	"4_of_this_title"	"DT"	"ε"	"IN"	"NN"	"JJ"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"special"	"fund"	"create"	"for"	"that"	"purpose"	"pursuant"	"to"	"subsection"	"a"	"of_this"	"section"	"any"	"amount"	"hereafter"	"pay"	"in"	"united_states_dollar"	"by"	"a"	"foreign"	"government"	"which"	"enter"	"into"	"a"	"claim"	"settlement"	"agreement"	"with"	"the"	"government"	"of"	"the"	"united_states"	"as"	"describe"	"in"	"subsection"	"a"	"of"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of_this"	","	")"	"and"	")_of_this"	"of_this_,"	",_and"	"b_)_of_this"	")_of_this_,"	"of_this_,_and"	",_and_after"	"NN"	"ε"	"RB"	"NN"	"ε"	"CC"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"secretary_of_the_treasury"	"is"	"authorize"	"and"	"direct"	"out"	"of"	"the"	"sum"	"cover"	"any"	"of"	"the"	"fund"	"pursuant"	"to"	"subsection"	"b"	"of_this"	"section"	"and"	"after"	"make"	"the"	"deduction"	"provide_for"	"in"	"section"	"b"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"in"	"7"	"provide_for"	"("	"provide_for_in"	"in_7"	"7_("	"deduction_provide_for_in"	"provide_for_in_7"	"in_7_("	"7_(_b"	"NN"	"VB"	"IN"	"NN"	"JJ"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"secretary_of_the_treasury"	"is"	"authorize"	"and"	"direct"	"out"	"of"	"the"	"sum"	"cover"	"into"	"any"	"of"	"the"	"pursuant"	"to"	"subsection"	"b"	"of_this"	"section"	"and"	"after"	"make"	"the"	"deduction"	"provide_for"	"in"	"section"	"b"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
