"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"1:26:00::"	"investigative"	","	"the"	"she"	"the_investigative"	"investigative_,"	",_she"	"upon_the_investigative"	"the_investigative_,"	"investigative_,_she"	",_she_mutter"	"IN"	"DT"	"JJ"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"another"	"phase"	"in"	"the"	"therapy"	"when"	"a"	"pathogenic"	"introject"	"begin"	"to"	"emerge"	"more_and_more"	"upon"	"the"	"investigative"	"scene"	"she"	"mutter"	"in"	"a"	"low"	"but"	"intense"	"voice"	"to"	"herself"	"i"	"hate"	"that"	"woman"	"inside"	"me"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"little"	"which"	"domestic"	"be"	"domestic_little"	"little_which"	"which_be"	"a_domestic_little"	"domestic_little_which"	"little_which_be"	"which_be_far"	"DT"	"JJ"	"JJ"	"NN"	"WDT"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"start"	"back"	"for"	"the"	"house"	"see"	"a"	"light"	"in"	"office"	"open"	"the"	"door"	"and"	"surprise"	"a"	"domestic"	"little"	"scene"	"which"	"be"	"far"	"outside"	"the"	"dark"	"realm"	"of"	"murder"	"or"	"attempted"	"murder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"before"	"in"	"him"	"in_the"	"the_before"	"before_him"	"find_in_the"	"in_the_before"	"the_before_him"	"before_him_."	"VB"	"IN"	"DT"	"NN"	"IN"	"PRP"	"ε"	"thoroughly"	"convinced"	"that"	"most"	"watercolor"	"suffer"	"because"	"the"	"artist"	"expect"	"nature"	"will"	"do"	"his"	"composing"	"for"	"him"	"as"	"a"	"result"	"such"	"picture"	"be"	"only"	"a"	"literal"	"translation"	"of"	"what"	"the"	"artist"	"find"	"in"	"the"	"before"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"the"	"in"	"recreate"	"which"	"recreate_the"	"the_in"	"in_which"	",_recreate_the"	"recreate_the_in"	"the_in_which"	"in_which_person"	"ε"	"VB"	"DT"	"NN"	"RB"	"RB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"his"	"inner"	"thought"	"cringe"	"at"	"it"	"force"	"himself"	"to"	"think_back"	"recreate"	"the"	"scene"	"in"	"which"	"person"	"claim"	"to"	"have"	"catch"	"him"	"molest"	"the"	"child"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"second"	"flash"	"a"	"before"	"a_second"	"second_flash"	"flash_before"	"∅_a_second"	"a_second_flash"	"second_flash_before"	"flash_before_his"	"ε"	"DT"	"JJ"	"NN"	"VB"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"scene"	"flash"	"before"	"his"	"mind"	"the"	"interior"	"of"	"the"	"garage"	"at"	"the"	"new"	"house"	"and"	"the"	"young"	"person"	"girl"	"turn"	"startled"	"to"	"meet"	"him"	"the"	"dim"	"dark"	"and"	"the"	"sudden"	"confusion"	"and"	"fear"	"and"	"then"	"the"	"brightness"	"as"	"person"	"had"	"click"	"on"	"the"	"light"	
"1:11:00::"	"the"	","	"examine"	"there"	"examine_the"	"the_,"	",_there"	"to_examine_the"	"examine_the_,"	"the_,_there"	",_there_was"	"VB"	"VB"	"DT"	"NN"	"ε"	"EX"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"when"	"he"	"to"	"examine"	"the"	"scene"	"there"	"was"	"a"	"certain"	"staginess"	"to"	"it"	"it"	"have"	"the"	"smell"	"of"	"planning"	"and"	"a"	"swift"	"suspicion"	"dart"	"into"	"his"	"mind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"shifting"	"of"	"the"	"many"	"the_shifting"	"shifting_of"	"of_many"	"to_the_shifting"	"the_shifting_of"	"shifting_of_many"	"of_many_culture"	"TO"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"stravinsky"	"shape"	"purpose"	"to"	"the"	"shifting"	"scene"	"of"	"many"	"culture"	"many"	"salon"	"many"	"dialectic"	"many"	"personality"	"he"	"try"	"to"	"refashion"	"himself"	"into"	"a"	"stylist"	"of"	"many"	"style"	"determine"	"by"	"many"	"disparate"	"culture"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"farm"	"-"	"a"	"the"	"a_farm"	"farm_-"	"-_the"	"on_a_farm"	"a_farm_-"	"farm_-_the"	"-_the_location"	"IN"	"DT"	"NN"	"NN"	"ε"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"a"	"busy"	"overture"	"the"	"curtain"	"on"	"a"	"farm"	"scene"	"the"	"location"	"in"	"northern"	"maine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"mad"	"in"	"own"	"salvo"	"own_mad"	"mad_in"	"in_salvo"	"its_own_mad"	"own_mad_in"	"mad_in_salvo"	"in_salvo_of"	"PRP$"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"crowd"	"its"	"own"	"mad"	"scene"	"in"	"salvo"	"of"	"cheer"	"and"	"applause"	"and"	"finally"	"a"	"standing_ovation"	"as"	"person"	"take"	"curtain_call"	"after"	"curtain_call"	"following"	"a"	"fantastic"	"mad_scene"	"create"	"on_her_own"	"and"	"with"	"the"	"help"	"of"	"the"	"composer"	"and"	"the"	"performer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"big"	"about"	"a"	"person"	"a_big"	"big_about"	"about_person"	"make_a_big"	"a_big_about"	"big_about_person"	"about_person_try"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"afterwards"	"i"	"learn"	"that"	"person"	"had"	"call"	"on"	"the"	"telephone"	"and"	"make"	"a"	"big"	"scene"	"about"	"person"	"try"	"to"	"take_away"	"her"	"husband"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
