"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:35:01::"	"shayne"	"a"	"and"	"twenty-dollar"	"and_shayne"	"shayne_a"	"a_twenty-dollar"	"drink_and_shayne"	"and_shayne_a"	"shayne_a_twenty-dollar"	"a_twenty-dollar_bill"	"NN"	"CC"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"bartender"	"bring"	"drink"	"and"	"shayne"	"lay"	"a"	"twenty-dollar"	"bill"	"on"	"the"	"bar"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"and"	"the_matter"	"''"	"before"	"''_and"	"and_the_matter"	"the_matter_before"	"service_''_and"	"''_and_the_matter"	"and_the_matter_before"	"the_matter_before_the"	"NN"	"ε"	"CC"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"after"	"several"	"correspondents"	"go_into"	"pathet_lao"	"territory"	"and"	"expose"	"the"	"huge"	"build-up"	"administration"	"spokesmen"	"them"	"for"	"perform"	"a"	"great"	"service"	"and"	"lay"	"the_matter"	"before"	"the"	"southeast_asia_treaty_organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"then"	"on"	","	"a"	",_then"	"then_on"	"on_a"	"bay_leaf_,_then"	",_then_on"	"then_on_a"	"on_a_cover"	"NN"	"ε"	"RB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"set"	"the"	"apples"	"in"	"the"	"pastry-lined"	"tin"	"spread"	"over"	"them"	"three"	"tablespoonfuls"	"of"	"softened"	"butter"	"with"	"as"	"much"	"brown_sugar"	"a"	"sprinkling"	"nutmeg"	"and"	"a"	"fresh"	"bay_leaf"	"lay"	"on"	"a"	"cover"	"of"	"pastry"	"and"	"gild"	"it"	"with"	"beaten"	"yolk"	"of"	"egg"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"now"	"12"	"∅"	"pieces"	"∅_now"	"now_12"	"12_pieces"	"∅_∅_now"	"∅_now_12"	"now_12_pieces"	"12_pieces_of"	"ε"	"ε"	"RB"	"VB"	"CD"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lay"	"pieces"	"of"	"f"	"cut"	"long"	"side_by_side"	"but"	"separate"	"pieces"	"of"	"the"	"same"	"material"	"sq."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"the"	"power"	"groundwork"	"power_and"	"and_the"	"the_groundwork"	"his_power_and"	"power_and_the"	"and_the_groundwork"	"the_groundwork_for"	"PRP$"	"NN"	"CC"	"VB"	"VB"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"congress"	"will"	"see"	"consolidate"	"his"	"power"	"and"	"lay"	"the"	"groundwork"	"for"	"an"	"orderly"	"succession"	"should"	"death"	"or"	"illness"	"remove"	"him"	"from"	"the"	"scene"	"in"	"the"	"next"	"few"	"years"	
"2:35:01::"	"i"	"a"	"∅"	"tenspot"	"∅_i"	"i_a"	"a_tenspot"	"∅_∅_i"	"∅_i_a"	"i_a_tenspot"	"a_tenspot_on"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lay"	"a"	"tenspot"	"on"	"the"	"bar"	"and"	"motion"	"to"	"the"	"bartender"	"to"	"serve"	"a"	"round"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"and"	"a"	"horse"	"hand"	"horse_and"	"and_a"	"a_hand"	"the_horse_and"	"horse_and_a"	"and_a_hand"	"a_hand_on"	"DT"	"NN"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"approach"	"horse"	"and"	"lay"	"a"	"hand"	"on"	"the"	"stallion"	"quivering"	"neck"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"a"	"how"	"concrete"	"how_to"	"to_a"	"a_concrete"	"show_how_to"	"how_to_a"	"to_a_concrete"	"a_concrete_block"	"VB"	"WRB"	"TO"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"illustration"	"in"	"show"	"how"	"to"	"lay"	"a"	"concrete"	"block"	"wall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"could"	"his"	"he"	"goad"	"he_could"	"could_his"	"his_goad"	"until_he_could"	"he_could_his"	"could_his_goad"	"his_goad_across"	"IN"	"PRP"	"MD"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"extend"	"his"	"stride"	"until"	"he"	"could"	"lay"	"his"	"goad"	"across"	"the"	"nose"	"of"	"the"	"oxen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"been"	"for"	"had"	"person"	"had_been"	"been_for"	"for_person"	"person_had_been"	"had_been_for"	"been_for_person"	"for_person_for"	"NNP"	"VBD"	"VBN"	"VB"	"VB"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"been"	"lay"	"for"	"person"	"for"	"a"	"long_time"	"just"	"wait"	"to"	"catch"	"him"	"out"	"of"	"line"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"responsibility"	"by"	"the"	"god"	"the_responsibility"	"responsibility_by"	"by_god"	"as_the_responsibility"	"the_responsibility_by"	"responsibility_by_god"	"by_god_on"	"IN"	"DT"	"NN"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"conference"	"endorse"	"as"	"the"	"responsibility"	"lay"	"by"	"god"	"on"	"parent"	"everywhere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"egg"	"and"	"of"	"essentially"	"of_egg"	"egg_and"	"and_essentially"	"number_of_egg"	"of_egg_and"	"egg_and_essentially"	"and_essentially_render"	"NN"	"IN"	"NN"	"VB"	"CC"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reduce"	"loss"	"from"	"stomach"	"hookworm"	"and"	"nodular"	"worm"	"by"	"interfere"	"with"	"reproduction"	"the"	"female"	"worm"	"by"	"reduce"	"the"	"number"	"of"	"egg"	"lay"	"and"	"essentially"	"render"	"all"	"lay"	"egg"	"sterile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"all"	"egg"	"render"	"sterile"	"render_all"	"all_egg"	"egg_sterile"	"essentially_render_all"	"render_all_egg"	"all_egg_sterile"	"egg_sterile_."	"RB"	"VB"	"DT"	"VB"	"NN"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reduce"	"loss"	"from"	"stomach"	"hookworm"	"and"	"nodular"	"worm"	"by"	"interfere"	"with"	"reproduction"	"of"	"the"	"female"	"worm"	"by"	"reduce"	"the"	"number"	"egg"	"lay"	"and"	"essentially"	"render"	"all"	"lay"	"egg"	"sterile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"board"	"across"	"of"	"two"	"of_board"	"board_across"	"across_two"	"counter_of_board"	"of_board_across"	"board_across_two"	"across_two_beef"	"NN"	"IN"	"NN"	"VB"	"IN"	"JJ"	"NN"	"the"	"shelter"	"of"	"the"	"tent"	"a"	"rejected"	"hospital"	"tent"	"on"	"which"	"the"	"rain"	"now"	"drip"	"no_longer"	"drum"	"person"	"watch"	"his"	"own"	"hand"	"touch"	"the"	"object"	"on"	"the"	"improvised"	"counter"	"of"	"board"	"across"	"two"	"beef"	"barrel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"had"	"steaming"	"person"	"towel"	"person_had"	"had_steaming"	"steaming_towel"	"∅_person_had"	"person_had_steaming"	"had_steaming_towel"	"steaming_towel_over"	"ε"	"NNP"	"VBD"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"lay"	"steaming"	"towel"	"over"	"the"	"kid"	"chest"	"and"	"stomach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"person"	"it"	"∅"	"in"	"∅_person"	"person_it"	"it_in"	"∅_∅_person"	"∅_person_it"	"person_it_in"	"it_in_the"	"ε"	"ε"	"NNP"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lay"	"it"	"in"	"the"	"basket"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
