"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"
"1:27:00::"	"southern"	"and"	"authentic"	"also"	"authentic_southern"	"southern_and"	"and_also"	"touch_authentic_southern"	"authentic_southern_and"	"southern_and_also"	"and_also_earlier"	"VB"	"JJ"	"JJ"	"NN"	"CC"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"early"	"humorist"	"already"	"mention"	"person"	"can"	"be"	"to"	"illustrate"	"another"	"point"	"where"	"person"	"touch"	"authentic"	"southern"	"material"	"and"	"also"	"earlier"	"literary"	"treatment"	"of"	"those"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"those"	"."	"of"	"∅"	"of_those"	"those_."	"._∅"	"treatment_of_those"	"of_those_."	"those_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"early"	"humorist"	"already"	"mention"	"person"	"can"	"be"	"use"	"to"	"illustrate"	"another"	"where"	"person"	"touch"	"authentic"	"southern"	"material"	"and"	"also"	"earlier"	"literary"	"treatment"	"of"	"those"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"the"	"for"	"∅"	"a"	"∅_the"	"the_for"	"for_a"	"∅_∅_the"	"∅_the_for"	"the_for_a"	"for_a_double"	"ε"	"ε"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"material"	"for"	"a"	"double"	"wall"	"shelter"	"would"	"cost"	"about"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"∅"	"for"	"∅"	"this"	"∅_∅"	"∅_for"	"for_this"	"∅_∅_∅"	"∅_∅_for"	"∅_for_this"	"for_this_shelter"	"ε"	"ε"	"ε"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"this"	"shelter"	"would"	"cost"	"about"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"heavy"	"."	"or"	"∅"	"or_heavy"	"heavy_."	"._∅"	",_or_heavy"	"or_heavy_."	"heavy_._∅"	"._∅_∅"	"ε"	"CC"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"there"	"be"	"time"	"after"	"the"	"warning"	"the"	"basement"	"shielding"	"could"	"be"	"improve"	"substantially"	"block"	"window"	"with"	"brick"	"dirt"	"book"	"magazine"	"or"	"heavy"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"describe"	"by"	"in"	"by_the"	"the_describe"	"describe_in"	"suggest_by_the"	"by_the_describe"	"the_describe_in"	"describe_in_person"	"VB"	"IN"	"DT"	"NN"	"VB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"second"	"explanation"	"suggest"	"by"	"the"	"material"	"describe"	"in"	"person"	"paper"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"and"	"."	"form"	"∅"	"form_and"	"and_."	"._∅"	"artistic_form_and"	"form_and_."	"and_._∅"	"._∅_∅"	"JJ"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mimetic"	"character"	"of"	"the"	"imaginative"	"consciousness"	"tend"	"express"	"itself"	"in"	"the"	"presentation"	"of"	"artistic"	"form"	"and"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:worldly:00"	"and"	"prosperity"	"peace"	";"	"peace_and"	"and_prosperity"	"prosperity_;"	"and_peace_and"	"peace_and_prosperity"	"and_prosperity_;"	"prosperity_;_and"	"CC"	"NN"	"CC"	"JJ"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"ultimate"	"objective"	"of"	"american"	"policy"	"be"	"to"	"help"	"establish"	"a"	"world"	"which"	"there"	"be"	"the"	"largest"	"measure"	"of"	"freedom"	"and"	"justice"	"and"	"peace"	"and"	"material"	"prosperity"	"and"	"in_particular"	"since"	"this"	"be"	"our"	"special"	"responsibility"	"that"	"these"	"condition"	"be"	"enjoy"	"by"	"the"	"people"	"of"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"strong"	"to"	"give"	"work_on"	"give_strong"	"strong_to"	"to_work_on"	"not_give_strong"	"give_strong_to"	"strong_to_work_on"	"to_work_on_."	"RB"	"VB"	"JJ"	"NN"	"JJ"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"they"	"would"	"produce"	"some"	"very"	"memorable"	"and"	"song"	"person"	"and"	"person"	"were"	"not"	"give"	"strong"	"material"	"to"	"work_on"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"and"	"generally"	"song"	"''"	"song_and"	"and_generally"	"generally_''"	"write_song_and"	"song_and_generally"	"and_generally_''"	"generally_''_."	"VB"	"NN"	"CC"	"NN"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"he"	"hear"	"that"	"person"	"was"	"look_for"	"singer"	"to"	"replace"	"the"	"rhythm_boys"	"person"	"apply"	"and"	"get"	"the"	"job"	"for"	"my"	"voice"	"i"	"sure"	"but"	"because"	"i"	"could"	"write"	"song"	"and"	"material"	"generally"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
