"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"
"1:04:00::"	"tonal"	"."	"successful"	"∅"	"successful_tonal"	"tonal_."	"._∅"	"of_successful_tonal"	"successful_tonal_."	"tonal_._∅"	"._∅_∅"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"be"	"a"	"sample"	"of"	"successful"	"tonal"	"analysis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"of"	"of"	"difficulty"	"different"	"difficulty_of"	"of_of"	"of_different"	"relative_difficulty_of"	"difficulty_of_of"	"of_of_different"	"of_different_phonologic"	"JJ"	"NN"	"IN"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"issue"	"that"	"must"	"be"	"be"	"the"	"relative"	"difficulty"	"of"	"analysis"	"of"	"different"	"phonologic"	"subsystem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"'s"	"of"	"person"	"sukuma"	"person_'s"	"'s_of"	"of_sukuma"	"by_person_'s"	"person_'s_of"	"'s_of_sukuma"	"of_sukuma_tone"	"IN"	"NNP"	"POS"	"NN"	"IN"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"third"	"explanation"	"suggest"	"by"	"person"	"analysis"	"of"	"sukuma"	"tone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"of"	"of"	"difficulty"	"any"	"difficulty_of"	"of_of"	"of_any"	"the_difficulty_of"	"difficulty_of_of"	"of_of_any"	"of_any_subsystem"	"DT"	"NN"	"IN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"analysis"	"of"	"any"	"subsystem"	"in"	"the"	"phonology"	"be"	"an"	"inverse_function"	"of"	"the"	"size"	"smaller"	"system"	"be"	"more"	"troublesome"	"for"	"any"	"given"	"degree"	"of"	"morphophonemic"	"complexity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"structural"	"of"	"be"	"the"	"be_structural"	"structural_of"	"of_the"	"lookup_be_structural"	"be_structural_of"	"structural_of_the"	"of_the_input"	"NN"	"VB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"stage"	"of"	"after"	"glossary"	"lookup"	"be"	"structural"	"analysis"	"of"	"the"	"input"	"text"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"her"	"."	"confirm"	"∅"	"confirm_her"	"her_."	"._∅"	"to_confirm_her"	"confirm_her_."	"her_._∅"	"._∅_∅"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"study"	"him"	"hopefully"	"yearningly"	"against"	"the"	"limitless"	"background"	"of"	"sky"	"wasteland"	"it"	"be"	"easy"	"confirm"	"her"	"analysis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"ranging"	"of"	"far"	"the"	"far_ranging"	"ranging_of"	"of_the"	"and_far_ranging"	"far_ranging_of"	"ranging_of_the"	"of_the_potentiality"	"CC"	"RB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"these"	"example"	"underscore"	"the"	"importance"	"of"	"even"	"more"	"searching"	"evaluation"	"of"	"new"	"major"	"development"	"program"	"and"	"even"	"more"	"penetrating"	"and"	"ranging"	"analysis"	"of"	"the"	"potentiality"	"of"	"future"	"technology"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"∅"	"mean"	"∅"	"the"	"∅_∅"	"∅_mean"	"mean_the"	"∅_∅_∅"	"∅_∅_mean"	"∅_mean_the"	"mean_the_evaluation"	"ε"	"ε"	"ε"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mean"	"the"	"evaluation"	"of"	"subpart"	"the"	"comparative"	"rating"	"of"	"part"	"the"	"comprehension"	"of"	"the"	"meaning"	"of"	"isolated"	"element"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"and"	"."	"evaluation"	"∅"	"evaluation_and"	"and_."	"._∅"	"for_evaluation_and"	"evaluation_and_."	"and_._∅"	"._∅_∅"	"IN"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"us"	"now"	"put"	"some"	"flesh_on_the_theoretical_bones"	"have"	"assemble"	"by"	"give"	"illustration"	"roleplaying"	"use"	"for"	"evaluation"	"and"	"analysis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"for"	"we"	"roleplaying"	"enter"	"roleplaying_for"	"for_we"	"we_enter"	"consider_roleplaying_for"	"roleplaying_for_we"	"for_we_enter"	"we_enter_a"	"VB"	"NN"	"IN"	"NN"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"roleplaying"	"for"	"analysis"	"we"	"enter"	"a"	"more"	"complex"	"area"	"since"	"we"	"are"	"now"	"no_longer"	"deal"	"with"	"a"	"simple"	"overall"	"decision"	"but"	"rather"	"with"	"the"	"examination"	"and"	"evaluation"	"of"	"many"	"element"	"see"	"in"	"dynamic"	"functioning"	
