"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"2:40:01::"	"road"	"133"	"the"	"per_cent"	"the_road"	"road_133"	"133_per_cent"	",_the_road"	"the_road_133"	"road_133_per_cent"	"133_per_cent_of"	"ε"	"DT"	"NN"	"VB"	"CD"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"the"	"road"	"earn"	"per_cent"	"of"	"its"	"interest"	"costs"	"against"	"per_cent"	"in"	"the"	"preceding"	"period"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	"countries"	"their"	"these"	"way"	"these_countries"	"countries_their"	"their_way"	"let_these_countries"	"these_countries_their"	"countries_their_way"	"their_way_as_much_as_possible"	"VB"	"DT"	"NNS"	"VB"	"PRP$"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"idea"	"be"	"let"	"these"	"countries"	"earn"	"their"	"way"	"as_much_as_possible"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"would"	"a"	"i"	"sufficient"	"i_would"	"would_a"	"a_sufficient"	"that_i_would"	"i_would_a"	"would_a_sufficient"	"a_sufficient_amount"	"IN"	"PRP"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"i"	"mention"	"that"	"for"	"my"	"first"	"long"	"voyage"	"i"	"did"	"not"	"even"	"the"	"money"	"for"	"the"	"return"	"fare"	"but"	"trust"	"to"	"luck"	"that"	"i"	"would"	"earn"	"a"	"sufficient"	"amount"	"the"	"young"	"people"	"look"	"at"	"me"	"doubtingly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	"has"	"a"	"dr._james_b._conant"	"nationwide"	"dr._james_b._conant_has"	"has_a"	"a_nationwide"	"∅_dr._james_b._conant_has"	"dr._james_b._conant_has_a"	"has_a_nationwide"	"a_nationwide_reputation"	"ε"	"NNP"	"VBZ"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"has"	"earn"	"a"	"nationwide"	"reputation"	"as"	"a"	"moderate"	"and"	"unemotional"	"school"	"reformer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	","	"several"	"teacher"	"scholarships"	"teacher_,"	",_several"	"several_scholarships"	"a_teacher_,"	"teacher_,_several"	",_several_scholarships"	"several_scholarships_and"	"DT"	"NN"	"ε"	"VB"	"JJ"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rear"	"in"	"england"	"she"	"study"	"be"	"a"	"teacher"	"earn"	"several"	"scholarships"	"and"	"was"	"graduate"	"with_honors"	"from"	"the"	"university"	"of"	"london"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	"should"	"her"	"which"	"even"	"which_should"	"should_her"	"her_even"	"trip_which_should"	"which_should_her"	"should_her_even"	"her_even_greater"	"NN"	"WDT"	"MD"	"VB"	"PRP$"	"RB"	"JJR"	"huzzahs"	"for"	"the"	"artistic"	"success"	"of"	"the"	"presbyterian-st._luke"	"fashion"	"show"	"still"	"ring"	"in"	"her"	"ears"	"its"	"director"	"helen_tieken_geraghty"	"mrs._maurice_p._geraghty"	"is"	"take_off"	"tomorrow"	"on"	"a"	"day"	"world"	"trip"	"which"	"should"	"her"	"even"	"greater"	"acclaim"	"as"	"director"	"of"	"entertainment"	"for"	"next"	"summer"	"international_trade"	"fair"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"who"	"wage"	"mexico"	"in"	"mexico_who"	"who_wage"	"wage_in"	"or_mexico_who"	"mexico_who_wage"	"who_wage_in"	"wage_in_the"	"CC"	"NN"	"WP"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nonresident"	"alien"	"live"	"canada"	"or"	"mexico"	"who"	"earn"	"wage"	"in"	"the"	"united_states"	"may"	"be"	"subject"	"to"	"withholding"	"of"	"tax"	"on"	"their"	"wage"	"the"	"same"	"as"	"if"	"they"	"be"	"citizen"	"of"	"the"	"united_states"	
"2:40:01::"	"to"	"a"	"attributable"	"salary"	"attributable_to"	"to_a"	"a_salary"	"expense_attributable_to"	"attributable_to_a"	"to_a_salary"	"a_salary_,"	"NN"	"JJ"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"outside"	"salesman"	"deduct"	"expense"	"attributable"	"to"	"earn"	"a"	"salary"	"commission"	"or"	"compensation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"may"	"."	"he"	"∅"	"he_may"	"may_."	"._∅"	"money_he_may"	"he_may_."	"may_._∅"	"._∅_∅"	"NN"	"PRP"	"MD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"minor"	"child"	"is"	"allow"	"a"	"personal"	"exemption"	"of"	"on"	"own"	"return"	"regardless"	"of"	"how"	"much"	"money"	"he"	"may"	"earn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"he"	"$"	"though"	"600"	"though_he"	"he_$"	"$_600"	"even_though_he"	"though_he_$"	"he_$_600"	"$_600_or"	"RB"	"RB"	"PRP"	"VB"	"ε"	"CD"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"your"	"child"	"be"	"under"	"or"	"be"	"a"	"student"	"you"	"may"	"also"	"claim"	"an"	"exemption"	"for"	"him"	"if"	"qualify"	"as"	"your"	"dependent"	"even"	"though"	"he"	"earn"	"or"	"more"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
