"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:36:00::"	"who"	"the"	","	"``"	",_who"	"who_the"	"the_``"	"erik_bruhn_,_who"	",_who_the"	"who_the_``"	"the_``_nutcracker"	"NNP"	"ε"	"WP"	"VB"	"DT"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maria_tallchief"	"and"	"who"	"dance"	"the"	"nutcracker"	"pas_de_deux"	"were"	"also"	"see"	"in"	"the"	"petipa-minkus"	"pas_de_deux"	"from"	"don_quixote"	"another"	"brilliant"	"showpiece"	"that"	"display"	"their"	"technical"	"prowess"	"handsomely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"she"	"on"	"that"	"her"	"that_she"	"she_on"	"on_her"	"so_much_that_she"	"that_she_on"	"she_on_her"	"on_her_day_off"	"RB"	"IN"	"PRP"	"VB"	"IN"	"PRP$"	"NN"	"adamo"	"a"	"brazilian"	"divorcee"	"who"	"learn"	"the"	"dance"	"from"	"arabic"	"friends"	"in"	"paris"	"now"	"live"	"on"	"manhattan"	"west_side"	"be"	"about"	"the"	"best"	"belly_dancer"	"work"	"the"	"casbah"	"love"	"it"	"so_much"	"that"	"she"	"dance"	"her"	"day_off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"you"	"like"	"if"	"that"	"if_you"	"you_like"	"like_that"	"you_if_you"	"if_you_like"	"you_like_that"	"like_that_."	"PRP"	"IN"	"PRP"	"VB"	"IN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"a_few"	"minutes"	"he"	"say"	"i"	"n't"	"use"	"you"	"if"	"you"	"dance"	"like"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"''"	"like"	","	"like_to"	"to_''"	"''_,"	"i_like_to"	"like_to_''"	"to_''_,"	"''_,_she"	"PRP"	"VB"	"TO"	"VB"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"to"	"dance"	"she"	"say"	"then"	"turn"	"and"	"walk"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"slavic"	"and"	"-"	"love"	"-_slavic"	"slavic_and"	"and_love"	"fairytale_-_slavic"	"-_slavic_and"	"slavic_and_love"	"and_love_song"	"NN"	"ε"	"NN"	"NN"	"CC"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"a"	"large"	"and"	"circumspect"	"century"	"technique"	"he"	"weave"	"the"	"material"	"of"	"national"	"and"	"event"	"national"	"folklore"	"and"	"child"	"fairytale"	"slavic"	"dance"	"and"	"love"	"song"	"into"	"a"	"solid"	"musical"	"literature"	"which"	"serve"	"his"	"people"	"well"	"and"	"is"	"provide"	"much"	"enjoyment"	"to"	"the"	"world"	"at_large"	
"1:10:00::"	"∅"	"teacher"	"∅"	"can"	"∅_∅"	"∅_teacher"	"teacher_can"	"∅_∅_∅"	"∅_∅_teacher"	"∅_teacher_can"	"teacher_can_respond"	"ε"	"ε"	"ε"	"NN"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"teacher"	"can"	"respond"	"to"	"person"	"request"	"not_only"	"through"	"their"	"regular"	"dance"	"work"	"but"	"also"	"through"	"the"	"kind"	"of"	"basic"	"gymnastic"	"work"	"that"	"make_for"	"strength"	"and"	"flexibility"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"regular"	"work"	"their"	","	"their_regular"	"regular_work"	"work_,"	"through_their_regular"	"their_regular_work"	"regular_work_,"	"work_,_but"	"IN"	"PRP$"	"JJ"	"NN"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dance"	"teacher"	"can"	"respond"	"to"	"request"	"not_only"	"through"	"their"	"regular"	"dance"	"work"	"but"	"also"	"through"	"the"	"kind"	"of"	"basic"	"gymnastic"	"work"	"that"	"make_for"	"strength"	"and"	"flexibility"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"a"	"begin"	"stately"	"begin_to"	"to_a"	"a_stately"	"slowly_begin_to"	"begin_to_a"	"to_a_stately"	"a_stately_minuet"	"RB"	"VB"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"pick_up"	"the"	"hem"	"of"	"her"	"gown"	"with"	"eye"	"closed"	"she"	"slowly"	"begin"	"to"	"dance"	"a"	"stately"	"minuet"	"around"	"the"	"ballroom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"for"	"fan"	"loss"	"-"	"loss_for"	"for_fan"	"fan_-"	"serious_loss_for"	"loss_for_fan"	"for_fan_-"	"fan_-_and"	"JJ"	"NN"	"IN"	"NN"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"the"	"group"	"will"	"fly"	"back"	"to"	"russia"	"a"	"chicago"	"engagement"	"a"	"serious"	"loss"	"for"	"dance"	"fan"	"and"	"for"	"the"	"frustrated"	"booker"	"cancellation"	"of"	"one"	"of"	"the"	"rich"	"booking"	"in"	"the"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"and"	"and"	"talk"	"drink"	"talk_and"	"and_and"	"and_drink"	"sit_up_talk_and"	"talk_and_and"	"and_and_drink"	"and_drink_all"	"VB"	"VB"	"CC"	"VB"	"CC"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"enjoy"	"great"	"party"	"she"	"would"	"sit_up"	"talk"	"and"	"dance"	"and"	"drink"	"all"	"night"	"but"	"it"	"always"	"seem"	"to"	"her"	"that"	"be"	"alone"	"especially"	"alone"	"in"	"her"	"house"	"be"	"the"	"real"	"part"	"of"	"life"	"0"	
