"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"2:32:00::"	"cannot"	"the"	"one"	"suspicion"	"one_cannot"	"cannot_the"	"the_suspicion"	"but_one_cannot"	"one_cannot_the"	"cannot_the_suspicion"	"the_suspicion_that"	"CC"	"CD"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"cannot"	"escape"	"the"	"suspicion"	"that"	"all"	"this"	"non-stop"	"harping_on"	"the"	"misdeeds"	"of"	"the"	"long"	"liquidated"	"anti-party"	"group"	"would"	"be"	"totally"	"unnecessary"	"if"	"there"	"be"	"not"	"inside"	"the"	"party"	"some"	"secret"	"but"	"genuine"	"opposition"	"to"	"khrushchev"	"on"	"vital"	"doctrinal"	"grounds"	"on"	"the"	"actual"	"methods"	"to"	"be"	"employ"	"in"	"the"	"transition"	"to"	"communism"	"and"	"last_but_not_least"	"on"	"foreign_policy"	
"2:38:00::"	"n't"	"an"	"could"	"uneasiness"	"could_n't"	"n't_an"	"an_uneasiness"	"i_could_n't"	"could_n't_an"	"n't_an_uneasiness"	"an_uneasiness_at"	"PRP"	"MD"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"admire"	"their"	"easy"	"way"	"do"	"things"	"but"	"i"	"could"	"n't"	"escape"	"an"	"uneasiness"	"at"	"their"	"way"	"of"	"always"	"do"	"the"	"right"	"things"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"gas"	"."	"of"	"∅"	"of_gas"	"gas_."	"._∅"	"pungency_of_gas"	"of_gas_."	"gas_._∅"	"._∅_∅"	"NN"	"IN"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"then"	"he"	"hear"	"and"	"smell"	"it"	"the"	"steady"	"hissing"	"the"	"familiar"	"pungency"	"of"	"gas"	"escape"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"to"	"our"	"do"	"fears"	"do_to"	"to_our"	"our_fears"	"we_do_to"	"do_to_our"	"to_our_fears"	"our_fears_and"	"PRP"	"VB"	"TO"	"VB"	"PRP$"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look_at"	"the"	"we"	"do"	"to"	"escape"	"our"	"fears"	"and"	"to"	"forget"	"our"	"worries"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"hardly"	"the"	"can"	"impression"	"can_hardly"	"hardly_the"	"the_impression"	"newspapers_can_hardly"	"can_hardly_the"	"hardly_the_impression"	"the_impression_that"	"NNS"	"MD"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"reader"	"of"	"boston"	"newspapers"	"can"	"hardly"	"escape"	"the"	"impression"	"that"	"petty"	"chicanery"	"or"	"worse"	"be"	"the"	"norm"	"in"	"massachusetts"	"public"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"with"	"8"	"minor"	"8_,"	",_with"	"with_minor"	",_8_,"	"8_,_with"	",_with_minor"	"with_minor_burns"	"ε"	"CD"	"ε"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"christine"	"twin"	"sister"	"patricia"	"and"	"escape"	"with"	"minor"	"burns"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"from"	"self"	"turkey"	"self_,"	",_from"	"from_turkey"	"old_self_,"	"self_,_from"	",_from_turkey"	"from_turkey_,"	"JJ"	"NN"	"ε"	"VB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"in"	"the_king"	"person"	"break_out"	"a"	"long"	"period"	"of"	"petulance"	"and"	"inertia"	"regain"	"old"	"self"	"escape"	"from"	"turkey"	"and"	"finally"	"reach"	"his"	"own"	"land"	"after"	"an"	"absence"	"of"	"eighteen"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"the"	","	"stuffy"	",_to"	"to_the"	"the_stuffy"	"person_,_to"	",_to_the"	"to_the_stuffy"	"the_stuffy_air"	"NNP"	"ε"	"TO"	"VB"	"DT"	"JJ"	"NN"	"the"	"suggestion"	"of"	"ice_water"	"and"	"in_spite"	"of"	"the"	"protest"	"we"	"not"	"really"	"thirsty"	"person"	"to"	"the"	"stuffy"	"air"	"and"	"the"	"smothering"	"soft"	"voice"	"hurry"	"to"	"the"	"kitchen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"the"	"mountain"	"heat"	"mountain_to"	"to_the"	"the_heat"	"the_mountain_to"	"mountain_to_the"	"to_the_heat"	"the_heat_in"	"DT"	"NN"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"location"	"as"	"person"	"call"	"the"	"town"	"be"	"crowded"	"with"	"summer"	"people"	"who"	"to"	"the"	"mountain"	"to"	"escape"	"the"	"heat"	"in"	"the"	"big"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"a"	"frame"	"load"	"frame_,"	",_a"	"a_load"	"three_frame_,"	"frame_,_a"	",_a_load"	"a_load_of"	"JJ"	"NN"	"ε"	"VB"	"DT"	"NN"	"IN"	"foot"	"inch"	"pounder"	"give_up"	"the"	"group"	"last"	"two"	"safety"	"over"	"the"	"final"	"three"	"frame"	"escape"	"load"	"of"	"trouble"	"in"	"the"	"ninth"	"when"	"the"	"group"	"threaten"	"but"	"fail"	"to"	"tally"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
