"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"
"2:42:03::"	"to"	"as"	"plan"	"a"	"plan_to"	"to_as"	"as_a"	"guide_plan_to"	"plan_to_as"	"to_as_a"	"as_a_background"	"NN"	"NN"	"TO"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"first"	"priority"	"will"	"be"	"give"	"to"	"the"	"of"	"a"	"meaningful"	"state"	"guide"	"plan"	"to"	"serve"	"as"	"a"	"background"	"for"	"all"	"planning"	"activities"	"in"	"the"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:03::"	"to"	"as"	"them"	"a"	"them_to"	"to_as"	"as_a"	"ask_them_to"	"them_to_as"	"to_as_a"	"as_a_committee"	"VB"	"PRP"	"TO"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thanks"	"to"	"the"	"generosity"	"of"	"mr._irving_j._fain"	"president"	"of"	"the"	"temple_beth_el"	"rev._dewitt_clemens"	"pastor"	"of"	"the"	"mathewson_street"	"methodist_church"	"mr._felix_miranda"	"of"	"the"	"imperial_knife_co."	"and"	"mrs._rozella_switzer"	"regional"	"director"	"of"	"the"	"national_conference"	"of"	"christians"	"and"	"jews"	"who"	"ask"	"them"	"to"	"serve"	"as"	"a"	"committee"	"for"	"the"	"fund"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:03::"	"now"	"as"	"that"	"the"	"that_now"	"now_as"	"as_the"	"poplar_trees_that_now"	"that_now_as"	"now_as_the"	"as_the_city"	"NN"	"IN"	"RB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"promenade"	"for_example"	"continue"	"to"	"take_place"	"on"	"the"	"chahar_bagh"	"a"	"garden"	"of"	"plane"	"and"	"poplar_trees"	"that"	"now"	"serve"	"as"	"the"	"city"	"principal"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:03::"	"program"	"a"	"the"	"triple"	"the_program"	"program_a"	"a_triple"	"in_the_program"	"the_program_a"	"program_a_triple"	"a_triple_purpose"	"IN"	"DT"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"put_on"	"local"	"musicians"	"in"	"the"	"program"	"serve"	"a"	"triple"	"purpose"	"it"	"save"	"the"	"top"	"flight"	"jazz"	"men"	"from"	"being"	"waste"	"in_this"	"unenviable"	"spot"	"when"	"the"	"audience"	"be"	"cold"	"restless"	"and"	"in"	"flux"	"it"	"prevent"	"late-comers"	"from"	"miss"	"some"	"of"	"the"	"people"	"they"	"have"	"come"	"a"	"long"	"way"	"to"	"hear"	"and"	"it"	"give"	"the"	"resident"	"musicians"	"a"	"chance"	"to"	"perform"	"before"	"the"	"famous"	"newport"	"audience"	
"2:42:02::"	"ago"	"notice"	"weeks"	"through"	"weeks_ago"	"ago_notice"	"notice_through"	"some_weeks_ago"	"weeks_ago_notice"	"ago_notice_through"	"notice_through_senator_thruston_b._morton"	"DT"	"NNS"	"RB"	"VB"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"republicans"	"weeks"	"ago"	"serve"	"notice"	"through"	"senator_thruston_b._morton"	"r"	"of"	"kentucky"	"chairman"	"of"	"the"	"republican_national_committee"	"that"	"the"	"kennedy"	"administration"	"would"	"be"	"hold"	"responsible"	"if"	"the"	"outcome"	"in"	"laos"	"be"	"a"	"coalition"	"government"	"susceptible"	"of"	"communist"	"domination"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"be"	"from"	"will"	"6"	"will_be"	"be_from"	"from_6"	"cocktails_will_be"	"will_be_from"	"be_from_6"	"from_6_to"	"NNS"	"MD"	"VB"	"VB"	"IN"	"CD"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cocktails"	"be"	"serve"	"from"	"to"	"p."	"m."	"with"	"dinner"	"at"	"and"	"entertainment"	"in_the_main"	"dining_room"	"immediately"	"following"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:03::"	"would"	"."	"less"	"∅"	"less_would"	"would_."	"._∅"	"nothing_less_would"	"less_would_."	"would_._∅"	"._∅_∅"	"NN"	"JJR"	"MD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nothing"	"would"	"serve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"and"	"as"	"britain"	"our"	"britain_and"	"and_as"	"as_our"	"with_britain_and"	"britain_and_as"	"and_as_our"	"as_our_first"	"IN"	"NNP"	"CC"	"VB"	"VB"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"john_adams"	"fashion"	"much"	"of"	"pre-revolutionary"	"radical"	"ideology"	"write"	"the"	"constitution"	"of"	"his"	"home"	"state"	"massachusetts"	"negotiate"	"with"	"franklin"	"and"	"jay"	"the"	"peace"	"with"	"britain"	"and"	"serve"	"as"	"our"	"first"	"vice_president"	"and"	"our"	"second"	"president"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"with"	"one"	"state"	"million"	"state_with"	"with_one"	"one_million"	"the_state_with"	"state_with_one"	"with_one_million"	"one_million_persons"	"DT"	"NN"	"IN"	"VB"	"CD"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"nassau_county"	"for_example"	"the"	"heavily"	"settled"	"long_island"	"suburb"	"of"	"new_york_city"	"system"	"is"	"credit"	"by"	"the"	"state"	"with"	"serve"	"one"	"million"	"persons"	"a"	"figure"	"that"	"has"	"double"	"since"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"to"	"our"	"at_all_times"	"nation"	"at_all_times_to"	"to_our"	"our_nation"	"ready_at_all_times_to"	"at_all_times_to_our"	"to_our_nation"	"our_nation_in"	"JJ"	"RB"	"TO"	"VB"	"PRP$"	"NN"	"IN"	"and"	"travel"	"across"	"the"	"seas"	"the"	"american"	"merchant_marine"	"is"	"carry_out"	"its"	"historic"	"mission"	"of"	"link"	"the"	"united_states_of_america"	"with"	"friendly"	"nations"	"across"	"the"	"seas"	"and"	"now"	"therefore"	"do"	"i"	"john_a._notte"	"jr."	"governor"	"of"	"the"	"state"	"of"	"rhode_island"	"and"	"providence"	"plantations"	"proclaim"	"monday"	"may"	"nd"	"as"	"national_maritime_day"	"remind"	"our"	"citizens"	"that"	"american"	"merchant_ships"	"and"	"american"	"seamen"	"be"	"ready"	"at_all_times"	"to"	"our"	"nation"	"in"	"the"	"cause"	"of"	"freedom"	"and"	"justice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
