"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"
"3:00:01::"	"a"	"affair"	","	"for"	",_a"	"a_affair"	"affair_for"	"party_,_a"	",_a_affair"	"a_affair_for"	"affair_for_a"	"NN"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"happen"	"at"	"the"	"party"	"a"	"big"	"affair"	"for"	"a"	"regiment"	"which"	"had"	"go_into"	"battle"	"for"	"over"	"three"	"quarter"	"of"	"a"	"century"	"to"	"the"	"strain"	"of"	"an"	"irish"	"march"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:conspicuous:00;3:00:01::"	"the"	"downtown"	"in"	"hotel"	"in_the"	"the_downtown"	"downtown_hotel"	",_in_the"	"in_the_downtown"	"the_downtown_hotel"	"downtown_hotel_''"	"ε"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"dinner"	"be"	"the"	"start"	"of"	"a"	"new"	"blatancy"	"in"	"the"	"relationship"	"between"	"the"	"gang"	"and"	"the"	"politician"	"which"	"prior"	"to"	"say"	"person"	"had"	"been"	"maintain"	"with"	"more_or_less"	"stealth"	"but"	"which"	"henceforth"	"was"	"mark"	"by"	"these"	"ostentatious"	"gathering"	"denounce"	"by"	"a"	"clergyman"	"as"	"belshazzar"	"feast"	"at"	"politician"	"fraternize"	"cheek_by_jowl"	"with"	"gangster"	"openly"	"in"	"the"	"big"	"downtown"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"coup"	"of"	"of"	"of_the"	"the_coup"	"coup_of"	"one_of_the"	"of_the_coup"	"the_coup_of"	"coup_of_the"	"JJ"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"still"	"more"	"jealous"	"bitterness"	"was"	"engender"	"by"	"the"	"person"	"gang"	"seizure"	"from"	"a"	"location"	"marshalling_yard"	"a"	"freight_car"	"load"	"of"	"canadian"	"whisky"	"worth"	"and"	"by"	"one"	"of"	"the"	"big"	"coup"	"of"	"the"	"prohibition_era"	"the"	"location"	"warehouse"	"robbery"	"which"	"become"	"famous"	"for"	"the"	"cool"	"brazenness"	"of"	"the"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:significant:00"	"``"	"favor"	"∅"	"i"	"∅_``"	"``_favor"	"favor_i"	"∅_∅_``"	"∅_``_favor"	"``_favor_i"	"favor_i_do"	"ε"	"ε"	"ε"	"JJ"	"NN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"favor"	"i"	"do"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"be"	"and"	"camping"	"get"	"camping_be"	"be_and"	"and_get"	"∅_camping_be"	"camping_be_and"	"be_and_get"	"and_get_big"	"ε"	"NN"	"VB"	"JJ"	"CC"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"big"	"and"	"get"	"big"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"get"	"."	"and"	"∅"	"and_get"	"get_."	"._∅"	"big_and_get"	"and_get_."	"get_._∅"	"._∅_∅"	"JJ"	"CC"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"camping"	"be"	"and"	"get"	"big"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"as"	"as"	"house"	"that"	"house_as"	"as_as"	"as_that"	"a_house_as"	"house_as_as"	"as_as_that"	"as_that_there"	"DT"	"NN"	"RB"	"JJ"	"IN"	"IN"	"EX"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"with"	"a"	"as"	"big"	"as"	"that"	"there"	"must"	"be"	"at_least"	"one"	"cellar"	"window"	"that"	"would"	"n't"	"be"	"notice"	"right_away"	"unless"	"there"	"was"	"a"	"police_investigation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"house"	"to"	"on"	"to_the"	"the_house"	"house_on"	"rain_to_the"	"to_the_house"	"the_house_on"	"house_on_location"	"NN"	"TO"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"return"	"to"	"the"	"street"	"mount"	"their"	"ride"	"through"	"the"	"rain"	"to"	"the"	"big"	"house"	"on"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"her"	"moire"	"dig_into"	"bag"	"dig_into_her"	"her_moire"	"moire_bag"	"she_dig_into_her"	"dig_into_her_moire"	"her_moire_bag"	"moire_bag_,"	"PRP"	"VB"	"PRP$"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"before"	"she"	"leave"	"room"	"she"	"dig_into"	"her"	"big"	"moire"	"bag"	"take_out"	"the"	"envelope"	"hold"	"her"	"marriage_contract"	"and"	"the"	"wax"	"seal"	"had"	"been"	"break"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:important:00"	"a"	"man"	"you"	","	"you_a"	"a_man"	"man_,"	"make_you_a"	"you_a_man"	"a_man_,"	"man_,_do"	"VB"	"PRP"	"DT"	"JJ"	"NN"	"ε"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"all"	"the"	"make"	"you"	"a"	"big"	"man"	"do"	"n't"	"it"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
