"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"2:32:00::"	"still"	"thursday"	","	"to"	",_still"	"still_thursday"	"thursday_to"	"down_,_still"	",_still_thursday"	"still_thursday_to"	"thursday_to_be"	"RB"	"ε"	"RB"	"VB"	"NNP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president_kennedy"	"already"	"two"	"quiet"	"down"	"still"	"refuse"	"thursday"	"to"	"be"	"draw"	"into"	"deliver"	"a"	"public"	"ultimatum"	"to"	"moscow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"in"	"to"	"example"	"pay"	"example_in"	"in_to"	"to_pay"	"russian_example_in"	"example_in_to"	"in_to_pay"	"to_pay_their"	"NNP"	"NN"	"IN"	"VB"	"TO"	"VB"	"PRP$"	"editorial"	"of"	"sept."	"the"	"smoldering"	"congo"	"you"	"make"	"the"	"following"	"comment"	"far"	"too"	"many"	"states"	"are"	"follow"	"the"	"russian"	"example"	"in"	"to"	"pay"	"their"	"assessments"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"been"	"!"	"never"	"∅"	"never_been"	"been_!"	"!_∅"	"'ve_never_been"	"never_been_!"	"been_!_∅"	"!_∅_∅"	"VBP"	"RB"	"VBN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"been"	"refuse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"mind"	"to"	"horrified"	"believe"	"horrified_mind"	"mind_to"	"to_believe"	"'s_horrified_mind"	"horrified_mind_to"	"mind_to_believe"	"to_believe_it"	"POS"	"JJ"	"NN"	"VB"	"VB"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"was"	"only"	"one"	"answer"	"jack"	"horrified"	"mind"	"refuse"	"to"	"believe"	"it"	"until"	"he"	"had"	"feed"	"the"	"radar"	"plots"	"of"	"the"	"skiff"	"course"	"into"	"the"	"computer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"to"	"enough"	"aid"	"enough_to"	"to_to"	"to_aid"	"hard_enough_to"	"enough_to_to"	"to_to_aid"	"to_aid_nations"	"JJ"	"RB"	"TO"	"VB"	"TO"	"VB"	"NNS"	"0"	"0"	"0"	"0"	"when"	"we"	"become"	"firm"	"enough"	"to"	"stand"	"for"	"those"	"ideals"	"which"	"we"	"know"	"be"	"right"	"when"	"we"	"hard"	"enough"	"to"	"refuse"	"to"	"aid"	"nations"	"which"	"do"	"not"	"permit"	"self-determination"	"when"	"we"	"become"	"strong"	"enough"	"to"	"resist"	"any_more"	"drifts"	"towards"	"socialism"	"in"	"our"	"own"	"nation"	"when"	"we"	"recognize"	"that"	"our"	"enemy"	"be"	"communism"	"not"	"war"	"and"	"when"	"we"	"realize"	"that"	"concessions"	"to"	"communists"	"do"	"not"	"insure"	"peace"	"or"	"freedom"	"then"	"and"	"only"	"then"	"will"	"we"	"no_longer"	"be"	"soft"	
"2:40:00::"	"and"	"to"	"oppressors"	"acknowledge"	"oppressors_and"	"and_to"	"to_acknowledge"	"communist_oppressors_and"	"oppressors_and_to"	"and_to_acknowledge"	"to_acknowledge_the"	"NNP"	"NNS"	"CC"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"united_states"	"and"	"the"	"u._n."	"denounce"	"their"	"principles"	"when"	"they"	"defend"	"the"	"communist"	"oppressors"	"and"	"refuse"	"to"	"acknowledge"	"the"	"right"	"of"	"self-determination"	"of"	"the"	"katangans"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"heavens"	"to"	"the"	"give_up"	"the_heavens"	"heavens_to"	"to_give_up"	"∅_the_heavens"	"the_heavens_to"	"heavens_to_give_up"	"to_give_up_their"	"ε"	"DT"	"NNS"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"heavens"	"refuse"	"to"	"give_up"	"their"	"weeping"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"to"	"right"	"accept"	"right_to"	"to_to"	"to_accept"	"constitutional_right_to"	"right_to_to"	"to_to_accept"	"to_accept_persons"	"JJ"	"NN"	"TO"	"VB"	"VB"	"VB"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"furthermore"	"as"	"an"	"encouragement"	"to"	"revisionist"	"thinking"	"it"	"manifestly"	"fair"	"to"	"admit"	"that"	"any"	"fraternity"	"a"	"constitutional"	"right"	"to"	"refuse"	"to"	"accept"	"persons"	"it"	"dislike"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"tonight"	"to"	"magistrate"	"return"	"magistrate_tonight"	"tonight_to"	"to_return"	"the_magistrate_tonight"	"magistrate_tonight_to"	"tonight_to_return"	"to_return_to"	"DT"	"NN"	"RB"	"VB"	"TO"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"tonight"	"refuse"	"to"	"return"	"to"	"the"	"five"	"in"	"american"	"and"	"british"	"currency"	"mostly"	"bills"	"and"	"in"	"british"	"government"	"bonds"	"and"	"stocks"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"wife"	"to"	"'s"	"have"	"'s_wife"	"wife_to"	"to_have"	"worker_'s_wife"	"'s_wife_to"	"wife_to_have"	"to_have_sexual_relation"	"NN"	"POS"	"NN"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"one"	"extreme"	"case"	"cite"	"by"	"a"	"psychologist"	"an"	"office"	"worker"	"wife"	"refuse"	"to"	"have"	"sexual_relation"	"with"	"her"	"husband"	"unless"	"he"	"buy"	"her"	"the"	"luxury"	"she"	"demand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
