"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"3:00:00::"	"the"	"fighting"	"in"	"condition"	"in_the"	"the_fighting"	"fighting_condition"	"not_in_the"	"in_the_fighting"	"the_fighting_condition"	"fighting_condition_."	"RB"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"korean_war"	"begin"	"on"	"june"	"the"	"anniversary"	"of"	"the"	"day"	"person"	"had"	"go_down"	"fight"	"at"	"the"	"location"	"and"	"the"	"day"	"the"	"regiment"	"had"	"assault"	"the"	"beachhead"	"of"	"leyte"	"during"	"world_war_2"	"the"	"group"	"be"	"not"	"in"	"the"	"fighting"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	";"	"growth"	"man"	"."	"man_;"	";_growth"	"growth_."	"hamper_man_;"	"man_;_growth"	";_growth_."	"growth_._∅"	"VB"	"NN"	"ε"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"we"	"were"	"create"	"a"	"wholly"	"new"	"society"	"we"	"could"	"insist"	"that"	"our"	"political"	"economic"	"and"	"philosophic"	"institution"	"foster"	"rather"	"than"	"hamper"	"man"	"best"	"growth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"which"	"suit"	"technique"	"your"	"technique_which"	"which_suit"	"suit_your"	"selling_technique_which"	"technique_which_suit"	"which_suit_your"	"suit_your_product"	"NN"	"NN"	"WDT"	"RB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"carefully"	"the"	"selling"	"technique"	"which"	"best"	"suit"	"your"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"thing"	"``"	"for"	"``_the"	"the_thing"	"thing_for"	"∅_``_the"	"``_the_thing"	"the_thing_for"	"thing_for_you"	"ε"	"ε"	"DT"	"JJ"	"NN"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"best"	"thing"	"for"	"you"	"to"	"do"	"person"	"say"	"be"	"go_home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"and"	"develop"	"most"	"develop_the"	"the_and"	"and_most"	"to_develop_the"	"develop_the_and"	"the_and_most"	"and_most_economical"	"TO"	"VB"	"DT"	"JJ"	"CC"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"conduct"	"encourage"	"and"	"promote"	"fundamental"	"scientific"	"research"	"basic"	"study"	"to"	"develop"	"the"	"best"	"and"	"most"	"economical"	"process"	"and"	"method"	"for"	"convert"	"saline"	"water"	"into"	"water"	"suitable"	"for"	"beneficial"	"consumptive"	"purpose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"equipment"	"choose"	"for"	"choose_the"	"the_equipment"	"equipment_for"	"camper_choose_the"	"choose_the_equipment"	"the_equipment_for"	"equipment_for_their"	"NN"	"VB"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"there"	"be"	"still"	"the"	"sometimes"	"problem"	"of"	"help"	"camper"	"choose"	"the"	"best"	"equipment"	"for"	"their"	"individual"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"bull_roaring"	"in"	"life_with_father"	"in_the"	"the_bull_roaring"	"bull_roaring_life_with_father"	"roost_in_the"	"in_the_bull_roaring"	"the_bull_roaring_life_with_father"	"bull_roaring_life_with_father_manner"	"VB"	"IN"	"DT"	"JJ"	"JJ"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"carry_over"	"into"	"the"	"more"	"urbanized"	"late"	"th"	"and"	"early"	"th"	"when"	"the"	"man"	"rule"	"the"	"roost"	"in"	"the"	"best"	"bull_roaring"	"life_with_father"	"manner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"hearted"	"``"	"boy"	"``_the"	"the_hearted"	"hearted_boy"	",_``_the"	"``_the_hearted"	"the_hearted_boy"	"hearted_boy_in"	"ε"	"ε"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"person"	"sigh"	"the"	"bank"	"president"	"best"	"hearted"	"boy"	"in"	"the"	"world"	"but"	"absentminded"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"seem"	"to"	"which"	"give"	"which_seem"	"seem_to"	"to_give"	"that_which_seem"	"which_seem_to"	"seem_to_give"	"to_give_release"	"IN"	"WDT"	"VB"	"RB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"all"	"the"	"form"	"of"	"expression"	"that"	"which"	"seem"	"best"	"to"	"give"	"release"	"and"	"communicational"	"expression"	"to"	"complex"	"and"	"undifferentiated"	"feeling"	"be"	"laughter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"available"	"use"	"."	"use_the"	"the_available"	"available_."	"i_use_the"	"use_the_available"	"the_available_."	"available_._∅"	"PRP"	"VB"	"DT"	"JJ"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"for"	"material"	"use"	"the"	"best"	"available"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
