"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"
"2:31:00::"	"now"	"to"	"and"	"the"	"and_now"	"now_to"	"to_the"	"ago_and_now"	"and_now_to"	"now_to_the"	"to_the_central"	"RB"	"CC"	"RB"	"VB"	"TO"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._hawksley"	"believe"	"that"	"east_providence"	"could"	"use"	"two"	"more"	"rescue"	"trucks"	"to"	"the"	"cd"	"vehicle"	"obtain"	"several"	"years"	"ago"	"and"	"now"	"detail"	"to"	"the"	"central"	"fire_station"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"economic"	"with_respect_thereto"	"and"	";"	"and_economic"	"economic_with_respect_thereto"	"with_respect_thereto_;"	"engineering_and_economic"	"and_economic_with_respect_thereto"	"economic_with_respect_thereto_;"	"with_respect_thereto_;_∅"	"NN"	"CC"	"JJ"	"NN"	"RB"	"ε"	"ε"	"the"	"congress"	"from_time_to_time"	"authorization"	"for"	"construction"	"and"	"operation"	"or"	"for"	"participation"	"in"	"the"	"construction"	"and"	"operation"	"of"	"a"	"demonstration"	"plant"	"for"	"any"	"process"	"which"	"he"	"determine"	"on"	"the"	"basis"	"of"	"subsection"	"a"	"and"	"b"	"above"	"have"	"great"	"promise"	"of"	"accomplish"	"the"	"purpose"	"of_this"	"act"	"such"	"recommendation"	"to"	"be"	"accompany"	"by"	"a"	"report"	"on"	"the"	"size"	"location"	"cost"	"of"	"the"	"proposed"	"plant"	"and"	"the"	"engineering"	"and"	"economic"	"with_respect_thereto"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"everyday"	"of"	","	"daily"	",_everyday"	"everyday_of"	"of_daily"	"homely_,_everyday"	",_everyday_of"	"everyday_of_daily"	"of_daily_living"	"JJ"	"ε"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"again"	"the"	"everyday"	"detail"	"of"	"daily"	"living"	"refute"	"a"	"vicious"	"attempt"	"to"	"frighten"	"her"	"or"	"to"	"murder"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"everyday"	"of"	"homely"	"living"	"homely_everyday"	"everyday_of"	"of_living"	"the_homely_everyday"	"homely_everyday_of"	"everyday_of_living"	"of_living_and"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"everyday"	"detail"	"of"	"living"	"and"	"domestic"	"requirement"	"also"	"press"	"upon"	"her"	"with"	"their"	"immediate"	"urgency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"that"	"with"	"lead"	"with_the"	"the_that"	"that_lead"	"be_with_the"	"with_the_that"	"the_that_lead"	"that_lead_to"	"VB"	"IN"	"DT"	"NN"	"IN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"an"	"evaluative"	"situation"	"is"	"set_up"	"no"	"concern"	"be"	"with"	"the"	"detail"	"that"	"lead"	"to"	"an"	"overall"	"estimate"	"we"	"say"	"that"	"roleplaying"	"is"	"use"	"for"	"evaluation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"gross"	"of"	"the"	"the"	"the_gross"	"gross_of"	"of_the"	"∅_the_gross"	"the_gross_of"	"gross_of_the"	"of_the_structure"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gross"	"detail"	"of"	"the"	"structure"	"appear"	"reasonable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"technical"	"were"	"that"	"not"	"that_technical"	"technical_were"	"were_not"	"emphasize_that_technical"	"that_technical_were"	"technical_were_not"	"were_not_fully"	"VB"	"IN"	"JJ"	"NN"	"VBD"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"that"	"technical"	"detail"	"were"	"not"	"fully"	"work_out"	"person"	"say"	"his"	"resolution"	"would"	"seek"	"to"	"set_aside"	"the"	"privilege"	"resolution"	"which"	"the"	"group"	"vote"	"through"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"the"	"dream"	"ensuing"	"dream_,"	",_the"	"the_ensuing"	"previous_dream_,"	"dream_,_the"	",_the_ensuing"	"the_ensuing_occurrence"	"JJ"	"NN"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"day"	"person"	"come_upon"	"with"	"a"	"friend"	"upon"	"an"	"event"	"which"	"recognize"	"as"	"the"	"exact"	"pattern"	"of"	"a"	"previous"	"dream"	"detail"	"the"	"ensuing"	"occurrence"	"in_advance"	"so"	"accurately"	"that"	"his"	"companion"	"was"	"completely"	"mystify"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"photographic"	"call_for"	"with"	"a"	"with_photographic"	"photographic_call_for"	"call_for_a"	"future_with_photographic"	"with_photographic_call_for"	"photographic_call_for_a"	"call_for_a_theory"	"NN"	"IN"	"JJ"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dream"	"that"	"display"	"event"	"the"	"future"	"with"	"photographic"	"detail"	"call_for"	"a"	"theory"	"explain"	"their"	"basic"	"mystery"	"and"	"all"	"its"	"component"	"include"	"that"	"weird"	"feeling"	"of"	"deja_vu"	"inevitably"	"fantastic"	"though"	"that"	"theory"	"must"	"seem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"some"	"on"	"in"	"the"	"in_some"	"some_on"	"on_the"	"dwell_in_some"	"in_some_on"	"some_on_the"	"on_the_crisis"	"VB"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"dwell"	"in"	"some"	"detail"	"on"	"the"	"crisis"	"of"	"this"	"story"	"because"	"it"	"bring_together"	"a"	"number"	"of"	"characteristic"	"element"	"and"	"make"	"of"	"them"	"a"	"curious"	"riddle"	"compound"	"obscurely"	"but"	"centrally"	"significant"	"for"	"person"	"work"	"0"	"0"	"0"	"0"	"0"	
