"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"
"1:28:00::"	"on"	"25"	","	","	",_on"	"on_25"	"25_,"	"begin_,_on"	",_on_25"	"on_25_,"	"25_,_1950"	"VB"	"ε"	"IN"	"NN"	"JJ"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"begin"	"on"	"june"	"the"	"anniversary"	"of"	"the"	"day"	"person"	"had"	"go_down"	"fight"	"at"	"the"	"location"	"and"	"the"	"day"	"the"	"regiment"	"had"	"assault"	"the"	"beachhead"	"of"	"leyte"	"during"	"world_war_2"	"the"	"group"	"be"	"not"	"in"	"the"	"best"	"fighting"	"condition"	
"1:28:00::"	"on"	"18"	"merger"	"."	"merger_on"	"on_18"	"18_."	"o._merger_on"	"merger_on_18"	"on_18_."	"18_._∅"	"NNP"	"NN"	"IN"	"NN"	"CD"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"will"	"commence"	"its"	"deliberation"	"the"	"proposed"	"group"	"group"	"o."	"merger"	"on"	"june"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"due"	"15"	"also"	","	"also_due"	"due_15"	"15_,"	"be_due_also_due"	"also_due_15"	"due_15_,"	"15_,_1962"	"VB"	"RB"	"JJ"	"NN"	"JJ"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"be"	"a"	"nonresident"	"alien"	"and"	"a"	"of"	"puerto_rico"	"your"	"return"	"be_due"	"also"	"due"	"june"	"or"	"the"	"day"	"of"	"the"	"month"	"after"	"the"	"close"	"of"	"your"	"fiscal_year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"until"	"15"	"time"	"for"	"time_until"	"until_15"	"15_for"	"of_time_until"	"time_until_15"	"until_15_for"	"15_for_file"	"IN"	"NN"	"IN"	"NN"	"CD"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"citizen"	"of"	"the"	"united_states"	"who"	"on"	"april"	"be"	"not"	"in"	"the"	"united_states"	"puerto_rico"	"are"	"allow"	"an"	"extension"	"of"	"time"	"until"	"june"	"for"	"file"	"the"	"return"	"for"	"the"	"preceding"	"calendar_year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"on"	"6"	"∅"	","	"∅_on"	"on_6"	"6_,"	"∅_∅_on"	"∅_on_6"	"on_6_,"	"6_,_1958"	"ε"	"ε"	"IN"	"NN"	"JJ"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"june"	"group"	"submit"	"its"	"objection"	"to"	"the"	"government"	"proposal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"in"	","	"early"	"the"	"early_in"	"in_,"	",_the"	"∅_early_in"	"early_in_,"	"in_,_the"	",_the_discovery"	"ε"	"RB"	"IN"	"NN"	"ε"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"june"	"the"	"discovery"	"pass"	"location"	"southern"	"greenland"	"and"	"in"	"mid-june"	"enter"	"the"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"only"	","	"was"	"only"	"was_only"	"only_,"	",_only"	"it_was_only"	"was_only_,"	"only_,_only"	",_only_festival"	"PRP"	"VBD"	"RB"	"NN"	"ε"	"RB"	"NN"	"at"	"the"	"man"	"nod"	"beside"	"her"	"a"	"man"	"with"	"weather"	"crack"	"furrow"	"into"	"his"	"lean"	"cheek"	"with"	"powdery"	"pale"	"eye"	"reflect"	"all"	"the"	"drought"	"he"	"had"	"see"	"reflect"	"the"	"sky"	"and"	"the"	"drought"	"which"	"must"	"follow"	"now"	"in"	"august"	"yes"	"with"	"eye"	"predict"	"the"	"drought"	"here"	"it"	"was"	"only"	"only"	"festival"	"time"	"again"	"and"	"thought"	"of"	"person"	"would"	"not"	"leave"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"early"	";"	"in"	"or"	"in_early"	"early_;"	";_or"	"screen_door_in_early"	"in_early_;"	"early_;_or"	";_or_the"	"NN"	"IN"	"JJ"	"NN"	"ε"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"if"	"he"	"be"	"not"	"there"	"they"	"would"	"have"	"miss"	"him"	"as"	"they"	"have"	"miss"	"the"	"sound"	"of"	"bee"	"buzz"	"against"	"the"	"screen_door"	"in"	"early"	"june"	"or"	"the"	"smell"	"of"	"thick"	"tomato_paste"	"the"	"ripe"	"smell"	"that"	"be"	"both"	"sweet"	"and"	"sour"	"rise_up"	"from"	"aluminum"	"tray"	"wrapped"	"in"	"fly"	"dotted"	"cheesecloth"	
"1:28:00::"	"last"	"in"	"match"	"dublin"	"match_last"	"last_in"	"in_dublin"	"canada_cup_match_last"	"match_last_in"	"last_in_dublin"	"in_dublin_."	"NNP"	"NN"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"golf"	"leading"	"money"	"winner"	"in"	"and"	"person"	"will"	"be"	"salute"	"the"	"winning"	"team"	"in"	"the"	"canada_cup"	"match"	"last"	"june"	"in"	"dublin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"on"	"26"	"admission"	","	"admission_on"	"on_26"	"26_,"	"terminal_admission_on"	"admission_on_26"	"on_26_,"	"26_,_1959"	"JJ"	"NN"	"IN"	"NN"	"CD"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"patient"	"be"	"a"	"year"	"old"	"white"	"male"	"accountant"	"who"	"the"	"group"	"for"	"his"	"fourth"	"and"	"terminal"	"admission"	"on"	"june"	"because"	"of"	"disabling"	"weakness"	"and"	"general"	"debility"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
