"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"3:01:01::"	"the"	"officer"	","	"from"	",_the"	"the_officer"	"officer_from"	"person_,_the"	",_the_officer"	"the_officer_from"	"officer_from_chicago"	"NNP"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"there"	"be"	"an"	"occasional"	"chuckle"	"about"	"person"	"the"	"jewish"	"officer"	"from"	"chicago"	"sing"	"tearfully"	"about"	"the"	"old"	"sod"	"no_one"	"really"	"think"	"it"	"be"	"strange"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:01::"	"the"	"cemetery"	"in"	"in"	"in_the"	"the_cemetery"	"cemetery_in"	"epitaph_in_the"	"in_the_cemetery"	"the_cemetery_in"	"cemetery_in_venice"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"feeling_of_identity"	"with"	"person"	"was"	"crown"	"by"	"her"	"discovery"	"the"	"coincidence"	"that"	"person"	"epitaph"	"in"	"the"	"jewish"	"cemetery"	"in"	"venice"	"refer"	"to"	"her"	"as"	"the"	"sulamite"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:01::"	"its"	"subject"	"that"	"probably"	"that_its"	"its_subject"	"subject_probably"	"decide_that_its"	"that_its_subject"	"its_subject_probably"	"subject_probably_would"	"VB"	"IN"	"PRP$"	"JJ"	"NN"	"RB"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"so"	"pleased"	"with"	"quality"	"of"	"her"	"biographical"	"study"	"of"	"person"	"that"	"he"	"consider"	"submit"	"to"	"the"	"century_magazine"	"or"	"harper"	"but"	"he"	"decide"	"that"	"its"	"jewish"	"subject"	"probably"	"would"	"not"	"interest"	"them"	"and"	"publish"	"it"	"in"	"the_messenger"	"so"	"our"	"reader"	"will"	"be"	"benefit"	"instead"	
"3:01:01::"	"their"	"identity"	"maintain"	"and"	"maintain_their"	"their_identity"	"identity_and"	"believe_in_maintain_their"	"maintain_their_identity"	"their_identity_and"	"identity_and_even"	"VB"	"VB"	"PRP$"	"JJ"	"NN"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nevertheless"	"most_of"	"the"	"teenager"	"interview"	"believe_in"	"maintain"	"their"	"jewish"	"identity"	"and"	"even"	"envision"	"join"	"a"	"synagogue"	"or"	"temple"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:01::"	"to"	"survival"	"threat"	","	"threat_to"	"to_survival"	"survival_,"	"a_threat_to"	"threat_to_survival"	"to_survival_,"	"survival_,_was"	"DT"	"NN"	"TO"	"JJ"	"NN"	"ε"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"intermarriage"	"which"	"is"	"generally"	"a"	"threat"	"to"	"jewish"	"survival"	"was"	"regard"	"not"	"with"	"horror"	"or"	"apprehension"	"but"	"with"	"a"	"kind"	"of"	"mild"	"clinical"	"disapproval"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:01::"	"about"	"culture"	"thing"	"in"	"thing_about"	"about_culture"	"culture_in"	"significant_thing_about"	"thing_about_culture"	"about_culture_in"	"culture_in_the"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"significant"	"thing"	"about"	"jewish"	"culture"	"in"	"the"	"old"	"teen"	"years"	"be"	"that"	"it"	"be"	"largely"	"college"	"oriented"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:01::"	"of"	"girl"	"percentage"	"who"	"percentage_of"	"of_girl"	"girl_who"	"the_percentage_of"	"percentage_of_girl"	"of_girl_who"	"girl_who_attend"	"DT"	"NN"	"IN"	"JJ"	"NN"	"WP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"jewish"	"girl"	"who"	"attend"	"college"	"be"	"almost"	"as"	"high"	"as"	"that"	"of"	"boy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:01::"	"teen"	"life"	"upper"	","	"upper_teen"	"teen_life"	"life_,"	"in_upper_teen"	"upper_teen_life"	"teen_life_,"	"life_,_the"	"IN"	"JJ"	"JJ"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"teen"	"jewish"	"life"	"the"	"non"	"college"	"group"	"tend"	"to"	"have"	"a"	"sense"	"of"	"marginality"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:01::"	"of"	"teenager"	"percentage"	"in"	"percentage_of"	"of_teenager"	"teenager_in"	"high_percentage_of"	"percentage_of_teenager"	"of_teenager_in"	"teenager_in_college"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"reason"	"the"	"high"	"percentage"	"of"	"jewish"	"teenager"	"in"	"college"	"be"	"that"	"a"	"great"	"many"	"urban"	"jew"	"are"	"enable"	"to"	"attend"	"local"	"college"	"at"	"modest"	"cost"	"0"	"0"	"0"	"0"	"0"	
"3:01:01::"	"self-enclosed"	"cosmos"	"vast"	"with"	"vast_self-enclosed"	"self-enclosed_cosmos"	"cosmos_with"	"a_vast_self-enclosed"	"vast_self-enclosed_cosmos"	"self-enclosed_cosmos_with"	"cosmos_with_relatively"	"DT"	"JJ"	"JJ"	"JJ"	"NN"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"be"	"noteworthy"	"about"	"this"	"large"	"group"	"of"	"teenager"	"be"	"that"	"although"	"attitude"	"hardly"	"differentiate"	"them"	"from"	"their"	"gentile"	"counterpart"	"they"	"lead"	"their"	"life"	"in"	"a"	"vast"	"self-enclosed"	"jewish"	"cosmos"	"with"	"relatively"	"little"	"contact"	"with"	"the"	"non"	"jewish"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
