"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"1:14:00::"	"local"	"."	"the"	"∅"	"the_local"	"local_."	"._∅"	"in_the_local"	"the_local_."	"local_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"in"	"a"	"depressed"	"area"	"may"	"have"	"few"	"enrollee"	"unless"	"there"	"be"	"some"	"apparent"	"prospect"	"for"	"better"	"employment"	"opportunity"	"afterwards"	"and"	"the"	"prospect"	"may"	"be"	"poor"	"if"	"the"	"training"	"is"	"aim"	"solely"	"at"	"job"	"in"	"the"	"local"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:02:common:02"	"and"	"leaders"	"national"	"will"	"national_and"	"and_leaders"	"leaders_will"	"that_national_and"	"national_and_leaders"	"and_leaders_will"	"leaders_will_be"	"IN"	"JJ"	"CC"	"JJ"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"continuation"	"and"	"expansion"	"of"	"the"	"shooting"	"development"	"will"	"assure"	"to"	"some"	"degree"	"that"	"national"	"and"	"community"	"leaders"	"will"	"be"	"make"	"aware"	"of"	"the"	"ever"	"growing"	"need"	"for"	"shooting"	"facility"	"and"	"activity"	"for"	"hunting"	"and"	"shooting"	"in"	"answer"	"to"	"public"	"demand"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"which"	"of"	"may"	"of_the"	"the_which"	"which_may"	"portion_of_the"	"of_the_which"	"the_which_may"	"which_may_be"	"NN"	"IN"	"DT"	"NN"	"WDT"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"guard"	"against"	"the"	"tyranny"	"of"	"a"	"numerical"	"majority"	"person"	"develop"	"his"	"theory"	"of"	"concurrent"	"majority"	"which"	"he"	"say"	"by"	"give"	"to"	"each"	"portion"	"the"	"community"	"which"	"may"	"be"	"unequally"	"affected"	"by"	"the"	"action"	"of"	"government"	"a"	"negative"	"on"	"the"	"prevent"	"all"	"partial"	"or"	"local"	"legislation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"rural"	"as"	"a"	"an"	"a_rural"	"rural_as"	"as_an"	"consider_a_rural"	"a_rural_as"	"rural_as_an"	"as_an_assemblage"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"a"	"rural"	"community"	"as"	"an"	"assemblage"	"of"	"inhabited"	"dwelling"	"whose"	"configuration"	"is"	"determine"	"by"	"the"	"location"	"and"	"size"	"of"	"the"	"arable"	"land_site"	"necessary"	"for"	"family"	"subsistence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"two"	"to"	"the"	"have"	"the_two"	"two_to"	"to_have"	"for_the_two"	"the_two_to"	"two_to_have"	"to_have_differ"	"IN"	"JJ"	"JJ"	"NN"	"TO"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"would"	"have"	"desirable"	"for"	"the"	"two"	"community"	"to"	"have"	"differ"	"only"	"in"	"respect"	"to"	"the"	"variable"	"being"	"investigate"	"the"	"degree"	"of"	"structure"	"in"	"teaching_method"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"her"	","	"in"	"religion"	"in_her"	"her_,"	",_religion"	",_in_her"	"in_her_,"	"her_,_religion"	",_religion_inconveniently"	"ε"	"IN"	"PRP$"	"NN"	"ε"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"fourteen"	"year"	"old"	"girl"	"from"	"middle_west"	"observe"	"wryly"	"that"	"in"	"her"	"community"	"religion"	"inconveniently"	"interfere"	"with"	"religious"	"activity"	"at_least"	"with"	"the"	"peripheral"	"activity"	"that"	"many"	"middle-class"	"jew"	"now"	"regard_as"	"religious"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:03::"	"christian"	"of"	"jerusalem"	"the"	"jerusalem_christian"	"christian_of"	"of_the"	"the_jerusalem_christian"	"jerusalem_christian_of"	"christian_of_the"	"of_the_apostolic"	"DT"	"NN"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"derive"	"utopian"	"from"	"the"	"jerusalem"	"christian"	"community"	"of"	"the"	"apostolic"	"age"	"or"	"from"	"its"	"medieval"	"successor"	"in"	"spirit"	"the"	"monastic"	"community"	"be"	"with"	"an"	"appropriate"	"shift"	"of"	"adjective"	"misleading"	"in"	"the"	"same"	"way"	"as"	"to"	"derive"	"it"	"from"	"plato"	"republic"	
"1:14:03::"	"monastic"	","	"the"	"be"	"the_monastic"	"monastic_,"	",_be"	",_the_monastic"	"the_monastic_,"	"monastic_,_be"	",_be_with"	"ε"	"DT"	"JJ"	"NN"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"derive"	"utopian"	"communism"	"from"	"the"	"jerusalem"	"christian"	"community"	"of"	"the"	"age"	"or"	"from"	"its"	"medieval"	"successor"	"in"	"spirit"	"the"	"monastic"	"community"	"be"	"with"	"an"	"appropriate"	"shift"	"of"	"adjective"	"misleading"	"in"	"the"	"same"	"way"	"as"	"to"	"derive"	"it"	"from"	"plato"	"republic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"natural"	"of"	"the"	"all"	"the_natural"	"natural_of"	"of_all"	"of_the_natural"	"the_natural_of"	"natural_of_all"	"of_all_possession"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"finally"	"the"	"conception"	"the"	"natural"	"community"	"of"	"all"	"possession"	"originate"	"with"	"the"	"stoic"	"was"	"firmly"	"fix"	"in"	"a"	"tradition"	"by"	"person"	"time"	"although"	"it"	"was"	"not"	"accept"	"by"	"all"	"the"	"theologian"	"philosopher"	"of"	"the"	"middle_ages"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"because"	"not"	"∅"	"severalty"	"∅_because"	"because_not"	"not_severalty"	"∅_∅_because"	"∅_because_not"	"because_not_severalty"	"not_severalty_of"	"ε"	"ε"	"IN"	"NN"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"community"	"not"	"severalty"	"of"	"property"	"be"	"the"	"law_of_nature"	"no"	"man"	"can"	"assert"	"an"	"absolutely"	"unalterable"	"right"	"to"	"what"	"be"	"his"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"which"	"of"	"in"	"possession"	"in_which"	"which_of"	"of_possession"	"conception_in_which"	"in_which_of"	"which_of_possession"	"of_possession_living"	"NN"	"RB"	"RB"	"NN"	"IN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"all"	"the"	"respect"	"just"	"indicate"	"communism"	"differ"	"from"	"previous"	"conception"	"in"	"which"	"community"	"of"	"possession"	"living"	"play"	"a"	"role"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"location"	"on"	"the"	"the"	"the_location"	"location_on"	"on_the"	"to_the_location"	"the_location_on"	"location_on_the"	"on_the_location"	"TO"	"DT"	"NNP"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"february"	"person"	"and"	"person"	"send"	"to"	"the"	"location"	"community"	"on"	"the"	"location"	"to"	"see"	"about"	"rent_out"	"ranch"	"the"	"company"	"had"	"purchase"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
