"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"
"2:32:00::"	"will"	"60"	","	"home_runs"	",_will"	"will_60"	"60_home_runs"	"understandably_,_will"	",_will_60"	"will_60_home_runs"	"60_home_runs_for"	"RB"	"ε"	"MD"	"VB"	"CD"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"neither"	"mantle"	"nor"	"understandably"	"will"	"predict"	"home_runs"	"for"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"was"	"that"	"it"	"kohnstamm-negative"	"it_was"	"was_that"	"that_kohnstamm-negative"	"∅_it_was"	"it_was_that"	"was_that_kohnstamm-negative"	"that_kohnstamm-negative_subjects"	"ε"	"PRP"	"VBD"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was"	"predict"	"that"	"kohnstamm-negative"	"subjects"	"would"	"adhere"	"to"	"more"	"liberal"	"concretistic"	"reports"	"of_what"	"the"	"ambiguous"	"figure"	"look_like"	"as"	"reflect"	"their"	"hesitancy"	"about"	"take_a_chance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"at"	"chicago"	"the"	"chicago_,"	",_at"	"at_the"	",_chicago_,"	"chicago_,_at"	",_at_the"	"at_the_closing"	"ε"	"NNP"	"ε"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"present"	"recovery"	"movement"	"will"	"gather"	"steady"	"momentum"	"to"	"lift"	"the"	"economy"	"to"	"a"	"new"	"historic"	"by"	"this"	"autumn"	"beryl_w._sprinkel"	"economist"	"of"	"harris_trust"	"savings_bank"	"chicago"	"predict"	"at"	"the"	"closing"	"session"	"here"	"tuesday"	"of"	"investment_bankers"	"assn."	"california"	"group"	"conference"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"that_is"	"for"	"economy"	"1970"	"economy_that_is"	"that_is_for"	"for_1970"	"billion_economy_that_is"	"economy_that_is_for"	"that_is_for_1970"	"for_1970_and"	"CD"	"NN"	"RB"	"VB"	"IN"	"CD"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"we"	"look_to"	"the"	"economy"	"that_is"	"predict"	"for"	"and"	"the"	"increase"	"of"	"about"	"in"	"consumer"	"expenditures"	"that"	"will"	"be"	"require"	"to"	"reach"	"that"	"goal"	"management"	"can"	"well"	"be"	"restless"	"about"	"how"	"this"	"tremendous"	"volume"	"and"	"number"	"of"	"new"	"products"	"will"	"be"	"create"	"and"	"market"	"peterson"	"say"	
"2:32:00::"	"hodges"	":"	"``"	"'"	"``_hodges"	"hodges_:"	":_'"	"∅_``_hodges"	"``_hodges_:"	"hodges_:_'"	":_'_i"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"predict"	"i"	"think"	"we"	"will"	"see"	"more"	"foreign"	"firms"	"come"	"to"	"the"	"u._s."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"before"	"that"	"him"	"big"	"him_before"	"before_that"	"that_big"	"of_him_before"	"him_before_that"	"before_that_big"	"that_big_year"	"IN"	"PRP"	"IN"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"still"	"not"	"convinced"	"though"	"i"	"have"	"see"	"more"	"of"	"him"	"before"	"predict"	"that"	"big"	"year"	"for"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"some"	"the"	"∅"	"administration"	"∅_some"	"some_the"	"the_administration"	"∅_∅_some"	"∅_some_the"	"some_the_administration"	"the_administration_will"	"ε"	"ε"	"DT"	"VB"	"DT"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"predict"	"the"	"administration"	"will"	"settle_down"	"during"	"and"	"iron_out"	"the"	"rough"	"edges"	"which"	"it"	"has"	"have"	"thus_far"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"who"	"that"	"many"	"should"	"many_who"	"who_that"	"that_should"	"be_many_who"	"many_who_that"	"who_that_should"	"that_should_barnett"	"VB"	"JJ"	"WP"	"VB"	"WDT"	"MD"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"many"	"who"	"predict"	"that"	"should"	"barnett"	"decide"	"to"	"call"	"the"	"legislature"	"back"	"into"	"special"	"session"	"it"	"will"	"really"	"throw"	"his"	"administration"	"into"	"a"	"scramble"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"will"	"that"	"nobody"	"the"	"nobody_will"	"will_that"	"that_the"	"certainly_nobody_will"	"nobody_will_that"	"will_that_the"	"that_the_next"	"RB"	"NN"	"MD"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"certainly"	"will"	"predict"	"that"	"the"	"next"	"time"	"the"	"lawmakers"	"come_back"	"together"	"barnett"	"will"	"be_able_to"	"enjoy"	"a"	"re-enactment"	"of"	"the"	"strange"	"but"	"successful"	"honeymoon"	"he"	"have"	"in"	"the"	"legislative"	"session"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"carvey"	"1962"	","	"will"	",_carvey"	"carvey_1962"	"1962_will"	"spokesmen_,_carvey"	",_carvey_1962"	"carvey_1962_will"	"1962_will_be"	"NNS"	"ε"	"NNP"	"VB"	"CD"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"like"	"most"	"spokesmen"	"carvey"	"predict"	"will"	"be"	"a"	"tremendously"	"partisan"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
