"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"
"2:40:02::"	"with"	"dance"	"concerned"	"from"	"concerned_with"	"with_dance"	"dance_from"	"also_concerned_with"	"concerned_with_dance"	"with_dance_from"	"dance_from_pedestrian"	"RB"	"JJ"	"IN"	"VB"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"he"	"also"	"concerned"	"with"	"free"	"dance"	"from"	"pedestrian"	"modes"	"of"	"activity"	"merce_cunningham"	"has"	"select"	"a"	"very"	"different"	"method"	"for"	"achieve"	"his"	"aim"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"clayton"	"himself"	"∅"	"from"	"∅_clayton"	"clayton_himself"	"himself_from"	"∅_∅_clayton"	"∅_clayton_himself"	"clayton_himself_from"	"himself_from_the"	"ε"	"ε"	"NNP"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"free"	"himself"	"from"	"the"	"embrace"	"and"	"step"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"on"	"defendants"	"a"	"defendants_was"	"was_on"	"on_a"	"eight_defendants_was"	"defendants_was_on"	"was_on_a"	"on_a_directed_verdict"	"CD"	"NNS"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"eight"	"defendants"	"was"	"free"	"on"	"a"	"directed_verdict"	"of"	"acquittal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:unpaid:00"	"of"	"``"	"excess"	"government"	"excess_of"	"of_``"	"``_government"	"an_excess_of"	"excess_of_``"	"of_``_government"	"``_government_''"	"DT"	"NN"	"IN"	"JJ"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"has"	"your"	"attitude"	"toward"	"benefit"	"encourage"	"an"	"excess"	"of"	"free"	"government"	"work"	"in"	"your"	"plant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"too_much"	"buying"	"offer"	"service"	"offer_too_much"	"too_much_buying"	"buying_service"	"purchasing_agent_offer_too_much"	"offer_too_much_buying"	"too_much_buying_service"	"buying_service_for"	"NN"	"VB"	"RB"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"is"	"your"	"offer"	"too_much"	"free"	"buying"	"service"	"for"	"employee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"his"	"hand"	"with"	"he"	"with_his"	"his_hand"	"hand_he"	"∅_with_his"	"with_his_hand"	"his_hand_he"	"hand_he_pull"	"ε"	"IN"	"PRP$"	"JJ"	"NN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"free"	"hand"	"he"	"pull"	"a"	"pad"	"and"	"pencil"	"toward"	"him"	"and"	"begin"	"to"	"make"	"note"	"as"	"he"	"listen"	"say"	"uh-huh"	"and"	"i"	"see"	"at"	"interval"	"0"	"0"	"0"	
"3:00:00::"	"of"	"discussion"	"instrument"	"?"	"instrument_of"	"of_discussion"	"discussion_?"	"natural_instrument_of"	"instrument_of_discussion"	"of_discussion_?"	"discussion_?_∅"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"of"	"the"	"efficiency"	"this"	"natural"	"instrument"	"of"	"free"	"discussion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"that"	"discussion"	","	"and"	",_that"	"that_discussion"	"discussion_and"	"to_be_sure_,_that"	",_that_discussion"	"that_discussion_and"	"discussion_and_debate"	"RB"	"ε"	"IN"	"JJ"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"must_not"	"forget"	"that"	"free"	"discussion"	"and"	"debate"	"have"	"produce"	"beneficial"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"electron"	"of"	"and"	"of_the"	"the_electron"	"electron_and"	"interaction_of_the"	"of_the_electron"	"the_electron_and"	"electron_and_atomic"	"NN"	"IN"	"DT"	"JJ"	"NN"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"to"	"the"	"basic"	"program"	"in"	"wavelength"	"standard"	"solid-state"	"physics"	"interaction"	"of"	"the"	"free"	"electron"	"and"	"atomic"	"constant"	"which"	"be"	"necessary"	"to"	"provide"	"the"	"foundation"	"for"	"technological"	"progress"	"the"	"group"	"has"	"strengthen"	"its"	"activity"	"in"	"laboratory"	"astrophysics"	
"3:00:02::"	"of"	"soil"	"particle"	"may"	"particle_of"	"of_soil"	"soil_may"	"the_particle_of"	"particle_of_soil"	"of_soil_may"	"soil_may_be"	"DT"	"NN"	"IN"	"JJ"	"NN"	"MD"	"VB"	"0"	"0"	"the"	"crude"	"picture"	"of"	"the"	"detergency"	"process"	"thus_far"	"develop"	"can"	"be"	"represent"	"as"	"f"	"influence"	"of"	"mechanical"	"action"	"on"	"particle"	"of"	"free"	"soil"	"may"	"be"	"compare"	"to"	"that"	"of"	"kinetic_energy"	"on"	"a"	"molecular"	"scale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
