"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"
"1:14:01::"	"another"	"''"	"try"	"?"	"try_another"	"another_''"	"''_?"	"not_try_another"	"try_another_''"	"another_''_?"	"''_?_∅"	"RB"	"VB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"why"	"not"	"another"	"club"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"garden"	"take_over"	"'s"	"partial"	"'s_garden"	"garden_take_over"	"take_over_partial"	"employee_'s_garden"	"'s_garden_take_over"	"garden_take_over_partial"	"take_over_partial_care"	"NN"	"POS"	"NN"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"could"	"an"	"garden"	"club"	"take_over"	"partial"	"care"	"of"	"plant"	"grounds"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"their"	"and"	"when"	"charity"	"when_their"	"their_and"	"and_charity"	"identity_when_their"	"when_their_and"	"their_and_charity"	"and_charity_should"	"NN"	"WRB"	"PRP$"	"NN"	"CC"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"perplexing"	"question"	"remain"	"as"	"to"	"why"	"the"	"middle_class"	"turn_to"	"the"	"as"	"a"	"vehicle"	"of"	"social"	"identity"	"when"	"their"	"club"	"and"	"charity"	"should"	"fill"	"the"	"same"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"hunter"	"were"	"teen"	"initially"	"teen_hunter"	"hunter_were"	"were_initially"	"∅_teen_hunter"	"teen_hunter_were"	"hunter_were_initially"	"were_initially_sponsor"	"ε"	"JJ"	"NN"	"NN"	"VBD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hunter"	"club"	"were"	"initially"	"sponsor"	"by"	"affiliated"	"member"	"of"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"hunter"	","	"teen"	"shooting"	"teen_hunter"	"hunter_,"	",_shooting"	"organize_teen_hunter"	"teen_hunter_,"	"hunter_,_shooting"	",_shooting_program"	"VB"	"JJ"	"NN"	"NN"	"ε"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"would"	"you"	"like"	"organize"	"teen"	"hunter"	"club"	"shooting"	"program"	"and"	"have"	"information"	"on"	"season"	"include"	"six"	"month"	"of"	"hunting"	"with"	"unlimited"	"game"	"bag"	"on"	"shooting_preserve"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"st._louis"	"has"	"the"	"be"	"the_st._louis"	"st._louis_has"	"has_be"	",_the_st._louis"	"the_st._louis_has"	"st._louis_has_be"	"has_be_below"	"ε"	"DT"	"NN"	"NN"	"VBZ"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"club"	"has"	"be"	"below"	"on"	"may"	"just"	"four"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"'s"	","	"top"	",_the"	"the_'s"	"'s_top"	"triumph_,_the"	",_the_'s"	"the_'s_top"	"'s_top_since"	"NN"	"ε"	"DT"	"NN"	"POS"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"be"	"on"	"may"	"but"	"end"	"with"	"the"	"club"	"top"	"since"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"group"	"that"	"only"	"get_off_the_ground"	"only_group"	"group_that"	"that_get_off_the_ground"	"the_only_group"	"only_group_that"	"group_that_get_off_the_ground"	"that_get_off_the_ground_to"	"DT"	"JJ"	"NNP"	"NN"	"IN"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"group"	"club"	"that"	"get_off_the_ground"	"to"	"a"	"hot"	"start"	"and"	"make"	"a"	"runaway"	"of"	"the"	"race"	"be"	"the"	"group"	"team"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"group"	"to"	"a"	"new_york"	"a_group"	"group_to"	"to_new_york"	"of_a_group"	"a_group_to"	"group_to_new_york"	"to_new_york_."	"IN"	"DT"	"NNP"	"NN"	"TO"	"NN"	"ε"	"old"	"person"	"a"	"prominent"	"corporation"	"lawyer"	"with"	"a"	"sport"	"background"	"is"	"generally"	"recognize"	"as"	"the"	"man"	"most"	"responsible_for"	"the"	"imminent"	"return"	"of"	"a"	"group"	"to"	"new_york"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"each"	"in"	"would_like"	"the"	"would_like_each"	"each_in"	"in_the"	"owner_would_like_each"	"would_like_each_in"	"each_in_the"	"in_the_fourteen"	"NN"	"VB"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"would_like"	"each"	"club"	"in"	"the"	"fourteen"	"team"	"league"	"to"	"play"	"a"	"home"	"and"	"home"	"series"	"with"	"team"	"in"	"its"	"division"	"plus"	"two"	"game"	"against"	"team"	"in"	"the"	"division"	
"1:14:01::"	"the"	"down"	"for"	"from"	"for_the"	"the_down"	"down_from"	"chore_for_the"	"for_the_down"	"the_down_from"	"down_from_location"	"NN"	"IN"	"DT"	"NN"	"RB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"person"	"and"	"person"	"do"	"mound"	"chore"	"for"	"the"	"club"	"down"	"from"	"location"	"to"	"play"	"the"	"game"	"before"	"pay"	"customer"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
