"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"
"1:10:00::"	"and"	"be"	"novel"	"by_no_means"	"novel_and"	"and_be"	"be_by_no_means"	"'s_novel_and"	"novel_and_be"	"and_be_by_no_means"	"be_by_no_means_new"	"POS"	"NN"	"CC"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"ingredient"	"of"	"novel"	"and"	"story"	"be"	"by_no_means"	"new"	"with"	"him"	"and"	"most_of"	"the"	"problem"	"he"	"take_up"	"have"	"have"	"the"	"attention"	"of"	"author"	"before"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"a"	"''"	"finish"	"."	"finish_a"	"a_''"	"''_."	"to_finish_a"	"finish_a_''"	"a_''_."	"''_._∅"	"TO"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"say"	"she"	"to"	"finish"	"a"	"story"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"old"	","	"from"	"ballad"	"from_old"	"old_,"	",_ballad"	"them_from_old"	"from_old_,"	"old_,_ballad"	",_ballad_,"	"PRP"	"IN"	"JJ"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shakespeare"	"did"	"not"	"usually"	"invent"	"the"	"incident"	"his"	"play"	"but"	"borrow"	"them"	"from"	"old"	"story"	"ballad"	"and"	"play"	"weave"	"them"	"together"	"and"	"then"	"breathe"	"into"	"them"	"his"	"spark"	"of"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"of"	"take"	"the"	"take_the"	"the_of"	"of_the"	"he_take_the"	"take_the_of"	"the_of_the"	"of_the_pound"	"PRP"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"the"	"story"	"of"	"the"	"pound"	"of"	"flesh"	"and"	"had"	"to"	"fasten"	"it"	"on"	"someone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"remarkable"	"of"	"the"	"the"	"the_remarkable"	"remarkable_of"	"of_the"	"in_the_remarkable"	"the_remarkable_of"	"remarkable_of_the"	"of_the_attraction"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"into"	"the"	"texture"	"of"	"this"	"tapestry"	"of"	"history"	"human"	"drama"	"person"	"as"	"every"	"artist"	"delight"	"to"	"do"	"weave"	"strand"	"of"	"her"	"intuitive"	"insight"	"into"	"human"	"nature"	"and"	"especially"	"in"	"the"	"remarkable"	"story"	"of"	"the"	"attraction"	"and"	"conflict"	"between"	"two"	"so"	"disparate"	"and"	"fervent"	"character"	"as"	"this"	"pair"	"into"	"the"	"relations"	"of"	"man"	"and"	"woman"	"in"	"their"	"relations"	"she"	"be"	"the"	"giver"	"and"	"he"	"the"	"receiver"	"nay"	"the"	"demander"	
"1:10:00::"	"popular"	"of"	"that"	"the"	"that_popular"	"popular_of"	"of_the"	"in_that_popular"	"that_popular_of"	"popular_of_the"	"of_the_person"	"RB"	"RB"	"JJ"	"NN"	"IN"	"DT"	"NNP"	"father"	"and"	"mother"	"and"	"each_other"	"say"	"person"	"on"	"the"	"first"	"page"	"of"	"person"	"little_women"	"and"	"i"	"do"	"think"	"that"	"family"	"be"	"the"	"most"	"beautiful"	"thing"	"in"	"all"	"the"	"world"	"burst_out"	"person"	"some"	"five_hundred"	"page"	"later"	"in"	"that"	"popular"	"of"	"the"	"person"	"family"	"which"	"had"	"first"	"appear"	"when"	"person"	"be"	"eight"	"and"	"the"	"person"	"family"	"as"	"it"	"develop"	"bear"	"a"	"striking"	"resemblance"	"to"	"the"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"a"	","	"∅"	"no_doubt"	"∅_a"	"a_,"	",_no_doubt"	"∅_∅_a"	"∅_a_,"	"a_,_no_doubt"	",_no_doubt_apocryphal"	"ε"	"ε"	"DT"	"NN"	"ε"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"story"	"no_doubt"	"apocryphal"	"for"	"person"	"himself"	"deny"	"it"	"have"	"him"	"sport"	"a"	"monocle"	"in"	"those"	"village"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:04::"	"the"	"of"	"be"	"his"	"be_the"	"the_of"	"of_his"	"this_be_the"	"be_the_of"	"the_of_his"	"of_his_last"	"DT"	"VB"	"DT"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"the"	"story"	"of"	"his"	"last"	"tragic"	"voyage"	"as_nearly_as"	"we"	"be"	"able"	"or"	"ever"	"probably"	"will"	"be"	"able"	"to"	"determine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"the"	"of"	","	"a"	",_the"	"the_of"	"of_a"	"the_lascivious_interlude_,_the"	",_the_of"	"the_of_a"	"of_a_nymphomaniac"	"NN"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"age"	"but"	"still"	"precocious"	"french"	"feline"	"enfant_terrible"	"person"	"has"	"succeed"	"in"	"shock"	"jaded"	"old"	"again"	"this"	"time"	"with"	"a"	"sexy"	"ballet"	"scenario"	"called"	"the_lascivious_interlude"	"the"	"story"	"of"	"a"	"nymphomaniac"	"triphammer"	"operator"	"who"	"fall_in_love"	"hopelessly"	"in_love"	"with"	"a"	"middle-aged"	"steam_shovel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:04::"	"true"	"of"	"the"	"person"	"the_true"	"true_of"	"of_person"	"of_the_true"	"the_true_of"	"true_of_person"	"of_person_you"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"you"	"pile"	"your"	"guy"	"on"	"the"	"bonfire"	"tomorrow"	"night"	"wonder"	"how"	"much"	"of"	"the"	"true"	"story"	"of"	"person"	"you"	"will"	"remember"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
