"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"
"1:04:01::"	"and"	"is"	"program"	"orient"	"program_and"	"and_is"	"is_orient"	"education_program_and"	"program_and_is"	"and_is_orient"	"is_orient_to"	"NN"	"NN"	"CC"	"NN"	"VB"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"planning"	"of"	"education"	"program"	"and"	"course"	"is"	"orient"	"to"	"local"	"employer"	"need"	"for"	"trained_worker"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"future"	"."	"its"	"∅"	"its_future"	"future_."	"._∅"	"predict_its_future"	"its_future_."	"future_._∅"	"._∅_∅"	"VB"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"i"	"be"	"here"	"do"	"be"	"to"	"report"	"on"	"the"	"gyration"	"of"	"the"	"struggle"	"a"	"struggle"	"that"	"to"	"self"	"redefinition"	"to"	"see"	"if"	"we"	"can"	"predict"	"its"	"future"	"course"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"adult_education"	","	"∅"	"work-study_program"	"∅_adult_education"	"adult_education_,"	",_work-study_program"	"∅_∅_adult_education"	"∅_adult_education_,"	"adult_education_,_work-study_program"	",_work-study_program_of"	"ε"	"ε"	"NN"	"NN"	"ε"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"course"	"work-study_program"	"of"	"various"	"sort"	"these"	"be"	"all"	"evidence"	"of"	"a"	"continuing"	"interest"	"of"	"the"	"school"	"in"	"further"	"educational"	"opportunity"	"for"	"out-of-school"	"youth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"of"	"in"	"a"	"in_the"	"the_of"	"of_a"	"done_in_the"	"in_the_of"	"the_of_a"	"of_a_day"	"JJ"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"worry"	"him"	"this"	"inability"	"to"	"the"	"simple"	"thing"	"done"	"in"	"the"	"course"	"of"	"a"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"a"	"in"	"give"	"hebrew"	"give_a"	"a_in"	"in_hebrew"	"to_give_a"	"give_a_in"	"a_in_hebrew"	"in_hebrew_theology"	"VB"	"VB"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"following"	"year"	"father"	"undertake"	"to"	"give"	"a"	"course"	"in"	"hebrew"	"theology"	"to"	"group"	"student"	"and"	"this"	"bring"	"to"	"the"	"person"	"house"	"a"	"group"	"of"	"bright"	"young"	"jew"	"who"	"had"	"come"	"to"	"baltimore"	"to"	"study"	"and"	"who"	"enjoy"	"being"	"feed"	"and"	"mother"	"by"	"mamma"	"and"	"entertain"	"by"	"person"	"and"	"person"	"who"	"play"	"and"	"sing"	"for"	"them"	"in"	"the"	"upstairs"	"sitting_room"	"on"	"sunday"	"evening"	
"1:04:00::"	"the"	"of"	"to"	"the"	"to_the"	"the_of"	"of_the"	"us_to_the"	"to_the_of"	"the_of_the"	"of_the_proceedings"	"PRP"	"TO"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"bring"	"to"	"the"	"course"	"of"	"the"	"proceedings"	"in"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"daily"	"of"	"the"	"work"	"the_daily"	"daily_of"	"of_work"	"during_the_daily"	"the_daily_of"	"daily_of_work"	"of_work_."	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"use"	"of"	"roleplaying"	"for"	"evaluation"	"illustrate"	"how"	"this"	"procedure"	"can"	"be"	"in"	"real_life"	"situation"	"without"	"special"	"equipment"	"or"	"special"	"assistant"	"during"	"the"	"daily"	"course"	"of"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"of"	"in"	"our"	"in_the"	"the_of"	"of_our"	"∅_in_the"	"in_the_of"	"the_of_our"	"of_our_talk"	"ε"	"IN"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"course"	"of"	"our"	"talk"	"person"	"mention"	"that"	"he"	"spend"	"part"	"of"	"each_week"	"study"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"of"	","	"music"	",_the"	"the_of"	"of_music"	"way_,_the"	",_the_of"	"the_of_music"	"of_music_in"	"NN"	"ε"	"DT"	"NN"	"IN"	"NN"	"IN"	"to"	"write_about"	"person"	"to"	"honor"	"his"	"anniversary"	"for"	"the"	"april"	"issue"	"of"	"sovietskaya_muzyka"	"is"	"accept"	"with"	"pleasure"	"because"	"i"	"admire"	"the"	"music"	"of"	"person"	"and"	"with"	"sober"	"purpose"	"because"	"the"	"development"	"of"	"person"	"personify"	"many"	"way"	"the"	"course"	"music"	"in"	"the"	"union_of_soviet_socialist_republics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"of_this"	"in"	","	"in_the"	"the_of_this"	"of_this_,"	"∅_in_the"	"in_the_of_this"	"the_of_this_,"	"of_this_,_they"	"ε"	"IN"	"DT"	"NN"	"RB"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"course"	"of_this"	"they"	"had"	"fire"	"on"	"us"	"but"	"i"	"have"	"no"	"memory"	"of_that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
