"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"
"1:08:00::"	"the"	"and"	"of"	"its"	"of_the"	"the_and"	"and_its"	"dimensioning_of_the"	"of_the_and"	"the_and_its"	"and_its_chamber"	"JJ"	"IN"	"DT"	"NN"	"CC"	"PRP$"	"NN"	"electrocardiograph"	"primarily"	"indicate"	"irregularity"	"in"	"the"	"heartbeat"	"but"	"today"	"technique"	"allow"	"exact"	"measurement"	"of"	"the"	"flow"	"of"	"blood"	"through"	"the"	"aorta"	"dimensioning"	"of"	"the"	"and"	"its"	"chamber"	"and"	"a"	"much"	"more"	"detailed"	"study"	"of"	"each"	"heartbeat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"the"	"by"	"of"	"place"	"of_the"	"the_by"	"by_place"	"thickness_of_the"	"of_the_by"	"the_by_place"	"by_place_small"	"NN"	"IN"	"DT"	"NN"	"IN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sonar"	"can"	"be"	"use"	"measure"	"the"	"thickness"	"of"	"the"	"heart"	"by"	"place"	"small"	"crystal"	"transducer"	"at"	"opposite"	"side"	"of"	"the"	"heart"	"or"	"blood_vessel"	"and"	"excite"	"one"	"with"	"some"	"pulsed"	"ultrasonic"	"energy"	
"1:08:00::"	"the"	"or"	"of"	"blood_vessel"	"of_the"	"the_or"	"or_blood_vessel"	"side_of_the"	"of_the_or"	"the_or_blood_vessel"	"or_blood_vessel_and"	"NN"	"IN"	"DT"	"NN"	"CC"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sonar"	"can"	"be"	"use"	"to"	"measure"	"the"	"thickness"	"of"	"the"	"heart"	"by"	"place"	"crystal"	"transducer"	"at"	"opposite"	"side"	"of"	"the"	"heart"	"or"	"blood_vessel"	"and"	"excite"	"one"	"with"	"some"	"pulsed"	"ultrasonic"	"energy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"the"	"itself"	"of"	"."	"of_the"	"the_itself"	"itself_."	"power_of_the"	"of_the_itself"	"the_itself_."	"itself_._∅"	"NN"	"IN"	"DT"	"NN"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"still"	"more"	"sophisticated"	"system"	"has"	"been"	"for"	"determine"	"the"	"effective"	"power"	"of"	"the"	"heart"	"itself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"his"	"suddenly"	"∅"	"open"	"∅_his"	"his_suddenly"	"suddenly_open"	"∅_∅_his"	"∅_his_suddenly"	"his_suddenly_open"	"suddenly_open_to"	"ε"	"ε"	"PRP$"	"NN"	"RB"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"heart"	"suddenly"	"open"	"to"	"joy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"my"	"can"	"in"	"i"	"in_my"	"my_can"	"can_i"	"only_in_my"	"in_my_can"	"my_can_i"	"can_i_make"	"RB"	"IN"	"PRP$"	"NN"	"MD"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"think"	"in"	"my"	"heart"	"can"	"i"	"make"	"the"	"world"	"hang_together"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"most"	"."	"the"	"∅"	"the_most"	"most_."	"._∅"	"reach_the_most"	"the_most_."	"most_._∅"	"._∅_∅"	"VB"	"RB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"the"	"two"	"cherished"	"achievement"	"the"	"elderly"	"hitless"	"pitching"	"probably"	"reach"	"the"	"most"	"heart"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"thud"	"feel"	"heavily"	"feel_his"	"his_thud"	"thud_heavily"	"person_feel_his"	"feel_his_thud"	"his_thud_heavily"	"thud_heavily_with"	"NNP"	"VB"	"PRP$"	"NN"	"VB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"his"	"heart"	"thud"	"heavily"	"with"	"relief"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"'"	"for"	"'s"	"any"	"'s_'"	"'_for"	"for_any"	"person_'s_'"	"'s_'_for"	"'_for_any"	"for_any_fate"	"NNP"	"POS"	"ε"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"no_longer"	"have"	"person"	"person"	"heart"	"for"	"any"	"fate"	"either"	"i"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"''"	"``"	","	"``_the"	"the_''"	"''_,"	"∅_``_the"	"``_the_''"	"the_''_,"	"''_,_i"	"ε"	"ε"	"DT"	"NN"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"heart"	"i"	"say"	"finally"	"be"	"now"	"either"	"in"	"the"	"throat"	"or"	"the"	"mouth"	"or"	"the"	"stomach"	"or"	"the"	"shoe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
