"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"3:00:00::"	"be"	"now"	"that"	"of"	"that_be"	"be_now"	"now_of"	"street_that_be"	"that_be_now"	"be_now_of"	"now_of_traffic"	"NN"	"RB"	"VB"	"JJ"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"that"	"be"	"full"	"now"	"of"	"traffic"	"and"	"parked"	"car"	"then"	"and"	"for"	"many"	"year"	"drowse"	"on"	"an"	"august"	"afternoon"	"in"	"the"	"shade"	"of"	"the"	"curbside"	"tree"	"and"	"silence"	"be"	"a"	"weight"	"almost"	"palpable"	"in"	"the"	"air"	
"5:00:01:whole:00"	"a"	"force"	"and"	"of"	"and_a"	"a_force"	"force_of"	"night_and_a"	"and_a_force"	"a_force_of"	"force_of_1000"	"NN"	"CC"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"enemy"	"had"	"filter"	"across"	"river"	"during"	"the"	"night"	"and"	"a"	"full"	"force"	"of"	"man"	"armed"	"with"	"russian"	"machine_gun"	"attack"	"the"	"hold"	"by"	"person"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:whole:00"	"a"	"division"	"command"	","	"command_a"	"a_division"	"division_,"	",_command_a"	"command_a_division"	"a_division_,"	"division_,_and"	"ε"	"VB"	"DT"	"JJ"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"finish"	"the"	"war"	"a"	"major-general"	"command"	"a"	"full"	"division"	"and"	"at"	"be"	"the"	"young"	"major-general"	"in"	"the"	"history"	"of"	"the"	"u.s."	"army"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:whole:00"	"of"	"information"	"lack"	"on"	"lack_of"	"of_information"	"information_on"	"a_lack_of"	"lack_of_information"	"of_information_on"	"information_on_the"	"DT"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_fact"	"one"	"of"	"the"	"major"	"reason"	"for"	"the"	"failure"	"of"	"ill-starred"	"expedition"	"appear"	"to"	"have"	"be"	"a"	"lack"	"of"	"full"	"information"	"on"	"the"	"extent"	"to"	"which"	"cuba"	"has"	"been"	"get"	"this"	"russian"	"military"	"equipment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:whole:00"	"the"	"extent"	"once"	"of_this"	"once_the"	"the_extent"	"extent_of_this"	"∅_once_the"	"once_the_extent"	"the_extent_of_this"	"extent_of_this_russian"	"ε"	"RB"	"DT"	"JJ"	"NN"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"full"	"extent"	"of_this"	"russian"	"military"	"penetration"	"of"	"cuba"	"be"	"clear"	"person"	"announce"	"we"	"would"	"take"	"whatever"	"action"	"be"	"appropriate"	"to"	"prevent"	"this"	"even"	"if"	"we"	"have"	"to"	"go"	"it"	"alone"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"know"	"well"	"he"	"what"	"he_know"	"know_well"	"well_what"	"for_he_know"	"he_know_well"	"know_well_what"	"well_what_must"	"IN"	"PRP"	"VB"	"RB"	"RB"	"WP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"when"	"he"	"be"	"alone"	"again"	"in"	"the"	"cabin"	"person"	"lower"	"head"	"into"	"his"	"arm"	"and"	"weep"	"for"	"he"	"know"	"full"	"well"	"what"	"must"	"be"	"do"	"what"	"in_the_end"	"would"	"be"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:whole:00"	"on"	"feed"	"sheep"	","	"sheep_on"	"on_feed"	"feed_,"	"and_sheep_on"	"sheep_on_feed"	"on_feed_,"	"feed_,_in"	"CC"	"NN"	"IN"	"JJ"	"NN"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"aid"	"in"	"cattle"	"and"	"sheep"	"on"	"full"	"feed"	"in"	"improve"	"feed"	"conversion"	"and"	"growth"	"in"	"reduce"	"bloat"	"and"	"founder"	"and"	"in"	"control"	"scours"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:whole:00"	"and"	"feed"	","	"earlier"	",_and"	"and_feed"	"feed_earlier"	"bloom_,_and"	",_and_feed"	"and_feed_earlier"	"feed_earlier_."	"NN"	"ε"	"CC"	"JJ"	"NN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gram"	"dynafac"	"per"	"head"	"daily"	"gram"	"of"	"premix"	"per"	"head"	"daily"	"for"	"growth"	"feed"	"conversion"	"bloom"	"and"	"full"	"feed"	"earlier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:whole:00"	"on"	"feed"	"lamb"	"earlier"	"lamb_on"	"on_feed"	"feed_earlier"	"get_lamb_on"	"lamb_on_feed"	"on_feed_earlier"	"feed_earlier_."	"VB"	"NN"	"IN"	"JJ"	"NN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gram"	"premix"	"per"	"head"	"per"	"day"	"for"	"promote"	"feed"	"conversion"	"and"	"get"	"lamb"	"on"	"full"	"feed"	"earlier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	","	"of"	"mercurial"	"prank"	"mercurial_,"	",_of"	"of_prank"	",_mercurial_,"	"mercurial_,_of"	",_of_prank"	"of_prank_and"	"ε"	"JJ"	"ε"	"JJ"	"JJ"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"person"	"whom"	"we"	"know"	"in"	"the"	"be"	"gay"	"witty"	"mercurial"	"full"	"of"	"prank"	"and"	"bonheur"	"and"	"very"	"capable"	"as"	"a"	"professional"	"musician"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"face"	"of"	"a"	"pimple"	"a_face"	"face_of"	"of_pimple"	"and_a_face"	"a_face_of"	"face_of_pimple"	"of_pimple_,"	"CC"	"DT"	"NN"	"JJ"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"under"	"the"	"tree"	"there"	"be"	"a"	"dead"	"redcoat"	"a"	"young"	"with"	"a"	"pasty"	"white"	"skin"	"and"	"a"	"face"	"full"	"of"	"pimple"	"who"	"had"	"take"	"a"	"rifle_ball"	"directly"	"between"	"the"	"eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
