"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"
"2:36:00::"	"were"	"with"	"contacts"	"top_executive"	"contacts_were"	"were_with"	"with_top_executive"	"452_contacts_were"	"contacts_were_with"	"were_with_top_executive"	"with_top_executive_personnel"	"CD"	"NNS"	"VBD"	"VB"	"IN"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"out"	"of"	"a"	"total"	"of"	"contacts"	"were"	"establish"	"with"	"top_executive"	"personnel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"."	"difficult"	"∅"	"difficult_to"	"to_."	"._∅"	"more_difficult_to"	"difficult_to_."	"to_._∅"	"._∅_∅"	"RBR"	"JJ"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whether"	"a"	"concept"	"analogous"	"to"	"the"	"principle"	"of"	"internal"	"responsibility"	"operate"	"a"	"nation"	"external"	"relations"	"be"	"less"	"obvious"	"and"	"more"	"difficult"	"to"	"establish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"in"	"agency"	"1949"	"agency_,"	",_in"	"in_1949"	"publication_agency_,"	"agency_,_in"	",_in_1949"	"in_1949_,"	"NN"	"NNP"	"ε"	"VB"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"armed_forces"	"publication"	"agency"	"establish"	"in"	"has"	"publish"	"since"	"january"	"the"	"united_states"	"armed_forces"	"medical_journal"	"as"	"a"	"triservice"	"publication"	"to"	"furnish"	"material"	"of"	"professional"	"interest"	"to"	"medical_department"	"officers"	"of"	"the"	"three"	"military_services"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"been"	"throughout"	"have"	"the"	"have_been"	"been_throughout"	"throughout_the"	"centers_have_been"	"have_been_throughout"	"been_throughout_the"	"throughout_the_city"	"NNS"	"VBP"	"VBN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"convenience"	"of"	"bundle"	"centers"	"have"	"been"	"establish"	"throughout"	"the"	"city"	"and"	"suburbs"	"where"	"the"	"donations"	"may"	"be"	"deposit"	"between"	"now"	"and"	"the"	"date"	"of"	"the"	"big"	"event"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"to"	"firmer"	"work"	"prices"	"work_to"	"to_firmer"	"firmer_prices"	"been_work_to"	"work_to_firmer"	"to_firmer_prices"	"firmer_prices_on"	"VBN"	"VB"	"TO"	"VB"	"JJR"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"martin"	"say"	"the"	"has"	"been"	"work"	"to"	"establish"	"firmer"	"prices"	"on"	"primary"	"products"	"which"	"may"	"involve"	"the"	"total"	"income"	"of"	"one"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"have"	","	"psychiatry"	"in_point_of_fact"	"psychiatry_have"	"have_,"	",_in_point_of_fact"	"and_psychiatry_have"	"psychiatry_have_,"	"have_,_in_point_of_fact"	",_in_point_of_fact_,"	"CC"	"NN"	"VBP"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"joint"	"investigations"	"linguistics"	"and"	"psychiatry"	"have"	"establish"	"in_point_of_fact"	"that"	"no_matter"	"what"	"the"	"subject"	"of"	"conversation"	"be"	"or"	"what"	"words"	"are_involved"	"it"	"be"	"impossible"	"for"	"people"	"to"	"talk"	"at_all"	"without"	"tell"	"over_and_over_again"	"what"	"sort_of"	"people"	"they"	"be"	"and_how"	"they"	"relate"	"to"	"the"	"rest"	"of"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"a"	"fight"	"national_park"	"fight_to"	"to_a"	"a_national_park"	"brave_fight_to"	"fight_to_a"	"to_a_national_park"	"a_national_park_in"	"JJ"	"NN"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"commend"	"senator_hart"	"his"	"brave"	"fight"	"to"	"establish"	"a"	"national_park"	"in"	"the"	"dunes"	"area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"that"	","	"true"	",_and"	"and_that"	"that_true"	"politically_,_and"	",_and_that"	"and_that_true"	"that_true_unity"	"RB"	"ε"	"CC"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"a"	"leader"	"must"	"nato"	"politically"	"and"	"establish"	"that"	"true"	"unity"	"about"	"which"	"it"	"has"	"always"	"talk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"order"	"the"	"executive"	"president"	"executive_order"	"order_the"	"the_president"	"an_executive_order"	"executive_order_the"	"order_the_president"	"the_president_'s"	"DT"	"NN"	"NN"	"VB"	"DT"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"an"	"important"	"assertion"	"of"	"national"	"leadership"	"field"	"he"	"has"	"issue"	"an"	"executive"	"order"	"establish"	"the"	"president"	"committee"	"on"	"juvenile_delinquency"	"and"	"crime"	"to"	"be"	"support"	"and"	"assist"	"by"	"a"	"citizens"	"advisory_council"	"of"	"recognized"	"authorities"	"on"	"juvenile"	"problems"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"have"	"the"	"examinations"	"fact"	"examinations_have"	"have_the"	"the_fact"	"vaginal_examinations_have"	"examinations_have_the"	"have_the_fact"	"the_fact_that"	"JJ"	"NNS"	"VBP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"extensive"	"observations"	"by"	"during"	"vaginal"	"examinations"	"have"	"establish"	"the"	"fact"	"that"	"a"	"single"	"finger"	"insert"	"along"	"the"	"anterior"	"wall"	"the"	"top"	"line"	"of"	"the"	"vagina"	"as"	"the"	"woman"	"lie"	"on"	"her"	"back"	"may"	"cause"	"a"	"great_deal"	"of"	"distress"	"in"	"a"	"virgin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
