"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"
"1:04:01::"	"the"	"in"	"between"	"jerusalem"	"between_the"	"the_in"	"in_jerusalem"	"fact_between_the"	"between_the_in"	"the_in_jerusalem"	"in_jerusalem_and"	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"there"	"be"	"a"	"contrast"	"even"	"more"	"than"	"a"	"hunger"	"for"	"fact"	"between"	"the"	"trial"	"in"	"jerusalem"	"and"	"those"	"in"	"moscow"	"and"	"new_york"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"historical"	"''"	"this"	"-"	"this_historical"	"historical_''"	"''_-"	"at_this_historical"	"this_historical_''"	"historical_''_-"	"''_-_say"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"not"	"an"	"individual"	"that"	"in"	"the"	"dock"	"at"	"this"	"historical"	"trial"	"say"	"person"	"and"	"not"	"the"	"nazi"	"regime"	"alone"	"but"	"anti-semitism"	"throughout"	"history"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"did"	"if"	"not"	"if_the"	"the_did"	"did_not"	"but_if_the"	"if_the_did"	"the_did_not"	"did_not_expose"	"CC"	"IN"	"DT"	"NN"	"VBD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"trial"	"did"	"not"	"expose"	"the"	"special"	"nazi"	"mania"	"so"	"deadly"	"to"	"jew"	"as_well_as"	"to"	"anyone"	"upon"	"whom"	"it"	"happen"	"to"	"light"	"neither"	"did"	"it"	"warn"	"very"	"effectively"	"against"	"the"	"ordinary"	"anti-semitism"	"of"	"which"	"the"	"nazi"	"make"	"such"	"effective"	"use"	"in"	"germany"	"and"	"wherever"	"else"	"they"	"could"	"find"	"it"	"0"	"0"	"0"	"0"	
"1:04:01::"	"a"	"intend"	"for"	"to"	"for_a"	"a_intend"	"intend_to"	"ask_for_a"	"for_a_intend"	"a_intend_to"	"intend_to_warn"	"VB"	"JJ"	"DT"	"NN"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"more"	"could"	"ask"	"for"	"a"	"trial"	"intend"	"to"	"warn"	"the"	"world"	"against"	"anti-semitism"	"than"	"this"	"opportunity"	"to"	"expose"	"the"	"exact"	"link"	"between"	"the"	"respectable"	"anti-semite"	"and"	"the"	"concentration_camp"	"brute"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"devote"	"did"	"much"	"did_the"	"the_devote"	"devote_much"	"nor_did_the"	"did_the_devote"	"the_devote_much"	"devote_much_attention"	"CC"	"VBD"	"DT"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nor"	"the"	"trial"	"devote"	"much"	"attention"	"to"	"expose"	"the"	"usefulness"	"of"	"anti-semitism"	"to"	"the"	"nazi"	"both"	"in"	"build"	"their"	"own"	"power"	"and"	"in"	"destroy"	"that"	"of"	"rival"	"organization"	"and"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"be"	"of"	"to"	"of_the"	"the_be"	"be_to"	"mission_of_the"	"of_the_be"	"the_be_to"	"be_to_convict"	"NN"	"IN"	"DT"	"NN"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"finally"	"if"	"the"	"of"	"the"	"trial"	"be"	"to"	"convict"	"anti-semitism"	"how"	"could"	"it"	"have"	"fail"	"to"	"post"	"the"	"world"	"the"	"contrasting"	"fate"	"of"	"the"	"country"	"in"	"which"	"the"	"final_solution"	"was"	"aid"	"by"	"native"	"jew"	"hater"	"i.e."	"germany"	"poland"	"hungary"	"czechoslovakia"	"and"	"those"	"in"	"which"	"it"	"meet"	"the"	"obstacle"	"of"	"human"	"solidarity"	"denmark"	"holland"	"italy"	"bulgaria"	"france"	
"1:04:01::"	"the"	"of"	","	"person"	",_the"	"the_of"	"of_person"	"outrage_,_the"	",_the_of"	"the_of_person"	"of_person_represent"	"NN"	"ε"	"DT"	"NN"	"IN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"first"	"collective"	"confrontation"	"the"	"nazi"	"outrage"	"the"	"trial"	"of"	"person"	"represent"	"a"	"recovery"	"of"	"the"	"jew"	"from"	"the"	"shock"	"of"	"the"	"death"	"camp"	"a"	"recovery"	"that"	"take"	"fifteen"	"year"	"and"	"which"	"be"	"still"	"by_no_means"	"complete"	"though"	"let"	"no"	"one"	"believe"	"that"	"it"	"could"	"be"	"hasten"	"by"	"silence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"my"	"come_up"	"with"	"in"	"with_my"	"my_come_up"	"come_up_in"	"``_with_my"	"with_my_come_up"	"my_come_up_in"	"come_up_in_federal_court"	"ε"	"IN"	"PRP$"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"trial"	"come_up"	"in"	"federal_court"	"next"	"week"	"i"	"would"	"n't"	"want"	"that"	"picture"	"publish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"was"	"∅"	"hold"	"∅_the"	"the_was"	"was_hold"	"∅_∅_the"	"∅_the_was"	"the_was_hold"	"was_hold_september"	"ε"	"ε"	"DT"	"NN"	"VBD"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"trial"	"was"	"hold"	"september"	"tenth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"his"	","	"at"	"to"	"at_his"	"his_,"	",_to"	"or_at_his"	"at_his_,"	"his_,_to"	",_to_inspect"	"CC"	"IN"	"PRP$"	"NN"	"ε"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"petitioner"	"was"	"not"	"entitle"	"either"	"in"	"the"	"hearing"	"at"	"the"	"group"	"or"	"at"	"his"	"trial"	"to"	"inspect"	"the"	"original"	"report"	"of"	"the"	"group"	"since"	"he"	"was"	"furnish"	"a"	"resume"	"of"	"it"	"did"	"not"	"challenge"	"its"	"accuracy"	"and"	"show"	"no"	"particular"	"need"	"for"	"the"	"original"	"report"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
