"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"
"2:41:09::"	"did"	"to"	"mercer"	"follow"	"mercer_did"	"did_to"	"to_follow"	",_mercer_did"	"mercer_did_to"	"did_to_follow"	"to_follow_b"	"ε"	"NNP"	"VBD"	"VB"	"TO"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"finally"	"did"	"manage"	"to"	"follow"	"b"	"dikkat"	"to"	"the"	"door"	"of"	"the"	"cabin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:09::"	"has"	"to"	"telephone_company"	"automate"	"telephone_company_has"	"has_to"	"to_automate"	"the_telephone_company_has"	"telephone_company_has_to"	"has_to_automate"	"to_automate_many"	"DT"	"NN"	"VBZ"	"VB"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"last"	"years"	"the"	"telephone_company"	"has"	"manage"	"to"	"automate"	"many"	"areas"	"of"	"their"	"service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:09::"	","	"to"	"balance"	"bat"	"balance_,"	",_to"	"to_bat"	"off_balance_,"	"balance_,_to"	",_to_bat"	"to_bat_the"	"IN"	"NN"	"ε"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mike"	"off"	"manage"	"to"	"bat"	"the"	"muzzle"	"away"	"a"	"moment"	"before"	"it"	"explode"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"that"	"the"	"muscles"	"contraction"	"muscles_that"	"that_the"	"the_contraction"	"of_muscles_that"	"muscles_that_the"	"that_the_contraction"	"the_contraction_and"	"IN"	"NNS"	"WDT"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"intricate"	"of"	"muscles"	"that"	"manage"	"the"	"contraction"	"and"	"dilatation"	"of"	"the"	"vagina"	"be"	"partly"	"under"	"voluntary"	"control"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:09::"	"have"	"to"	"the_english"	"hold"	"the_english_have"	"have_to"	"to_hold"	"∅_the_english_have"	"the_english_have_to"	"have_to_hold"	"to_hold_onto"	"ε"	"NN"	"VBP"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"manage"	"to"	"hold"	"onto"	"their"	"madrigal"	"tradition"	"better"	"than"	"anyone"	"else"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:09::"	"he"	"to"	"∅"	"maneuver"	"∅_he"	"he_to"	"to_maneuver"	"∅_∅_he"	"∅_he_to"	"he_to_maneuver"	"to_maneuver_the"	"ε"	"ε"	"PRP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"manage"	"to"	"maneuver"	"the"	"missile"	"to"	"a"	"landing"	"speed"	"of"	"m."	"p."	"h."	"fast"	"even"	"for"	"a"	"modern"	"jet_plane"	"touchdown"	"and"	"bank"	"into"	"the"	"airfield"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:09::"	"he"	"to"	","	"hunch"	",_he"	"he_to"	"to_hunch"	"effort_,_he"	",_he_to"	"he_to_hunch"	"to_hunch_and"	"NN"	"ε"	"PRP"	"VB"	"TO"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"a"	"effort"	"he"	"manage"	"to"	"hunch"	"and"	"draw_in"	"to"	"take"	"the"	"final"	"fall"	"on"	"his"	"back"	"and"	"shoulders"	"rather_than"	"his"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"be"	"by"	"to"	"family"	"to_be"	"be_by"	"by_family"	"enterprise_to_be"	"to_be_by"	"be_by_family"	"by_family_labor"	"NN"	"TO"	"VB"	"VB"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"decide"	"on"	"enterprise"	"to"	"be"	"manage"	"by"	"family"	"labor"	"compare"	"the"	"amount"	"of"	"labor"	"that"	"can"	"be"	"supply"	"by"	"the"	"family"	"with"	"the"	"labor"	"need"	"of"	"various"	"enterprise"	"list"	"in"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"properly"	"shooting_preserve"	"encourage"	"."	"encourage_properly"	"properly_shooting_preserve"	"shooting_preserve_."	"to_encourage_properly"	"encourage_properly_shooting_preserve"	"properly_shooting_preserve_."	"shooting_preserve_._∅"	"TO"	"VB"	"RB"	"VB"	"NN"	"ε"	"ε"	"effective"	"way"	"to"	"develop"	"more"	"place"	"for"	"more"	"sportsman"	"to"	"shoot"	"be"	"to"	"encourage"	"properly"	"shooting_preserve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:09::"	"person"	"to"	","	"cover"	",_person"	"person_to"	"to_cover"	"somehow_,_person"	",_person_to"	"person_to_cover"	"to_cover_the"	"RB"	"ε"	"NNP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"somehow"	"manage"	"to"	"cover"	"the"	"stunned"	"surprise"	"and"	"offer"	"her"	"congratulation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
