"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"
"2:31:00::"	"now"	"that"	"who"	"a"	"who_now"	"now_that"	"that_a"	"anyone_who_now"	"who_now_that"	"now_that_a"	"that_a_personal"	"NN"	"WP"	"RB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"anyone"	"now"	"doubt"	"that"	"a"	"personal"	"duel"	"be"	"under_way"	"had"	"only"	"to"	"watch"	"how"	"these"	"exceptionally"	"gifted"	"golfers"	"were"	"play"	"this"	"most"	"difficult"	"golf_course"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"little"	"that"	"be"	"the"	"be_little"	"little_that"	"that_the"	"there_be_little"	"be_little_that"	"little_that_the"	"that_the_student"	"EX"	"VB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"little"	"doubt"	"that"	"the"	"student"	"benefit"	"from"	"vocational"	"education"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"if"	"∅"	"a"	"∅_he"	"he_if"	"if_a"	"∅_∅_he"	"∅_he_if"	"he_if_a"	"if_a_man"	"ε"	"ε"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"doubt"	"if"	"a"	"man"	"could"	"wade"	"as"	"far"	"as"	"the"	"desolate"	"dry"	"hills"	"that"	"rim"	"the"	"valley"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"have"	","	"who"	"and"	"who_have"	"have_,"	",_and"	"americans_who_have"	"who_have_,"	"have_,_and"	",_and_i"	"NNP"	"WP"	"VB"	"NN"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"have"	"often"	"search"	"for"	"a"	"graphic"	"way"	"impress"	"our"	"superiority"	"on"	"those"	"americans"	"who"	"have"	"doubt"	"and"	"i"	"think"	"person"	"has"	"do"	"it"	"well"	"in"	"his"	"new"	"book"	"american_might_and_soviet_myth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	","	"this"	"nod"	"."	"nod_,"	",_this"	"this_."	"inspector_nod_,"	"nod_,_this"	",_this_."	"this_._∅"	"NN"	"VB"	"ε"	"VB"	"DT"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"nod"	"doubt"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"in"	"''"	"be"	"."	"be_in"	"in_''"	"''_."	"can_be_in"	"be_in_''"	"in_''_."	"''_._∅"	"VB"	"VB"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"be"	"the"	"only"	"man"	"who"	"can"	"be"	"in"	"doubt"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"whether"	"begin"	"there"	"begin_to"	"to_whether"	"whether_there"	"she_begin_to"	"begin_to_whether"	"to_whether_there"	"whether_there_had"	"PRP"	"VB"	"TO"	"VB"	"IN"	"EX"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"to"	"doubt"	"whether"	"there"	"had"	"be"	"in_fact"	"a"	"lethal_dose"	"of"	"opium"	"in"	"the"	"cup"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"person"	"that"	"would"	"that_he"	"he_person"	"person_would"	"person_that_he"	"that_he_person"	"he_person_would"	"person_would_ever"	"NNP"	"IN"	"PRP"	"VB"	"NNP"	"MD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"recall"	"that"	"he"	"tell"	"person"	"that"	"he"	"doubt"	"person"	"would"	"ever"	"play"	"much"	"for"	"him"	"because"	"he"	"seem"	"to"	"be"	"lacking"	"in"	"all"	"of"	"the"	"accepted"	"basketball"	"skill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"possibility"	"whether"	"any"	"the"	"any_possibility"	"possibility_whether"	"whether_the"	"be_any_possibility"	"any_possibility_whether"	"possibility_whether_the"	"whether_the_patient"	"VB"	"DT"	"IN"	"NN"	"IN"	"DT"	"NN"	"satisfactory"	"answer"	"to"	"the"	"third"	"question"	"be"	"imperative"	"if"	"the"	"argument"	"is"	"to"	"get"	"underway"	"at_all"	"for"	"if"	"there"	"any"	"possibility"	"whether"	"the"	"patient"	"tactual"	"sensitivity"	"had"	"been"	"impair"	"by"	"the"	"occipital"	"lesion"	"any"	"finding"	"whatsoever"	"in"	"regard_to"	"the"	"first"	"question"	"become"	"completely"	"ambiguous"	"and"	"fail"	"altogether"	"of_course"	"as"	"evidence"	"to"	"establish"	"the"	"desired"	"conclusion"	
"1:09:00::"	"no"	"that"	"have"	"person"	"have_no"	"no_that"	"that_person"	"person_have_no"	"have_no_that"	"no_that_person"	"that_person_would"	"NNP"	"VB"	"JJ"	"NN"	"IN"	"NNP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"no"	"doubt"	"that"	"person"	"would"	"come_back"	"from"	"the"	"village"	"burst"	"with"	"information"	"ready"	"to"	"impart"	"it"	"with"	"his"	"customary"	"gusto"	"liberally"	"embellish"	"with"	"his"	"active"	"imagination"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"open_to"	"because"	"obviously"	"of"	"obviously_open_to"	"open_to_because"	"because_of"	"be_obviously_open_to"	"obviously_open_to_because"	"open_to_because_of"	"because_of_the"	"VB"	"RB"	"JJ"	"NN"	"IN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"oversized"	"monster"	"are"	"never"	"bring"	"home"	"either"	"alive"	"preserved"	"and"	"field"	"measurement"	"be"	"obviously"	"open_to"	"doubt"	"because"	"of"	"the"	"universal"	"tendency"	"to"	"exaggerate"	"dimension"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
