"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"1:08:00::"	"my"	"over"	"twist"	"it"	"twist_my"	"my_over"	"over_it"	"to_twist_my"	"twist_my_over"	"my_over_it"	"over_it_and"	"TO"	"VB"	"PRP$"	"NN"	"IN"	"PRP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"then"	"for"	"how"	"many"	"year"	"or"	"how"	"few"	"does"	"not"	"matter"	"my"	"world"	"be"	"bound"	"round"	"by"	"fence"	"i"	"be"	"too"	"small"	"to"	"reach"	"the"	"apple_tree"	"bough"	"to"	"twist"	"my"	"knee"	"over"	"it"	"and"	"pull_up"	"myself"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"my"	","	"to"	"there"	"to_my"	"my_,"	",_there"	"get_to_my"	"to_my_,"	"my_,_there"	",_there_was"	"VB"	"VB"	"PRP$"	"NN"	"ε"	"EX"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"as"	"get"	"to"	"my"	"knee"	"there"	"was"	"again"	"the"	"sound"	"of"	"the"	"fence"	"stretch"	"and"	"i"	"have"	"time"	"only"	"to"	"start"	"take"	"my"	"kneeling"	"seriously"	"0"	"0"	"0"	
"1:08:00::"	"his"	"into"	"press"	"an"	"press_his"	"his_into"	"into_an"	"to_press_his"	"press_his_into"	"his_into_an"	"into_an_incredibly"	"TO"	"VB"	"PRP$"	"NN"	"IN"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"pull"	"one"	"thin"	"leg"	"up"	"clamp"	"arm"	"around"	"the"	"shinbone"	"to"	"press"	"his"	"knee"	"into"	"an"	"incredibly"	"scrawny"	"gut"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"one"	"."	"around"	"∅"	"around_one"	"one_."	"._∅"	"wrap_around_one"	"around_one_."	"one_._∅"	"._∅_∅"	"VB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"lean"	"forward"	"again"	"rock"	"comfortably"	"his"	"arm"	"still"	"wrap"	"around"	"one"	"knee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:01::"	"his"	","	"on"	"watch"	"on_his"	"his_,"	",_watch"	"hand_on_his"	"on_his_,"	"his_,_watch"	",_watch_the"	"NN"	"IN"	"PRP$"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"sit"	"for_a_while"	"his"	"hand"	"on"	"his"	"knee"	"watch"	"the"	"bend"	"of"	"her"	"back"	"as"	"she"	"gather_up"	"her"	"thing"	"a"	"comb"	"a"	"bottle"	"of"	"aspirin"	"to"	"take"	"upstairs"	"and"	"pack"	
"1:08:00::"	"her"	"and"	"against"	"glare"	"against_her"	"her_and"	"and_glare"	"impatiently_against_her"	"against_her_and"	"her_and_glare"	"and_glare_at"	"RB"	"IN"	"PRP$"	"NN"	"CC"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"girl"	"tap"	"quirt"	"impatiently"	"against"	"her"	"knee"	"and"	"glare"	"at"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"a"	"operation"	"undergo"	"tomorrow"	"undergo_a"	"a_operation"	"operation_tomorrow"	"will_undergo_a"	"undergo_a_operation"	"a_operation_tomorrow"	"operation_tomorrow_at"	"MD"	"VB"	"DT"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"location"	"location"	"relief"	"quarterback"	"for"	"the"	"san_francisco"	"of"	"the"	"group"	"will"	"undergo"	"a"	"knee"	"operation"	"tomorrow"	"at"	"group"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"left"	"in"	"his"	"the"	"his_left"	"left_in"	"in_the"	"injure_his_left"	"his_left_in"	"left_in_the"	"in_the_last"	"VB"	"PRP$"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"his"	"left"	"knee"	"in"	"the"	"last"	"game"	"of"	"the"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"."	"on"	"∅"	"on_his"	"his_."	"._∅"	"sit_on_his"	"on_his_."	"his_._∅"	"._∅_∅"	"VB"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"light"	"supper"	"over"	"person"	"go"	"to"	"him"	"and"	"slip"	"arm"	"about"	"his"	"shoulder"	"sit"	"on"	"his"	"knee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"a"	"injury"	"by"	"."	"by_a"	"a_injury"	"injury_."	"hamper_by_a"	"by_a_injury"	"a_injury_."	"injury_._∅"	"VB"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"come"	"to"	"texas"	"in"	"but"	"his"	"football"	"effort"	"were"	"hamper"	"by"	"a"	"knee"	"injury"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
