"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"
"2:32:00::"	","	"caron_s._stallard"	"core"	","	"core_,"	",_caron_s._stallard"	"caron_s._stallard_,"	"its_core_,"	"core_,_caron_s._stallard"	",_caron_s._stallard_,"	"caron_s._stallard_,_first"	"PRP$"	"NN"	"ε"	"VB"	"NNP"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"administration"	"proposals"	"complex"	"and"	"sweeping"	"as"	"they"	"be"	"all"	"deal"	"with"	"areas"	"of"	"the"	"housing"	"market"	"rather_than"	"its"	"core"	"state"	"caron_s._stallard"	"first"	"vice-president"	"of"	"the"	"mortgage"	"bankers"	"association"	"of"	"america"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"∅"	"in"	"∅"	"its"	"∅_∅"	"∅_in"	"in_its"	"∅_∅_∅"	"∅_∅_in"	"∅_in_its"	"in_its_simplest"	"ε"	"ε"	"ε"	"VB"	"IN"	"PRP$"	"JJS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"its"	"simplest"	"terms"	"the"	"main"	"job"	"of"	"the"	"planning_division"	"be"	"to"	"plan"	"for"	"the"	"future"	"of"	"the"	"state"	"of"	"rhode_island"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"petitions"	"that"	"charter"	"they"	"charter_petitions"	"petitions_that"	"that_they"	"home_rule_charter_petitions"	"charter_petitions_that"	"petitions_that_they"	"that_they_must"	"NN"	"NN"	"NNS"	"VB"	"IN"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"law"	"which"	"home_rule"	"charter"	"petitions"	"state"	"that"	"they"	"must"	"be"	"refer"	"to"	"the"	"chairman_of_the_board"	"of"	"canvassers"	"for"	"verification"	"of"	"the"	"signatures"	"within"	"days"	"and"	"mr._martinelli"	"happen"	"to"	"hold"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"as"	"in"	","	"the"	",_as"	"as_in"	"in_the"	"true_,_as"	",_as_in"	"as_in_the"	"in_the_famous"	"JJ"	"ε"	"IN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"true"	"as"	"state"	"in"	"the"	"famous"	"novel"	"of"	"our"	"day"	"for"	"whom"	"the"	"bell"	"tolls"	"that"	"no"	"man"	"be"	"an"	"island"	"entirely"	"of"	"itself"	"every"	"man"	"be"	"a_piece"	"of"	"the"	"continent"	"a"	"part"	"of"	"the"	"main"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"judge_powell"	"that"	","	"mass"	",_judge_powell"	"judge_powell_that"	"that_mass"	"dismissal_,_judge_powell"	",_judge_powell_that"	"judge_powell_that_mass"	"that_mass_trials"	"NN"	"ε"	"NNP"	"VB"	"IN"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"deny"	"motions"	"dismissal"	"judge_powell"	"state"	"that"	"mass"	"trials"	"have"	"been"	"uphold"	"as"	"proper"	"in"	"courts"	"and"	"that"	"a"	"person"	"may"	"join"	"a"	"conspiracy"	"without"	"know"	"who"	"all_of"	"the"	"conspirators"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	","	"juniors"	"``"	"juniors_and"	"and_,"	",_``"	"the_juniors_and"	"juniors_and_,"	"and_,_``"	",_``_there"	"DT"	"NNS"	"CC"	"VB"	"ε"	"ε"	"EX"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"her"	"opening"	"remarks"	"also"	"welcome"	"the"	"juniors"	"and"	"state"	"there"	"is"	"n't"	"any"	"show"	"quite"	"like"	"westminster"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	","	"class"	"``"	"class_and"	"and_,"	",_``"	"the_class_and"	"class_and_,"	"and_,_``"	",_``_have"	"DT"	"NNP"	"CC"	"VB"	"ε"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._long"	"wish"	"all"	"the"	"luck"	"in"	"the"	"class"	"and"	"state"	"have"	"fun"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"over"	"announcer"	"the"	"announcer_,"	",_over"	"over_the"	"the_announcer_,"	"announcer_,_over"	",_over_the"	"over_the_public-address"	"DT"	"NN"	"ε"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"juniors"	"enter"	"the"	"mr._spring"	"the"	"announcer"	"state"	"over"	"the"	"public-address"	"system"	"that"	"this"	"be"	"the"	"th"	"year"	"that"	"westminster"	"has"	"hold"	"the"	"finals"	"of"	"the"	"junior"	"competition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"was"	"that"	"it"	"this"	"it_was"	"was_that"	"that_this"	"new_york_it_was"	"it_was_that"	"was_that_this"	"that_this_intermediate_judging_class"	"NN"	"PRP"	"VBD"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"suggest"	"this"	"class"	"in"	"the"	"horse"	"world"	"and"	"it"	"was"	"accept"	"immediately"	"and"	"in"	"the"	"programs"	"of"	"horse_shows"	"at"	"the"	"recent"	"horse_show"	"convention"	"in"	"new_york"	"it"	"was"	"state"	"that"	"this"	"intermediate_judging_class"	"is"	"meeting_with"	"great"	"success"	"and"	"will"	"be"	"a"	"great"	"help"	"to"	"future"	"judges"	"in"	"the"	"horse"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"dog_shows"	"it"	"at"	"is"	"at_dog_shows"	"dog_shows_it"	"it_is"	"superintendents_at_dog_shows"	"at_dog_shows_it"	"dog_shows_it_is"	"it_is_become"	"NNS"	"IN"	"NN"	"VB"	"PRP"	"VBZ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"superintendents"	"dog_shows"	"state"	"it"	"is"	"become"	"more"	"difficult"	"to"	"obtain"	"a"	"licensed"	"handler"	"to"	"judge"	"junior"	"showmanship"	"competition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
